abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
VGK,SJS,4,13,49.2,30,28,Sharks,6,2/3,8,50.8,23,2,54,Golden Knights,6,1/3
VGK,COL,3,9,43.4,27,21,Avalanche,8,0/7,14,56.6,27,4,54,Golden Knights,14,2/4
LAK,VGK,1,0,0.0,0,54,Golden Knights,8,0/4,0,0.0,0,3,26,Kings,8,1/4
VGK,LAK,0,9,45.5,17,26,Kings,4,0/3,18,54.5,27,4,54,Golden Knights,6,1/2
COL,VGK,7,6,58.5,15,54,Golden Knights,8,1/5,8,41.5,23,4,21,Avalanche,10,3/4
VGK,ARI,3,12,54.4,24,53,Coyotes,11,1/2,11,45.6,18,1,54,Golden Knights,9,1/3
SJS,VGK,0,8,44.4,31,54,Golden Knights,6,0/2,14,55.6,34,4,28,Sharks,4,1/3
VGK,SEA,3,11,48.0,33,55,Kraken,8,0/3,19,52.0,26,4,54,Golden Knights,8,0/3
LAK,VGK,2,22,50.8,41,54,Golden Knights,9,0/1,12,49.2,22,6,26,Kings,7,2/2
VGK,STL,3,12,58.2,31,19,Blues,4,0/3,20,41.8,13,1,54,Golden Knights,6,0/2
VGK,EDM,5,16,53.7,29,22,Oilers,6,1/3,14,46.3,22,3,54,Golden Knights,6,0/3
VGK,NYI,2,21,44.6,44,2,Islanders,4,0/2,9,55.4,19,0,54,Golden Knights,4,0/2
COL,VGK,3,22,39.6,18,54,Golden Knights,21,0/3,16,60.4,25,1,21,Avalanche,24,0/2
DAL,VGK,3,20,28.8,9,54,Golden Knights,2,0/1,28,71.2,20,2,25,Stars,2,0/1
VGK,ANA,4,15,50.0,31,24,Ducks,5,0/3,21,50.0,20,5,54,Golden Knights,11,0/0
TOR,VGK,0,23,46.2,28,54,Golden Knights,2,0/3,13,53.8,21,4,10,Maple Leafs,6,1/1
OTT,VGK,5,13,40.4,22,54,Golden Knights,2,0/1,14,59.6,44,1,9,Senators,2,0/1
MTL,VGK,5,22,50.0,18,54,Golden Knights,12,2/2,15,50.0,33,2,8,Canadiens,8,1/4
DET,VGK,2,11,56.4,10,54,Golden Knights,8,0/3,17,43.6,20,5,17,Red Wings,6,2/4
VGK,SEA,2,11,52.5,30,55,Kraken,6,1/4,18,47.5,15,4,54,Golden Knights,8,1/2
VGK,MIN,2,18,50.0,29,30,Wild,4,0/6,13,50.0,23,3,54,Golden Knights,12,0/2
VGK,VAN,4,10,60.9,33,23,Canucks,21,0/4,20,39.1,23,7,54,Golden Knights,17,2/6
VGK,CAR,4,6,48.5,28,12,Hurricanes,2,1/2,13,51.5,20,2,54,Golden Knights,4,0/1
VGK,DET,2,16,41.9,26,17,Red Wings,9,0/1,16,58.1,26,5,54,Golden Knights,7,0/2
VGK,CBJ,2,18,64.5,16,29,Blue Jackets,10,0/4,21,35.5,22,3,54,Golden Knights,10,0/4
STL,VGK,2,14,44.4,16,54,Golden Knights,4,0/3,6,55.6,24,5,19,Blues,6,1/2
NSH,VGK,5,18,44.4,6,54,Golden Knights,12,0/2,11,55.6,23,2,18,Predators,4,1/6
VGK,EDM,3,20,55.4,19,22,Oilers,2,0/2,15,44.6,21,2,54,Golden Knights,4,0/1
ANA,VGK,5,12,62.3,15,54,Golden Knights,6,2/4,23,37.7,23,6,24,Ducks,8,0/3
ARI,VGK,7,12,42.1,13,54,Golden Knights,13,1/2,10,57.9,27,1,53,Coyotes,11,0/3
VGK,CGY,2,14,52.9,33,20,Flames,8,0/2,18,47.1,14,3,54,Golden Knights,6,0/3
VGK,DAL,4,21,65.0,22,25,Stars,6,3/3,12,35.0,19,5,54,Golden Knights,6,0/3
VGK,PHI,4,20,47.1,30,4,Flyers,12,2/3,13,52.9,20,3,54,Golden Knights,6,1/6
VGK,MIN,4,8,54.4,31,30,Wild,10,1/6,23,45.6,16,6,54,Golden Knights,14,2/4
BOS,VGK,4,14,39.6,20,54,Golden Knights,2,1/1,12,60.4,38,1,6,Bruins,2,0/1
NJD,VGK,5,16,48.3,6,54,Golden Knights,26,1/4,9,51.7,15,3,1,Devils,18,1/3
NYR,VGK,3,8,39.0,12,54,Golden Knights,4,0/1,17,61.0,23,2,3,Rangers,2,1/2
NYI,VGK,4,11,45.8,14,54,Golden Knights,11,1/1,11,54.2,26,3,2,Islanders,7,1/3
VGK,TBL,4,14,62.5,31,14,Lightning,4,1/2,16,37.5,22,3,54,Golden Knights,4,1/2
LAK,VGK,6,16,40.0,18,54,Golden Knights,8,2/4,8,60.0,22,3,26,Kings,8,0/4
VGK,ANA,1,15,49.1,32,24,Ducks,41,1/1,10,50.9,14,3,54,Golden Knights,21,0/6
VGK,WPG,5,20,48.3,31,52,Jets,2,1/3,21,51.7,20,4,54,Golden Knights,6,0/1
VGK,NSH,3,21,44.3,55,18,Predators,13,0/1,13,55.7,34,2,54,Golden Knights,11,0/3
VGK,NYR,1,16,46.8,45,3,Rangers,6,0/2,16,53.2,17,5,54,Golden Knights,4,1/3
VGK,CHI,2,24,48.0,35,16,Blackhawks,0,0/1,15,52.0,16,1,54,Golden Knights,2,0/0
VGK,TOR,4,12,51.6,41,10,Maple Leafs,10,0/2,20,48.4,22,3,54,Golden Knights,4,2/5
VGK,PIT,5,17,45.6,32,5,Penguins,4,1/3,12,54.4,26,3,54,Golden Knights,6,1/2
VGK,MTL,3,21,49.2,42,8,Canadiens,6,1/3,10,50.8,26,4,54,Golden Knights,6,2/3
WSH,VGK,1,14,50.8,22,54,Golden Knights,10,0/4,14,49.2,31,0,15,Capitals,8,0/5
CAR,VGK,3,20,45.9,23,54,Golden Knights,10,0/3,8,54.1,26,4,12,Hurricanes,8,1/5
FLA,VGK,1,14,63.0,31,54,Golden Knights,4,0/3,13,37.0,37,4,13,Panthers,6,0/1
TBL,VGK,3,14,53.7,27,54,Golden Knights,6,0/1,11,46.3,39,2,14,Lightning,2,0/3
VGK,BUF,2,14,53.1,26,7,Sabres,18,0/2,21,46.9,15,5,54,Golden Knights,14,1/4
EDM,VGK,4,26,52.4,12,54,Golden Knights,8,0/1,14,47.6,36,0,22,Oilers,4,0/3
CGY,VGK,0,13,45.0,13,54,Golden Knights,4,0/2,7,55.0,16,6,20,Flames,4,1/2
VGK,COL,2,18,39.3,31,21,Avalanche,4,1/3,25,60.7,15,0,54,Golden Knights,6,0/2
VGK,LAK,4,13,50.0,27,26,Kings,6,1/3,21,50.0,25,3,54,Golden Knights,6,1/3
SJS,VGK,4,18,62.5,15,54,Golden Knights,22,0/3,18,37.5,36,1,28,Sharks,22,0/3
ARI,VGK,1,16,59.6,17,54,Golden Knights,6,0/2,16,40.4,41,3,53,Coyotes,4,0/3
VGK,COL,3,15,41.5,29,21,Avalanche,4,0/2,12,58.5,13,2,54,Golden Knights,6,0/2
VGK,SJS,1,18,42.0,34,28,Sharks,4,0/0,15,58.0,15,3,54,Golden Knights,2,0/1
VGK,BOS,5,20,44.2,28,6,Bruins,4,0/1,18,55.8,25,2,54,Golden Knights,2,0/2
ANA,VGK,5,16,48.5,17,54,Golden Knights,8,0/4,10,51.5,22,4,24,Ducks,8,2/4
VGK,OTT,1,19,50.8,57,9,Senators,4,1/2,15,49.2,41,2,54,Golden Knights,4,1/2
PHI,VGK,1,19,54.4,13,54,Golden Knights,8,1/5,23,45.6,27,2,4,Flyers,10,0/4
BUF,VGK,1,14,66.0,14,54,Golden Knights,20,0/4,13,34.0,11,3,7,Sabres,20,1/4
PIT,VGK,2,14,52.7,29,54,Golden Knights,8,0/2,10,47.3,34,5,5,Penguins,6,1/3
CBJ,VGK,4,6,49.2,12,54,Golden Knights,8,1/4,16,50.8,25,6,29,Blue Jackets,10,1/3
WPG,VGK,3,15,43.4,16,54,Golden Knights,21,1/2,15,56.6,27,7,52,Jets,9,1/3
VGK,FLA,3,15,45.3,50,13,Panthers,16,1/1,16,54.7,32,5,54,Golden Knights,2,1/3
VGK,LAK,1,11,65.1,37,26,Kings,4,0/3,24,34.9,44,5,54,Golden Knights,6,1/2
MIN,VGK,0,19,58.3,32,54,Golden Knights,6,0/2,11,41.7,34,3,30,Wild,6,0/2
WPG,VGK,0,13,50.0,26,54,Golden Knights,6,0/3,13,50.0,32,4,52,Jets,8,1/2
VGK,NSH,1,26,52.3,46,18,Predators,17,1/3,13,47.7,29,6,54,Golden Knights,13,3/5
VGK,CHI,4,24,37.9,46,16,Blackhawks,4,0/1,13,62.1,40,5,54,Golden Knights,2,0/2
SEA,VGK,3,14,52.3,15,54,Golden Knights,7,0/3,10,47.7,26,0,55,Kraken,11,0/1
SEA,VGK,5,27,47.3,9,54,Golden Knights,14,0/1,7,52.7,31,2,55,Kraken,12,0/2
VAN,VGK,3,19,44.2,9,54,Golden Knights,6,0/3,12,55.8,28,2,23,Canucks,6,1/3
VGK,VAN,5,12,58.3,45,23,Canucks,6,2/3,18,41.7,39,1,54,Golden Knights,6,0/3
VGK,ARI,1,16,47.4,32,53,Coyotes,6,0/1,13,52.6,29,6,54,Golden Knights,2,0/3
VAN,VGK,4,5,51.7,18,54,Golden Knights,6,0/3,12,48.3,30,5,23,Canucks,6,2/3
CGY,VGK,6,11,54.7,7,54,Golden Knights,8,1/4,6,45.3,16,1,20,Flames,10,1/3
EDM,VGK,0,15,47.0,24,54,Golden Knights,2,0/3,17,53.0,38,4,22,Oilers,6,0/1
VGK,NJD,3,24,49.2,41,1,Devils,2,0/1,16,50.8,26,2,54,Golden Knights,2,0/1
VGK,WSH,3,21,53.3,37,15,Capitals,4,0/1,11,46.7,30,4,54,Golden Knights,2,1/2
VGK,SJS,5,26,42.5,38,28,Sharks,8,0/1,14,57.5,21,4,54,Golden Knights,2,1/4
DAL,VGK,2,24,42.0,28,54,Golden Knights,4,1/1,24,58.0,39,3,25,Stars,4,0/1
CHI,VGK,3,15,50.9,24,54,Golden Knights,4,0/1,16,49.1,22,4,16,Blackhawks,2,0/2
STL,VGK,7,12,53.7,6,54,Golden Knights,6,1/2,14,46.3,11,4,19,Blues,4,2/3
