abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WPG,OTT,3,10,48.0,20,9,Senators,35,0/4,10,52.0,24,2,52,Jets,20,1/5
WPG,EDM,1,17,46.7,15,22,Oilers,4,0/2,18,53.3,24,5,52,Jets,4,0/2
EDM,WPG,3,10,36.5,24,52,Jets,8,0/1,13,63.5,17,4,22,Oilers,6,1/3
VAN,WPG,2,15,51.0,25,52,Jets,26,0/3,8,49.0,21,3,23,Canucks,10,0/6
WPG,CGY,2,10,46.8,21,20,Flames,22,1/2,19,53.2,17,3,52,Jets,16,1/5
CGY,WPG,1,10,49.1,10,52,Jets,10,0/4,6,50.9,6,3,20,Flames,10,2/4
ANA,WPG,1,6,52.8,25,52,Jets,14,0/5,19,47.2,17,4,24,Ducks,24,2/5
SJS,WPG,3,14,41.2,26,52,Jets,17,0/3,21,58.8,33,4,28,Sharks,13,2/5
MIN,WPG,5,16,39.3,16,52,Jets,17,2/6,22,60.7,25,6,30,Wild,19,3/5
WPG,ANA,1,12,52.0,23,24,Ducks,4,1/3,18,48.0,26,5,52,Jets,6,1/2
WPG,NSH,4,11,37.3,23,18,Predators,11,2/4,22,62.7,24,6,52,Jets,13,2/3
ANA,WPG,4,11,54.2,34,52,Jets,6,0/1,14,45.8,19,3,24,Ducks,2,0/3
LAK,WPG,3,12,37.2,35,52,Jets,4,1/4,11,62.8,21,2,26,Kings,8,0/2
SJS,WPG,1,10,62.0,20,52,Jets,8,0/0,16,38.0,15,2,28,Sharks,2,1/3
WPG,DAL,3,16,50.0,23,25,Stars,8,1/2,12,50.0,21,4,52,Jets,4,2/4
WPG,CHI,1,14,46.9,25,16,Blackhawks,6,0/2,14,53.1,24,5,52,Jets,4,1/3
WPG,NYI,2,19,42.3,26,2,Islanders,7,0/1,7,57.7,21,0,52,Jets,7,0/1
WPG,STL,3,14,48.1,15,19,Blues,4,1/1,14,51.9,20,2,52,Jets,2,0/2
WPG,SJS,1,17,57.4,19,28,Sharks,13,0/0,16,42.6,28,4,52,Jets,7,0/3
WPG,LAK,2,11,50.0,19,26,Kings,2,0/2,15,50.0,39,3,52,Jets,4,0/1
WPG,EDM,2,9,55.0,14,22,Oilers,8,2/4,15,45.0,25,5,52,Jets,8,1/4
EDM,WPG,1,11,45.9,17,52,Jets,11,0/5,15,54.1,39,2,22,Oilers,17,0/2
VAN,WPG,2,7,32.7,24,52,Jets,8,0/0,18,67.3,22,3,23,Canucks,2,2/3
WPG,PIT,3,7,55.1,25,5,Penguins,4,0/2,13,44.9,23,1,52,Jets,4,0/2
CBJ,WPG,0,5,57.6,22,52,Jets,8,0/4,16,42.4,8,3,29,Blue Jackets,10,1/3
MIN,WPG,1,8,54.7,11,52,Jets,10,1/3,11,45.3,6,7,30,Wild,8,0/4
CGY,WPG,4,18,47.2,12,52,Jets,8,0/3,7,52.8,16,2,20,Flames,19,1/4
WPG,ARI,1,16,44.9,15,53,Coyotes,12,0/1,6,55.1,16,0,52,Jets,2,0/6
WPG,NJD,4,11,37.3,20,1,Devils,8,1/2,11,62.7,30,8,52,Jets,4,1/4
WPG,TOR,3,7,47.7,15,10,Maple Leafs,31,2/5,18,52.3,25,6,52,Jets,21,3/5
WPG,CAR,4,15,57.1,25,12,Hurricanes,23,2/3,20,42.9,31,2,52,Jets,6,1/5
SEA,WPG,3,17,47.3,10,52,Jets,10,0/2,14,52.7,13,0,55,Kraken,4,0/5
VAN,WPG,3,16,45.3,22,52,Jets,4,1/3,15,54.7,28,4,23,Canucks,6,0/2
WPG,BUF,4,11,38.8,17,7,Sabres,6,1/2,3,61.2,27,2,52,Jets,4,0/3
WPG,WSH,5,20,48.4,16,15,Capitals,6,0/2,12,51.6,26,2,52,Jets,4,1/3
WPG,STL,2,13,58.2,27,19,Blues,11,0/3,10,41.8,29,4,52,Jets,11,1/3
VGK,WPG,5,20,48.3,31,52,Jets,2,1/3,21,51.7,20,4,54,Golden Knights,6,0/1
ARI,WPG,3,15,54.2,21,52,Jets,6,1/4,12,45.8,20,1,53,Coyotes,10,0/2
COL,WPG,1,12,52.8,15,52,Jets,14,1/5,14,47.2,24,7,21,Avalanche,16,3/4
DET,WPG,3,18,39.7,14,52,Jets,14,0/1,22,60.3,10,0,17,Red Wings,6,0/5
WSH,WPG,3,13,54.0,18,52,Jets,4,1/4,12,46.0,21,4,15,Capitals,8,0/2
NSH,WPG,2,8,57.1,31,52,Jets,13,1/5,13,42.9,41,5,18,Predators,17,0/3
BOS,WPG,2,13,47.8,25,52,Jets,14,0/4,17,52.2,28,3,6,Bruins,18,1/2
PIT,WPG,2,12,56.9,47,52,Jets,13,1/1,14,43.1,19,3,5,Penguins,9,0/4
WPG,FLA,5,7,42.0,18,13,Panthers,6,0/4,6,58.0,16,3,52,Jets,8,1/3
WPG,VAN,5,15,62.3,13,23,Canucks,11,2/2,11,37.7,14,1,52,Jets,9,0/3
STL,WPG,4,11,54.2,9,52,Jets,12,1/3,9,45.8,19,1,19,Blues,8,1/5
PHI,WPG,1,9,40.7,29,52,Jets,8,0/2,17,59.3,24,3,4,Flyers,4,0/4
WPG,MIN,0,19,28.6,24,30,Wild,23,0/1,14,71.4,21,2,52,Jets,17,1/4
DAL,WPG,3,23,50.0,16,52,Jets,13,0/1,12,50.0,17,4,25,Stars,7,0/4
NSH,WPG,5,12,45.6,35,52,Jets,18,3/8,9,54.4,35,2,18,Predators,45,1/3
WPG,CHI,3,14,38.1,20,16,Blackhawks,2,0/1,13,61.9,23,1,52,Jets,2,0/1
WPG,MIN,3,18,41.1,20,30,Wild,4,0/2,15,58.9,28,6,52,Jets,4,1/2
WPG,SEA,3,10,50.0,13,55,Kraken,8,1/2,16,50.0,29,5,52,Jets,6,0/3
WPG,EDM,4,12,53.7,13,22,Oilers,14,1/5,9,46.3,23,2,52,Jets,12,1/6
CGY,WPG,1,10,48.9,16,52,Jets,8,0/3,10,51.1,19,3,20,Flames,6,1/4
DAL,WPG,2,11,48.2,12,52,Jets,10,1/3,10,51.8,15,3,25,Stars,6,0/5
COL,WPG,3,22,52.9,23,52,Jets,20,0/2,9,47.1,26,6,21,Avalanche,6,0/4
ARI,WPG,5,17,49.0,26,52,Jets,2,0/0,15,51.0,27,3,53,Coyotes,2,0/0
WPG,MTL,4,9,36.7,17,8,Canadiens,19,1/6,15,63.3,31,8,52,Jets,19,4/6
WPG,DAL,4,11,59.3,28,25,Stars,14,0/3,9,40.7,25,3,52,Jets,8,1/6
WPG,NYR,4,10,39.0,18,3,Rangers,12,1/2,9,61.0,26,1,52,Jets,4,1/6
WPG,TBL,4,13,55.1,17,14,Lightning,10,0/3,12,44.9,21,7,52,Jets,8,1/4
NJD,WPG,2,13,62.2,17,52,Jets,6,0/2,9,37.8,10,1,1,Devils,4,1/3
NYI,WPG,2,19,44.1,28,52,Jets,10,0/0,14,55.9,15,5,2,Islanders,2,1/4
STL,WPG,4,13,60.8,19,52,Jets,14,0/2,15,39.2,20,3,19,Blues,4,1/2
WPG,VGK,3,15,43.4,16,54,Golden Knights,21,1/2,15,56.6,27,7,52,Jets,9,1/3
WPG,BOS,4,17,53.3,19,6,Bruins,10,1/4,15,46.7,33,2,52,Jets,28,0/5
CHI,WPG,6,17,61.1,22,52,Jets,4,1/2,19,38.9,20,4,16,Blackhawks,6,1/1
WPG,VGK,0,13,50.0,26,54,Golden Knights,6,0/3,13,50.0,32,4,52,Jets,8,1/2
WPG,OTT,5,18,45.1,28,9,Senators,0,1/1,16,54.9,26,2,52,Jets,2,0/0
WPG,CBJ,3,17,43.9,23,29,Blue Jackets,6,2/2,20,56.1,20,4,52,Jets,6,1/2
WPG,ARI,1,13,44.9,17,53,Coyotes,4,0/0,13,55.1,21,2,52,Jets,0,0/2
BUF,WPG,3,12,54.0,15,52,Jets,6,0/1,5,46.0,14,2,7,Sabres,4,0/2
TOR,WPG,3,15,45.5,42,52,Jets,39,1/3,8,54.5,34,7,10,Maple Leafs,23,3/6
WPG,LAK,3,20,45.6,17,26,Kings,12,1/3,15,54.4,23,2,52,Jets,6,0/6
WPG,DET,3,10,48.0,22,17,Red Wings,6,0/4,19,52.0,20,1,52,Jets,8,0/3
WPG,COL,5,18,48.4,29,21,Avalanche,6,1/3,13,51.6,30,4,52,Jets,6,1/3
OTT,WPG,4,13,47.6,19,52,Jets,8,2/4,6,52.4,24,3,9,Senators,8,2/4
MTL,WPG,4,14,54.5,28,52,Jets,2,0/1,14,45.5,16,2,8,Canadiens,2,0/1
FLA,WPG,1,5,53.3,29,52,Jets,4,0/4,14,46.7,20,6,13,Panthers,10,0/1
TBL,WPG,4,13,51.1,31,52,Jets,18,1/1,9,48.9,29,7,14,Lightning,16,1/2
NYR,WPG,0,15,44.4,16,52,Jets,4,0/1,14,55.6,20,3,3,Rangers,2,1/2
CAR,WPG,2,10,39.6,21,52,Jets,12,0/2,6,60.4,11,4,12,Hurricanes,6,1/5
WPG,COL,1,7,58.5,16,21,Avalanche,4,0/2,19,41.5,28,4,52,Jets,4,0/2
WPG,PHI,0,6,51.0,6,4,Flyers,10,0/4,18,49.0,9,4,52,Jets,8,2/5
WPG,CGY,1,16,52.7,22,20,Flames,8,0/2,11,47.3,17,3,52,Jets,4,0/4
WPG,SEA,3,9,40.9,9,55,Kraken,2,1/1,11,59.1,14,4,52,Jets,2,0/1
