GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2022-10-12,@,Washington Capitals,5,2,W,,1,0,0,W 1,18573,2:28,
2,2022-10-15,,Arizona Coyotes,6,3,W,,2,0,0,W 2,17850,2:33,
3,2022-10-17,,Florida Panthers,5,3,W,,3,0,0,W 3,17850,2:32,
4,2022-10-18,@,Ottawa Senators,5,7,L,,3,1,0,L 1,19811,2:41,
5,2022-10-20,,Anaheim Ducks,2,1,W,SO,4,1,0,W 1,17850,2:48,
6,2022-10-22,,Minnesota Wild,4,3,W,OT,5,1,0,W 2,17850,2:42,
7,2022-10-25,,Dallas Stars,3,1,W,,6,1,0,W 3,17850,2:27,
8,2022-10-27,,Detroit Red Wings,5,1,W,,7,1,0,W 4,17850,2:31,
9,2022-10-28,@,Columbus Blue Jackets,4,0,W,,8,1,0,W 5,16162,2:19,
10,2022-11-01,@,Pittsburgh Penguins,6,5,W,OT,9,1,0,W 6,17629,2:43,
11,2022-11-03,@,New York Rangers,5,2,W,,10,1,0,W 7,18006,2:21,
12,2022-11-05,@,Toronto Maple Leafs,1,2,L,,10,2,0,L 1,18926,2:14,
13,2022-11-07,,St. Louis Blues,3,1,W,,11,2,0,W 1,17850,2:25,
14,2022-11-10,,Calgary Flames,3,1,W,,12,2,0,W 2,17850,2:28,
15,2022-11-12,@,Buffalo Sabres,3,1,W,,13,2,0,W 3,19070,2:28,
16,2022-11-13,,Vancouver Canucks,5,2,W,,14,2,0,W 4,17850,2:30,
17,2022-11-17,,Philadelphia Flyers,4,1,W,,15,2,0,W 5,17850,2:30,
18,2022-11-19,,Chicago Blackhawks,6,1,W,,16,2,0,W 6,17850,2:21,
19,2022-11-21,@,Tampa Bay Lightning,5,3,W,,17,2,0,W 7,19092,2:29,
20,2022-11-23,@,Florida Panthers,2,5,L,,17,3,0,L 1,17511,2:37,
21,2022-11-25,,Carolina Hurricanes,3,2,W,OT,18,3,0,W 1,17850,2:48,
22,2022-11-29,,Tampa Bay Lightning,3,1,W,,19,3,0,W 2,17850,2:26,
23,2022-12-03,,Colorado Avalanche,5,1,W,,20,3,0,W 3,17850,2:40,
24,2022-12-05,,Vegas Golden Knights,3,4,L,SO,20,3,1,L 1,17850,2:46,
25,2022-12-07,@,Colorado Avalanche,4,0,W,,21,3,1,W 1,18119,2:29,
26,2022-12-09,@,Arizona Coyotes,3,4,L,,21,4,1,L 1,4600,2:28,
27,2022-12-11,@,Vegas Golden Knights,3,1,W,,22,4,1,W 1,18114,2:28,
28,2022-12-13,,New York Islanders,4,3,W,SO,23,4,1,W 2,17850,2:42,
29,2022-12-15,,Los Angeles Kings,2,3,L,SO,23,4,2,L 1,17850,2:45,
30,2022-12-17,,Columbus Blue Jackets,4,2,W,,24,4,2,W 1,17850,2:29,
31,2022-12-19,,Florida Panthers,7,3,W,,25,4,2,W 2,17850,2:32,
32,2022-12-22,,Winnipeg Jets,3,2,W,,26,4,2,W 3,17850,2:25,
33,2022-12-23,@,New Jersey Devils,4,3,W,,27,4,2,W 4,16514,2:20,
34,2022-12-27,@,Ottawa Senators,2,3,L,SO,27,4,3,L 1,20016,2:44,
35,2022-12-28,@,New Jersey Devils,3,1,W,,28,4,3,W 1,16514,2:25,
36,2022-12-31,,Buffalo Sabres,3,4,L,OT,28,4,4,L 1,17850,2:41,
37,2023-01-02,,Pittsburgh Penguins,2,1,W,,29,4,4,W 1,39243,2:42,at Fenway Park (Boston MA)
38,2023-01-05,@,Los Angeles Kings,5,2,W,,30,4,4,W 2,18230,2:21,
39,2023-01-07,@,San Jose Sharks,4,2,W,,31,4,4,W 3,17562,2:27,
40,2023-01-08,@,Anaheim Ducks,7,1,W,,32,4,4,W 4,16127,2:27,
41,2023-01-12,,Seattle Kraken,0,3,L,,32,5,4,L 1,17850,2:17,
42,2023-01-14,,Toronto Maple Leafs,4,3,W,,33,5,4,W 1,17850,2:33,
43,2023-01-16,,Philadelphia Flyers,6,0,W,,34,5,4,W 2,17850,2:34,
44,2023-01-18,@,New York Islanders,4,1,W,,35,5,4,W 3,17255,2:22,
45,2023-01-19,@,New York Rangers,3,1,W,,36,5,4,W 4,18006,2:25,
46,2023-01-22,,San Jose Sharks,4,0,W,,37,5,4,W 5,17850,2:31,
47,2023-01-24,@,Montreal Canadiens,4,2,W,,38,5,4,W 6,21105,2:34,
48,2023-01-26,@,Tampa Bay Lightning,2,3,L,,38,6,4,L 1,19092,2:40,
49,2023-01-28,@,Florida Panthers,3,4,L,OT,38,6,5,L 2,18058,2:41,
50,2023-01-29,@,Carolina Hurricanes,1,4,L,,38,7,5,L 3,18959,2:31,
51,2023-02-01,@,Toronto Maple Leafs,5,2,W,,39,7,5,W 1,18973,2:29,
52,2023-02-11,,Washington Capitals,1,2,L,,39,8,5,L 1,17850,2:35,
53,2023-02-14,@,Dallas Stars,3,2,W,OT,40,8,5,W 1,18532,2:38,
54,2023-02-16,@,Nashville Predators,5,0,W,,41,8,5,W 2,17159,2:27,
55,2023-02-18,,New York Islanders,6,2,W,,42,8,5,W 3,17850,2:18,
56,2023-02-20,,Ottawa Senators,3,1,W,,43,8,5,W 4,17850,2:33,
57,2023-02-23,@,Seattle Kraken,6,5,W,,44,8,5,W 5,17151,2:38,
58,2023-02-25,@,Vancouver Canucks,3,1,W,,45,8,5,W 6,18722,2:26,
59,2023-02-27,@,Edmonton Oilers,3,2,W,,46,8,5,W 7,18347,2:29,
60,2023-02-28,@,Calgary Flames,4,3,W,OT,47,8,5,W 8,18420,2:43,
61,2023-03-02,,Buffalo Sabres,7,1,W,,48,8,5,W 9,17850,2:31,
