GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2022-10-13,@,Pittsburgh Penguins,2,6,L,,0,1,0,L 1,18355,2:34,
2,2022-10-15,@,Boston Bruins,3,6,L,,0,2,0,L 2,17850,2:33,
3,2022-10-17,@,Toronto Maple Leafs,4,2,W,,1,2,0,W 1,18346,2:28,
4,2022-10-20,@,Montreal Canadiens,2,6,L,,1,3,0,L 1,20691,2:28,
5,2022-10-22,@,Ottawa Senators,2,6,L,,1,4,0,L 2,15107,2:29,
6,2022-10-25,@,Columbus Blue Jackets,6,3,W,,2,4,0,W 1,14498,2:33,
7,2022-10-28,,Winnipeg Jets,2,3,L,OT,2,4,1,L 1,4600,2:27,
8,2022-10-30,,New York Rangers,2,3,L,,2,5,1,L 2,4600,2:24,
9,2022-11-01,,Florida Panthers,3,1,W,,3,5,1,W 1,4600,2:30,
10,2022-11-03,,Dallas Stars,2,7,L,,3,6,1,L 1,4600,2:25,
11,2022-11-05,@,Washington Capitals,3,2,W,,4,6,1,W 1,18573,2:30,
12,2022-11-08,@,Buffalo Sabres,4,1,W,,5,6,1,W 2,10296,2:47,
13,2022-11-10,@,New York Islanders,2,0,W,,6,6,1,W 3,17255,2:28,
14,2022-11-12,@,New Jersey Devils,2,4,L,,6,7,1,L 1,16514,2:30,
15,2022-11-13,@,New York Rangers,1,4,L,,6,8,1,L 2,18006,2:25,
16,2022-11-17,@,Vegas Golden Knights,1,4,L,,6,9,1,L 3,17708,2:27,
17,2022-11-21,@,Nashville Predators,3,4,L,SO,6,9,2,L 4,17159,2:46,
18,2022-11-23,@,Carolina Hurricanes,4,0,W,,7,9,2,W 1,18775,2:27,
19,2022-11-25,@,Detroit Red Wings,3,4,L,SO,7,9,3,L 1,19515,2:41,
20,2022-11-27,@,Minnesota Wild,3,4,L,,7,10,3,L 2,17745,2:31,
21,2022-12-01,@,Los Angeles Kings,3,5,L,,7,11,3,L 3,13764,2:25,
22,2022-12-03,@,Vancouver Canucks,2,3,L,OT,7,11,4,L 4,18516,2:34,
23,2022-12-05,@,Calgary Flames,2,3,L,,7,12,4,L 5,16899,2:23,
24,2022-12-07,@,Edmonton Oilers,2,8,L,,7,13,4,L 6,16633,2:25,
25,2022-12-09,,Boston Bruins,4,3,W,,8,13,4,W 1,4600,2:28,
26,2022-12-11,,Philadelphia Flyers,5,4,W,OT,9,13,4,W 2,4600,2:43,
27,2022-12-13,@,San Jose Sharks,2,3,L,,9,14,4,L 1,10462,2:22,
28,2022-12-16,,New York Islanders,5,4,W,,10,14,4,W 1,4600,2:39,
29,2022-12-17,,Buffalo Sabres,2,5,L,,10,15,4,L 1,4600,2:25,
30,2022-12-19,,Montreal Canadiens,2,3,L,OT,10,15,5,L 2,4600,2:28,
31,2022-12-21,@,Vegas Golden Knights,2,5,L,,10,16,5,L 3,17711,2:27,
32,2022-12-23,,Los Angeles Kings,2,1,W,SO,11,16,5,W 1,4600,2:32,
33,2022-12-27,,Colorado Avalanche,6,3,W,,12,16,5,W 2,4600,2:22,
34,2022-12-29,,Toronto Maple Leafs,6,3,W,,13,16,5,W 3,4600,2:24,
35,2022-12-31,@,Tampa Bay Lightning,3,5,L,,13,17,5,L 1,19092,2:27,
36,2023-01-03,@,Florida Panthers,3,5,L,,13,18,5,L 2,19484,2:31,
37,2023-01-05,@,Philadelphia Flyers,2,6,L,,13,19,5,L 3,17572,2:18,
38,2023-01-06,@,Chicago Blackhawks,0,2,L,,13,20,5,L 4,19359,2:18,
39,2023-01-08,,Pittsburgh Penguins,1,4,L,,13,21,5,L 5,4600,2:18,
40,2023-01-10,,San Jose Sharks,2,4,L,,13,22,5,L 6,4600,2:21,
41,2023-01-12,,Ottawa Senators,3,5,L,,13,23,5,L 7,4600,2:30,
42,2023-01-14,@,Minnesota Wild,1,2,L,,13,24,5,L 8,19299,2:26,
43,2023-01-15,@,Winnipeg Jets,1,2,L,,13,25,5,L 9,13949,2:18,
44,2023-01-17,,Detroit Red Wings,4,3,W,SO,14,25,5,W 1,4600,2:36,
45,2023-01-19,,Washington Capitals,0,4,L,,14,26,5,L 1,4600,2:26,
46,2023-01-21,@,Dallas Stars,0,4,L,,14,27,5,L 2,18532,2:18,
47,2023-01-22,,Vegas Golden Knights,4,1,W,,15,27,5,W 1,4600,2:29,
48,2023-01-24,,Anaheim Ducks,2,5,L,,15,28,5,L 1,4600,2:30,
49,2023-01-26,,St. Louis Blues,5,0,W,,16,28,5,W 1,4600,2:24,
50,2023-01-28,@,Anaheim Ducks,1,2,L,OT,16,28,6,L 1,16126,2:39,
51,2023-02-06,,Minnesota Wild,3,2,W,,17,28,6,W 1,4600,2:26,
52,2023-02-10,@,Chicago Blackhawks,3,4,L,OT,17,28,7,L 1,19007,2:25,
53,2023-02-11,@,St. Louis Blues,5,6,L,OT,17,28,8,L 2,18096,2:34,
54,2023-02-13,@,Nashville Predators,4,2,W,,18,28,8,W 1,17159,2:22,
55,2023-02-15,,Tampa Bay Lightning,1,0,W,SO,19,28,8,W 2,4600,2:34,
56,2023-02-18,@,Los Angeles Kings,5,6,L,SO,19,28,9,L 1,18230,2:39,
57,2023-02-19,,Columbus Blue Jackets,3,2,W,OT,20,28,9,W 1,4600,2:32,
58,2023-02-22,,Calgary Flames,3,6,L,,20,29,9,L 1,4600,2:27,
59,2023-02-26,,Nashville Predators,2,6,L,,20,30,9,L 2,4600,2:25,
60,2023-02-28,,Chicago Blackhawks,4,1,W,,21,30,9,W 1,4600,2:22,
61,2023-03-01,@,Dallas Stars,2,4,L,,21,31,9,L 1,18045,2:25,
62,2023-03-03,,Carolina Hurricanes,1,6,L,,21,32,9,L 2,4600,2:22,
63,2023-03-05,,New Jersey Devils,4,5,L,OT,21,32,10,L 3,4600,2:24,
64,2023-03-07,,St. Louis Blues,6,2,W,,22,32,10,W 1,4600,2:30,
65,2023-03-09,,Nashville Predators,4,1,W,,23,32,10,W 2,4600,2:27,
66,2023-03-11,@,Colorado Avalanche,2,3,L,OT,23,32,11,L 1,18124,2:29,
67,2023-03-12,,Minnesota Wild,5,4,W,OT,24,32,11,W 1,4600,2:36,
68,2023-03-14,,Calgary Flames,4,3,W,OT,25,32,11,W 2,4600,2:35,
69,2023-03-16,,Vancouver Canucks,3,2,W,,26,32,11,W 3,4600,2:23,
70,2023-03-18,,Chicago Blackhawks,4,2,W,,27,32,11,W 4,4600,2:19,
71,2023-03-21,@,Winnipeg Jets,1,2,L,,27,33,11,L 1,13216,2:22,
72,2023-03-22,@,Edmonton Oilers,3,4,L,OT,27,33,12,L 2,18225,2:27,
73,2023-03-24,@,Colorado Avalanche,1,3,L,,27,34,12,L 3,18136,2:24,
74,2023-03-26,,Colorado Avalanche,3,4,L,SO,27,34,13,L 4,4600,2:41,
75,2023-03-27,,Edmonton Oilers,4,5,L,,27,35,13,L 5,4600,2:32,
76,2023-03-31,,Dallas Stars,2,5,L,,27,36,13,L 6,4600,2:21,
77,2023-04-01,,San Jose Sharks,2,7,L,,27,37,13,L 7,4600,2:30,
78,2023-04-03,@,Seattle Kraken,1,8,L,,27,38,13,L 8,17151,2:33,
79,2023-04-06,@,Seattle Kraken,2,4,L,,27,39,13,L 9,17151,2:37,
80,2023-04-08,,Anaheim Ducks,5,4,W,OT,28,39,13,W 1,4600,2:36,
81,2023-04-10,,Seattle Kraken,1,4,L,,28,40,13,L 1,4600,2:20,
82,2023-04-13,,Vancouver Canucks,4,5,L,OT,28,40,14,L 2,4600,2:22,
