GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2022-10-13,,New Jersey Devils,5,2,W,,1,0,0,W 1,19107,2:34,
2,2022-10-15,,Vancouver Canucks,3,2,W,,2,0,0,W 2,14837,2:27,
3,2022-10-18,@,Tampa Bay Lightning,3,2,W,,3,0,0,W 3,19092,2:31,
4,2022-10-19,@,Florida Panthers,3,4,L,,3,1,0,L 1,17421,2:38,
5,2022-10-22,@,Nashville Predators,3,1,W,,4,1,0,W 1,17470,2:34,
6,2022-10-23,,San Jose Sharks,0,3,L,,4,2,0,L 1,14512,2:29,
7,2022-10-27,,Florida Panthers,4,3,W,,5,2,0,W 1,14871,2:37,
8,2022-10-29,,Carolina Hurricanes,3,4,L,OT,5,2,1,L 1,13335,2:40,
9,2022-11-01,@,New York Rangers,0,1,L,OT,5,2,2,L 2,17206,2:29,
10,2022-11-02,@,Toronto Maple Leafs,2,5,L,,5,3,2,L 3,18437,2:36,
11,2022-11-05,@,Ottawa Senators,2,1,W,,6,3,2,W 1,16722,2:29,
12,2022-11-08,,St. Louis Blues,5,1,W,,7,3,2,W 2,15228,2:25,
13,2022-11-10,@,Columbus Blue Jackets,2,5,L,,7,4,2,L 1,15490,2:37,
14,2022-11-12,,Ottawa Senators,1,4,L,,7,5,2,L 2,16912,2:28,
15,2022-11-13,,Dallas Stars,1,5,L,,7,6,2,L 3,16898,2:24,
16,2022-11-15,@,Columbus Blue Jackets,4,5,L,OT,7,6,3,L 4,15713,2:34,
17,2022-11-17,@,Boston Bruins,1,4,L,,7,7,3,L 5,17850,2:30,
18,2022-11-19,@,Montreal Canadiens,4,5,L,SO,7,7,4,L 6,21105,2:41,
19,2022-11-21,,Calgary Flames,2,5,L,,7,8,4,L 7,17896,2:21,
20,2022-11-23,@,Washington Capitals,2,3,L,OT,7,8,5,L 8,18573,2:33,
21,2022-11-25,,Pittsburgh Penguins,1,4,L,,7,9,5,L 9,19309,2:22,
22,2022-11-26,@,New York Islanders,2,5,L,,7,10,5,L 10,17255,2:18,
23,2022-11-29,,New York Islanders,3,1,W,,8,10,5,W 1,18143,2:27,
24,2022-12-01,,Tampa Bay Lightning,1,4,L,,8,11,5,L 1,17867,2:20,
25,2022-12-03,,New Jersey Devils,2,3,L,,8,12,5,L 2,18427,2:23,
26,2022-12-05,,Colorado Avalanche,5,3,W,,9,12,5,W 1,18361,2:21,
27,2022-12-07,,Washington Capitals,1,4,L,,9,13,5,L 1,16826,2:25,
28,2022-12-09,@,Vegas Golden Knights,1,2,L,OT,9,13,6,L 2,17767,2:35,
29,2022-12-11,@,Arizona Coyotes,4,5,L,OT,9,13,7,L 3,4600,2:43,
30,2022-12-13,@,Colorado Avalanche,2,3,L,,9,14,7,L 4,18082,2:26,
31,2022-12-15,@,New Jersey Devils,2,1,W,,10,14,7,W 1,14137,2:26,
32,2022-12-17,,New York Rangers,3,6,L,,10,15,7,L 1,18340,2:26,
33,2022-12-20,,Columbus Blue Jackets,5,3,W,,11,15,7,W 1,19432,2:22,
34,2022-12-22,@,Toronto Maple Leafs,3,4,L,,11,16,7,L 1,18908,2:24,
35,2022-12-23,@,Carolina Hurricanes,5,6,L,,11,17,7,L 2,18680,2:34,
36,2022-12-29,@,San Jose Sharks,4,3,W,OT,12,17,7,W 1,17562,2:23,
37,2022-12-31,@,Los Angeles Kings,4,2,W,,13,17,7,W 2,18230,2:25,
38,2023-01-02,@,Anaheim Ducks,4,1,W,,14,17,7,W 3,13600,2:18,
39,2023-01-05,,Arizona Coyotes,6,2,W,,15,17,7,W 4,17572,2:18,
40,2023-01-08,,Toronto Maple Leafs,2,6,L,,15,18,7,L 1,17862,2:25,
41,2023-01-09,@,Buffalo Sabres,4,0,W,,16,18,7,W 1,11271,2:21,
42,2023-01-11,,Washington Capitals,5,3,W,,17,18,7,W 2,17352,2:31,
43,2023-01-14,@,Washington Capitals,3,1,W,,18,18,7,W 3,18573,2:25,
44,2023-01-16,@,Boston Bruins,0,6,L,,18,19,7,L 1,17850,2:34,
45,2023-01-17,,Anaheim Ducks,5,2,W,,19,19,7,W 1,16312,2:25,
46,2023-01-19,,Chicago Blackhawks,1,4,L,,19,20,7,L 1,16460,2:28,
47,2023-01-21,@,Detroit Red Wings,2,1,W,,20,20,7,W 1,19515,2:31,
48,2023-01-22,,Winnipeg Jets,3,5,L,,20,21,7,L 1,15441,2:25,
49,2023-01-24,,Los Angeles Kings,3,4,L,OT,20,21,8,L 2,15602,2:33,
50,2023-01-26,@,Minnesota Wild,2,3,L,OT,20,21,9,L 3,19177,2:40,
51,2023-01-28,@,Winnipeg Jets,4,0,W,,21,21,9,W 1,14476,2:28,
52,2023-02-06,,New York Islanders,1,2,L,,21,22,9,L 1,18695,2:18,
53,2023-02-09,,Edmonton Oilers,2,1,W,SO,22,22,9,W 1,18851,2:33,
54,2023-02-11,,Nashville Predators,1,2,L,OT,22,22,10,L 1,19412,2:28,
55,2023-02-12,,Seattle Kraken,3,4,L,,22,23,10,L 2,18129,2:19,
56,2023-02-16,@,Seattle Kraken,2,6,L,,22,24,10,L 3,17151,2:26,
57,2023-02-18,@,Vancouver Canucks,2,6,L,,22,25,10,L 4,18799,2:32,
58,2023-02-20,@,Calgary Flames,4,3,W,,23,25,10,W 1,19036,2:39,
59,2023-02-21,@,Edmonton Oilers,2,4,L,,23,26,10,L 1,18347,2:24,
60,2023-02-24,,Montreal Canadiens,2,5,L,,23,27,10,L 2,19661,2:24,
61,2023-02-25,@,New Jersey Devils,0,7,L,,23,28,10,L 3,16514,2:23,
62,2023-03-01,,New York Rangers,2,3,L,OT,23,28,11,L 4,19534,2:24,
63,2023-03-05,,Detroit Red Wings,3,1,W,,24,28,11,W 1,17630,2:26,
64,2023-03-07,@,Tampa Bay Lightning,2,5,L,,24,29,11,L 1,19092,2:36,
65,2023-03-09,@,Carolina Hurricanes,0,1,L,,24,30,11,L 2,18680,2:19,
66,2023-03-11,@,Pittsburgh Penguins,1,5,L,,24,31,11,L 3,18254,2:21,
67,2023-03-14,,Vegas Golden Knights,3,5,L,,24,32,11,L 4,17192,2:22,
68,2023-03-17,,Buffalo Sabres,5,2,W,,25,32,11,W 1,18051,2:23,
69,2023-03-18,,Carolina Hurricanes,4,5,L,OT,25,32,12,L 1,18975,2:30,
70,2023-03-21,,Florida Panthers,6,3,W,,26,32,12,W 1,16479,2:29,
71,2023-03-23,,Minnesota Wild,5,4,W,SO,27,32,12,W 2,18495,2:34,
72,2023-03-25,,Detroit Red Wings,3,0,W,,28,32,12,W 3,18216,2:23,
73,2023-03-28,,Montreal Canadiens,3,2,W,,29,32,12,W 4,18916,2:23,
74,2023-03-30,@,Ottawa Senators,4,5,L,OT,29,32,13,L 1,17518,2:39,
75,2023-04-01,,Buffalo Sabres,3,6,L,,29,33,13,L 2,19404,2:24,
76,2023-04-02,@,Pittsburgh Penguins,2,4,L,,29,34,13,L 3,18310,2:29,
77,2023-04-04,@,St. Louis Blues,2,4,L,,29,35,13,L 4,18096,2:28,
78,2023-04-06,@,Dallas Stars,1,4,L,,29,36,13,L 5,18532,2:22,
79,2023-04-08,@,New York Islanders,0,4,L,,29,37,13,L 6,17255,2:21,
80,2023-04-09,,Boston Bruins,3,5,L,,29,38,13,L 7,18776,2:35,
81,2023-04-11,,Columbus Blue Jackets,4,3,W,OT,30,38,13,W 1,19719,2:32,
82,2023-04-13,@,Chicago Blackhawks,5,4,W,OT,31,38,13,W 2,20219,2:31,
