GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2022-10-11,@,Los Angeles Kings,4,3,W,,1,0,0,W 1,18230,2:31,
2,2022-10-13,,Chicago Blackhawks,1,0,W,,2,0,0,W 2,18467,2:27,
3,2022-10-15,@,Seattle Kraken,5,2,W,,3,0,0,W 3,17151,2:32,
4,2022-10-18,@,Calgary Flames,2,3,L,,3,1,0,L 1,16944,2:34,
5,2022-10-20,,Winnipeg Jets,5,2,W,,4,1,0,W 1,17777,2:19,
6,2022-10-22,,Colorado Avalanche,2,3,L,,4,2,0,L 1,18207,2:29,
7,2022-10-24,,Toronto Maple Leafs,3,1,W,,5,2,0,W 1,17989,2:35,
8,2022-10-25,@,San Jose Sharks,4,2,W,,6,2,0,W 2,12003,2:26,
9,2022-10-28,,Anaheim Ducks,4,0,W,,7,2,0,W 3,18036,2:32,
10,2022-10-30,,Winnipeg Jets,2,1,W,OT,8,2,0,W 4,17824,2:31,
11,2022-11-01,@,Washington Capitals,3,2,W,OT,9,2,0,W 5,18573,2:34,
12,2022-11-03,@,Ottawa Senators,5,4,W,,10,2,0,W 6,16043,2:34,
13,2022-11-05,@,Montreal Canadiens,6,4,W,,11,2,0,W 7,21105,2:27,
14,2022-11-08,@,Toronto Maple Leafs,4,3,W,OT,12,2,0,W 8,18459,2:22,
15,2022-11-10,@,Buffalo Sabres,7,4,W,,13,2,0,W 9,15757,2:37,
16,2022-11-12,,St. Louis Blues,2,3,L,,13,3,0,L 1,18343,2:28,
17,2022-11-15,,San Jose Sharks,2,5,L,,13,4,0,L 2,17899,2:25,
18,2022-11-17,,Arizona Coyotes,4,1,W,,14,4,0,W 1,17708,2:27,
19,2022-11-19,@,Edmonton Oilers,3,4,L,OT,14,4,1,L 1,18347,2:20,
20,2022-11-21,@,Vancouver Canucks,5,4,W,,15,4,1,W 1,18558,2:37,
21,2022-11-23,,Ottawa Senators,4,1,W,,16,4,1,W 2,17955,2:34,
22,2022-11-25,,Seattle Kraken,2,4,L,,16,5,1,L 1,18119,2:22,
23,2022-11-26,,Vancouver Canucks,1,5,L,,16,6,1,L 2,18004,2:30,
24,2022-11-28,@,Columbus Blue Jackets,3,2,W,SO,17,6,1,W 1,13771,2:44,
25,2022-12-01,@,Pittsburgh Penguins,3,4,L,,17,7,1,L 1,15895,2:28,
26,2022-12-03,@,Detroit Red Wings,4,1,W,,18,7,1,W 1,19515,2:24,
27,2022-12-05,@,Boston Bruins,4,3,W,SO,19,7,1,W 2,17850,2:46,
28,2022-12-07,,New York Rangers,1,5,L,,19,8,1,L 1,17939,2:33,
29,2022-12-09,,Philadelphia Flyers,2,1,W,OT,20,8,1,W 1,17767,2:35,
30,2022-12-11,,Boston Bruins,1,3,L,,20,9,1,L 1,18114,2:28,
31,2022-12-13,@,Winnipeg Jets,6,5,W,,21,9,1,W 1,13102,2:30,
32,2022-12-15,@,Chicago Blackhawks,4,1,W,,22,9,1,W 2,15911,2:12,
33,2022-12-17,,New York Islanders,2,5,L,,22,10,1,L 1,18007,2:28,
34,2022-12-19,,Buffalo Sabres,2,3,L,,22,11,1,L 2,17808,2:35,
35,2022-12-21,,Arizona Coyotes,5,2,W,,23,11,1,W 1,17711,2:27,
36,2022-12-23,,St. Louis Blues,5,4,W,SO,24,11,1,W 2,18125,2:30,
37,2022-12-27,@,Los Angeles Kings,2,4,L,,24,12,1,L 1,18230,2:19,
38,2022-12-28,@,Anaheim Ducks,2,3,L,SO,24,12,2,L 2,15156,2:40,
39,2022-12-31,,Nashville Predators,5,4,W,OT,25,12,2,W 1,18333,2:39,
40,2023-01-02,@,Colorado Avalanche,3,2,W,,26,12,2,W 2,18092,2:28,
41,2023-01-05,,Pittsburgh Penguins,5,2,W,,27,12,2,W 3,18149,2:27,
42,2023-01-07,,Los Angeles Kings,1,5,L,,27,13,2,L 1,18339,2:24,
43,2023-01-12,,Florida Panthers,4,2,W,,28,13,2,W 1,17735,2:42,
44,2023-01-14,,Edmonton Oilers,3,4,L,,28,14,2,L 1,18143,2:27,
45,2023-01-16,,Dallas Stars,0,4,L,,28,15,2,L 2,17895,2:25,
46,2023-01-19,,Detroit Red Wings,2,3,L,,28,16,2,L 3,17911,2:27,
47,2023-01-21,,Washington Capitals,6,2,W,,29,16,2,W 1,18251,2:23,
48,2023-01-22,@,Arizona Coyotes,1,4,L,,29,17,2,L 1,4600,2:29,
49,2023-01-24,@,New Jersey Devils,2,3,L,OT,29,17,3,L 2,16086,2:35,
50,2023-01-27,@,New York Rangers,1,4,L,,29,18,3,L 3,18006,2:25,
51,2023-01-28,@,New York Islanders,1,2,L,OT,29,18,4,L 4,17255,2:32,
52,2023-02-07,@,Nashville Predators,5,1,W,,30,18,4,W 1,17159,2:22,
53,2023-02-09,@,Minnesota Wild,5,1,W,,31,18,4,W 2,18797,2:34,
54,2023-02-12,,Anaheim Ducks,7,2,W,,32,18,4,W 3,17504,2:21,
55,2023-02-16,,San Jose Sharks,2,1,W,,33,18,4,W 4,17544,2:29,
56,2023-02-18,,Tampa Bay Lightning,5,4,W,,34,18,4,W 5,18317,2:32,
57,2023-02-21,@,Chicago Blackhawks,2,3,L,SO,34,18,5,L 1,18083,2:38,
58,2023-02-23,,Calgary Flames,4,3,W,OT,35,18,5,W 1,17609,2:29,
59,2023-02-25,,Dallas Stars,2,3,L,SO,35,18,6,L 1,17906,2:39,
60,2023-02-27,@,Colorado Avalanche,0,3,L,,35,19,6,L 2,18117,2:25,
61,2023-03-01,,Carolina Hurricanes,3,2,W,,36,19,6,W 1,17669,2:27,
62,2023-03-03,,New Jersey Devils,4,3,W,SO,37,19,6,W 2,18033,2:37,
63,2023-03-05,,Montreal Canadiens,4,3,W,,38,19,6,W 3,18049,2:16,
64,2023-03-07,@,Florida Panthers,1,2,L,,38,20,6,L 1,15100,2:22,
65,2023-03-09,@,Tampa Bay Lightning,4,3,W,OT,39,20,6,W 1,19092,2:43,
66,2023-03-11,@,Carolina Hurricanes,4,0,W,,40,20,6,W 2,18813,2:30,
67,2023-03-12,@,St. Louis Blues,5,3,W,,41,20,6,W 3,18096,2:25,
68,2023-03-14,@,Philadelphia Flyers,5,3,W,,42,20,6,W 4,17192,2:22,
69,2023-03-16,,Calgary Flames,2,7,L,,42,21,6,L 1,18207,2:20,
70,2023-03-19,,Columbus Blue Jackets,7,2,W,,43,21,6,W 1,18004,2:29,
71,2023-03-21,@,Vancouver Canucks,4,3,W,,44,21,6,W 2,18757,2:27,
72,2023-03-23,@,Calgary Flames,3,2,W,,45,21,6,W 3,18157,2:40,
73,2023-03-25,@,Edmonton Oilers,4,3,W,OT,46,21,6,W 4,18347,2:37,
