home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Arizona Coyotes,4,25,16.7,1.0,6.0,0.0,0,0,0,0,4,St. Louis Blues,5
Arizona Coyotes,6,24,25.0,1.0,4.0,0.0,0,0,0,0,2,Anaheim Ducks,3
Dallas Stars,15,22,66.7,2.0,3.0,0.0,0,0,0,0,4,Arizona Coyotes,3
Anaheim Ducks,54,29,0.0,0.0,4.0,48.1,12,7,10,22,3,Arizona Coyotes,1
Vegas Golden Knights,8,53,33.3,1.0,3.0,50.7,8,8,5,29,4,Arizona Coyotes,3
Vancouver Canucks,62,7,0.0,0.0,4.0,37.0,17,4,8,21,4,Arizona Coyotes,0
Vegas Golden Knights,10,24,0.0,0.0,2.0,0.0,0,0,0,0,5,Arizona Coyotes,1
Pittsburgh Penguins,14,28,40.0,2.0,5.0,41.5,9,9,5,35,6,Arizona Coyotes,2
Boston Bruins,11,24,33.3,1.0,3.0,44.6,18,6,5,29,6,Arizona Coyotes,3
Toronto Maple Leafs,12,19,40.0,2.0,5.0,40.8,18,1,10,23,2,Arizona Coyotes,4
Montréal Canadiens,7,27,0.0,0.0,3.0,53.3,14,10,22,26,6,Arizona Coyotes,2
Ottawa Senators,17,22,20.0,1.0,5.0,37.5,14,3,14,24,6,Arizona Coyotes,2
Columbus Blue Jackets,14,19,33.3,2.0,6.0,46.3,15,7,4,14,3,Arizona Coyotes,6
Arizona Coyotes,6,35,0.0,0.0,5.0,40.7,11,4,7,18,2,Winnipeg Jets,3
Arizona Coyotes,2,39,33.3,1.0,3.0,54.4,11,5,9,34,2,New York Rangers,3
Arizona Coyotes,12,42,0.0,0.0,3.0,56.9,8,3,10,16,3,Florida Panthers,1
Arizona Coyotes,2,36,25.0,1.0,4.0,49.2,12,1,7,13,2,Dallas Stars,7
Washington Capitals,6,26,0.0,0.0,3.0,43.9,18,12,7,20,2,Arizona Coyotes,3
Buffalo Sabres,12,24,33.3,1.0,3.0,39.7,9,6,5,15,1,Arizona Coyotes,4
New York Islanders,11,28,33.3,1.0,3.0,29.8,18,5,8,27,0,Arizona Coyotes,2
New Jersey Devils,18,18,50.0,2.0,4.0,41.8,10,8,3,18,4,Arizona Coyotes,2
New York Rangers,10,32,16.7,1.0,6.0,61.5,13,7,13,19,4,Arizona Coyotes,1
Vegas Golden Knights,15,26,0.0,0.0,4.0,52.8,11,3,9,31,4,Arizona Coyotes,1
Nashville Predators,21,27,0.0,0.0,2.0,45.3,13,7,8,34,3,Arizona Coyotes,3
Carolina Hurricanes,13,27,0.0,0.0,3.0,42.9,30,5,4,29,0,Arizona Coyotes,4
Detroit Red Wings,15,24,0.0,0.0,4.0,43.4,11,3,5,24,3,Arizona Coyotes,3
Minnesota Wild,13,23,0.0,0.0,2.0,44.8,17,8,7,14,4,Arizona Coyotes,3
Los Angeles Kings,10,21,0.0,0.0,3.0,52.6,15,2,7,32,5,Arizona Coyotes,3
Vancouver Canucks,16,23,33.3,1.0,3.0,40.7,20,2,3,13,3,Arizona Coyotes,2
Calgary Flames,6,20,0.0,0.0,2.0,47.4,16,4,13,13,3,Arizona Coyotes,2
Edmonton Oilers,27,18,0.0,0.0,2.0,49.0,16,8,10,29,8,Arizona Coyotes,2
Arizona Coyotes,8,46,33.3,2.0,6.0,62.3,8,4,13,27,4,Boston Bruins,3
Arizona Coyotes,9,41,0.0,0.0,2.0,46.7,13,3,6,25,5,Philadelphia Flyers,4
San Jose Sharks,4,22,20.0,1.0,5.0,44.8,10,9,8,18,3,Arizona Coyotes,2
Arizona Coyotes,12,34,0.0,0.0,5.0,51.6,17,3,3,23,5,New York Islanders,4
Arizona Coyotes,12,43,40.0,2.0,5.0,47.5,13,10,5,17,2,Buffalo Sabres,5
Arizona Coyotes,4,26,0.0,0.0,2.0,56.7,13,5,12,19,2,Montréal Canadiens,3
