home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Philadelphia Flyers,32,32,0.0,0.0,6.0,56.6,12,6,4,35,2,Boston Bruins,1
Boston Bruins,2,26,0.0,0.0,4.0,51.9,10,3,6,32,3,New York Rangers,2
Boston Bruins,15,21,0.0,0.0,4.0,51.3,6,5,6,15,4,Philadelphia Flyers,0
New Jersey Devils,4,24,0.0,0.0,4.0,69.1,9,7,5,23,1,Boston Bruins,0
New York Rangers,8,26,0.0,0.0,2.0,44.7,8,5,1,27,4,Boston Bruins,5
Boston Bruins,4,27,0.0,0.0,2.0,25.4,11,6,13,21,3,New Jersey Devils,5
Washington Capitals,8,30,33.3,1.0,3.0,62.7,20,6,8,32,2,Boston Bruins,5
Boston Bruins,11,24,33.3,1.0,3.0,44.6,18,6,5,29,6,Arizona Coyotes,3
Boston Bruins,10,41,0.0,0.0,4.0,35.6,19,1,3,22,5,Florida Panthers,3
Ottawa Senators,13,34,33.3,1.0,3.0,50.0,13,4,10,23,7,Boston Bruins,5
Boston Bruins,10,31,0.0,0.0,4.0,36.4,15,7,6,18,1,Anaheim Ducks,1
Boston Bruins,10,27,20.0,1.0,5.0,39.0,20,4,4,21,4,Minnesota Wild,3
Boston Bruins,13,31,0.0,0.0,3.0,47.2,5,10,12,32,3,Dallas Stars,1
Boston Bruins,14,29,0.0,0.0,5.0,51.7,9,8,5,34,5,Detroit Red Wings,1
Columbus Blue Jackets,6,35,0.0,0.0,2.0,58.2,19,4,4,23,0,Boston Bruins,4
Pittsburgh Penguins,8,40,33.3,1.0,3.0,55.1,21,6,4,38,5,Boston Bruins,6
New York Rangers,24,37,0.0,0.0,3.0,61.0,11,9,18,21,2,Boston Bruins,5
Toronto Maple Leafs,6,21,33.3,1.0,3.0,45.5,9,6,6,47,2,Boston Bruins,1
Boston Bruins,6,27,0.0,0.0,3.0,43.4,19,6,11,33,3,St. Louis Blues,1
Boston Bruins,15,32,0.0,0.0,6.0,32.1,7,6,6,25,3,Calgary Flames,1
Buffalo Sabres,8,30,33.3,1.0,3.0,47.5,12,4,5,14,1,Boston Bruins,3
Boston Bruins,22,31,33.3,2.0,6.0,36.2,15,5,6,16,5,Vancouver Canucks,2
Boston Bruins,8,23,25.0,1.0,4.0,50.0,20,2,7,26,4,Philadelphia Flyers,1
Boston Bruins,6,18,33.3,1.0,3.0,55.6,10,11,7,23,6,Chicago Blackhawks,1
Tampa Bay Lightning,6,29,50.0,2.0,4.0,52.0,6,12,6,27,3,Boston Bruins,5
Florida Panthers,14,39,33.3,2.0,6.0,58.7,11,3,6,21,5,Boston Bruins,2
Boston Bruins,12,36,33.3,2.0,6.0,42.9,14,11,8,27,3,Carolina Hurricanes,2
Boston Bruins,2,28,50.0,1.0,2.0,54.0,13,6,12,15,3,Tampa Bay Lightning,1
Boston Bruins,15,25,0.0,0.0,3.0,37.5,13,5,11,27,5,Colorado Avalanche,1
Boston Bruins,8,24,0.0,0.0,3.0,54.1,13,17,11,28,3,Vegas Golden Knights,3
Colorado Avalanche,13,37,0.0,0.0,3.0,46.7,9,5,2,15,0,Boston Bruins,4
Arizona Coyotes,8,46,33.3,2.0,6.0,62.3,8,4,13,27,4,Boston Bruins,3
Vegas Golden Knights,8,27,0.0,0.0,2.0,54.0,19,10,10,45,1,Boston Bruins,3
Boston Bruins,9,26,0.0,0.0,3.0,41.3,13,10,10,31,3,New York Islanders,3
Boston Bruins,14,30,16.7,1.0,6.0,50.8,20,12,15,13,2,Los Angeles Kings,2
Boston Bruins,8,33,40.0,2.0,5.0,29.6,22,7,12,26,4,Columbus Blue Jackets,2
Boston Bruins,10,39,0.0,0.0,3.0,43.5,13,11,10,14,7,Florida Panthers,3
Boston Bruins,8,27,0.0,0.0,2.0,35.8,9,10,6,28,3,Winnipeg Jets,2
New Jersey Devils,4,23,0.0,0.0,1.0,49.0,30,9,13,13,3,Boston Bruins,4
Ottawa Senators,4,51,0.0,0.0,3.0,66.1,14,1,9,23,2,Boston Bruins,2
New Jersey Devils,9,27,0.0,0.0,3.0,61.5,20,3,16,18,1,Boston Bruins,3
Boston Bruins,17,25,0.0,0.0,3.0,44.4,17,4,14,27,3,Buffalo Sabres,4
Boston Bruins,6,27,0.0,0.0,3.0,56.2,17,11,7,19,2,Pittsburgh Penguins,1
Los Angeles Kings,7,22,100.0,1.0,1.0,44.9,21,5,5,30,2,Boston Bruins,5
