home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Washington Capitals,4,28,50.0,2.0,4.0,40.0,11,3,5,13,3,Buffalo Sabres,4
Buffalo Sabres,11,21,0.0,0.0,3.0,57.5,7,5,4,10,2,Philadelphia Flyers,1
Columbus Blue Jackets,2,23,0.0,0.0,4.0,50.0,11,3,3,10,4,Buffalo Sabres,1
Buffalo Sabres,14,33,0.0,0.0,3.0,43.9,9,2,5,8,3,Pittsburgh Penguins,1
Buffalo Sabres,7,25,0.0,0.0,4.0,62.5,12,4,2,9,4,Carolina Hurricanes,2
Pittsburgh Penguins,4,23,0.0,0.0,0.0,53.7,14,7,5,19,7,Buffalo Sabres,1
Buffalo Sabres,8,36,0.0,0.0,4.0,55.1,10,6,3,18,4,Ottawa Senators,1
Buffalo Sabres,12,37,33.3,2.0,6.0,47.6,10,4,5,11,3,Florida Panthers,4
Edmonton Oilers,10,24,25.0,1.0,4.0,44.4,13,12,11,16,2,Buffalo Sabres,4
Calgary Flames,2,32,20.0,1.0,5.0,56.1,12,8,6,11,3,Buffalo Sabres,6
Vancouver Canucks,8,27,100.0,1.0,1.0,44.6,18,13,7,17,1,Buffalo Sabres,5
Seattle Kraken,6,16,0.0,0.0,4.0,67.3,7,5,7,12,5,Buffalo Sabres,1
Buffalo Sabres,8,34,0.0,0.0,3.0,56.9,13,7,2,6,2,Montréal Canadiens,3
Buffalo Sabres,6,26,25.0,1.0,4.0,72.5,23,10,4,11,4,Chicago Blackhawks,3
Buffalo Sabres,12,18,0.0,0.0,1.0,50.8,12,9,3,20,8,Detroit Red Wings,3
Buffalo Sabres,10,21,33.3,1.0,3.0,54.2,12,3,3,12,6,Pittsburgh Penguins,3
Carolina Hurricanes,10,25,20.0,1.0,5.0,38.8,9,7,3,17,5,Buffalo Sabres,3
Tampa Bay Lightning,4,24,33.3,1.0,3.0,50.8,10,10,9,44,5,Buffalo Sabres,3
Buffalo Sabres,12,24,33.3,1.0,3.0,39.7,9,6,5,15,1,Arizona Coyotes,4
Buffalo Sabres,6,36,50.0,1.0,2.0,58.6,24,11,3,15,4,Vegas Golden Knights,7
Buffalo Sabres,8,30,33.3,1.0,3.0,47.5,12,4,5,14,1,Boston Bruins,3
Buffalo Sabres,6,32,66.7,2.0,3.0,56.2,19,9,2,11,4,Vancouver Canucks,5
Ottawa Senators,14,30,12.5,1.0,8.0,42.9,9,7,13,10,4,Buffalo Sabres,1
Toronto Maple Leafs,6,34,33.3,2.0,6.0,38.0,11,7,14,28,5,Buffalo Sabres,2
Montréal Canadiens,21,38,50.0,2.0,4.0,45.3,10,10,14,15,2,Buffalo Sabres,7
Buffalo Sabres,8,36,33.3,1.0,3.0,46.2,12,4,4,26,6,St. Louis Blues,2
