abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
VAN,CGY,3,20,50.0,23,20,Flames,19,1/8,15,50.0,19,2,23,Canucks,21,0/7
CGY,VAN,0,4,61.5,17,23,Canucks,14,0/5,5,38.5,15,4,20,Flames,10,3/7
SEA,CGY,0,15,50.9,9,20,Flames,6,0/6,19,49.1,15,3,55,Kraken,12,0/3
CGY,EDM,0,16,52.5,13,22,Oilers,6,0/3,6,47.5,21,4,20,Flames,6,0/3
EDM,CGY,1,20,45.0,30,20,Flames,18,0/3,11,55.0,27,2,22,Oilers,18,0/3
CGY,SEA,1,11,31.4,19,55,Kraken,4,1/5,3,68.6,19,4,20,Flames,10,1/2
WPG,CGY,0,11,55.4,14,20,Flames,12,0/6,17,44.6,26,5,52,Jets,14,3/5
CGY,WPG,5,8,44.4,14,52,Jets,16,1/4,8,55.6,25,3,20,Flames,16,0/4
CGY,COL,3,15,41.5,17,21,Avalanche,14,1/4,10,58.5,26,5,20,Flames,12,2/5
EDM,CGY,4,14,45.5,36,20,Flames,10,1/4,13,54.5,39,3,22,Oilers,10,1/4
CGY,VGK,2,23,46.4,13,54,Golden Knights,12,0/4,8,53.6,21,3,20,Flames,8,2/6
CGY,BUF,6,12,56.1,11,7,Sabres,2,1/5,12,43.9,29,3,20,Flames,10,0/1
CGY,CAR,2,7,52.0,19,12,Hurricanes,8,0/4,15,48.0,26,3,20,Flames,8,1/4
CGY,PIT,1,19,35.9,18,5,Penguins,6,1/5,14,64.1,18,4,20,Flames,10,1/3
CGY,EDM,3,16,51.5,29,22,Oilers,6,1/4,13,48.5,31,2,20,Flames,8,0/3
CGY,SEA,5,19,38.5,18,55,Kraken,13,1/4,15,61.5,24,4,20,Flames,13,0/4
CGY,NSH,4,24,58.8,25,18,Predators,6,1/4,13,41.2,41,1,20,Flames,8,0/3
CGY,NJD,4,15,52.2,14,1,Devils,8,1/5,14,47.8,40,3,20,Flames,14,0/2
NYI,CGY,3,19,45.8,28,20,Flames,4,0/0,18,54.2,33,4,2,Islanders,0,1/2
NJD,CGY,2,18,49.2,27,20,Flames,15,2/4,9,50.8,21,3,1,Devils,13,1/5
BOS,CGY,1,7,32.1,25,20,Flames,15,0/6,12,67.9,25,3,6,Bruins,17,0/5
CGY,WPG,2,15,53.4,16,52,Jets,10,0/3,19,46.6,27,3,20,Flames,10,0/3
CGY,LAK,5,17,50.7,24,26,Kings,8,1/2,12,49.3,22,6,20,Flames,8,1/2
TBL,CGY,1,13,48.6,46,20,Flames,6,1/3,19,51.4,34,4,14,Lightning,8,1/2
FLA,CGY,5,16,54.1,33,20,Flames,13,1/3,13,45.9,17,4,13,Panthers,13,1/3
PHI,CGY,5,20,50.0,24,20,Flames,13,0/2,15,50.0,31,2,4,Flyers,11,0/3
PIT,CGY,1,21,45.8,41,20,Flames,6,0/3,13,54.2,39,2,5,Penguins,6,0/3
WSH,CGY,0,17,50.0,28,20,Flames,4,0/2,17,50.0,36,3,15,Capitals,4,1/2
CAR,CGY,2,13,57.1,31,20,Flames,8,1/3,10,42.9,21,3,12,Hurricanes,8,2/3
CGY,FLA,2,13,37.3,13,13,Panthers,12,0/4,11,62.7,13,6,20,Flames,12,1/4
CGY,MTL,2,23,53.6,9,8,Canadiens,8,1/3,6,46.4,17,1,20,Flames,6,0/4
CGY,WSH,2,20,55.7,24,15,Capitals,6,1/4,10,44.3,22,5,20,Flames,8,0/3
CGY,ARI,2,16,47.4,13,53,Coyotes,6,0/2,9,52.6,24,3,20,Flames,4,2/3
CGY,MIN,3,12,43.3,14,30,Wild,12,0/4,13,56.7,13,5,20,Flames,8,2/6
CBJ,CGY,1,5,52.7,12,20,Flames,14,0/5,18,47.3,14,3,29,Blue Jackets,12,0/7
TOR,CGY,4,13,49.2,34,20,Flames,16,1/2,11,50.8,29,5,10,Maple Leafs,8,3/6
MTL,CGY,1,22,49.4,25,20,Flames,21,1/6,19,50.6,25,2,8,Canadiens,19,0/7
CGY,VAN,4,13,50.0,26,23,Canucks,12,0/2,16,50.0,11,3,20,Flames,8,1/4
CGY,STL,5,15,53.0,11,19,Blues,6,1/2,8,47.0,14,2,20,Flames,4,0/3
SJS,CGY,5,6,45.2,23,20,Flames,21,1/4,14,54.8,26,2,28,Sharks,13,2/7
SJS,CGY,7,15,55.2,16,20,Flames,11,0/2,20,44.8,21,3,28,Sharks,9,0/3
LAK,CGY,3,13,54.4,31,20,Flames,8,1/2,21,45.6,22,4,26,Kings,6,0/3
