home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Minnesota Wild,8,25,0.0,0.0,4.0,35.2,16,1,2,39,3,Colorado Avalanche,2
Colorado Avalanche,18,23,20.0,1.0,5.0,54.7,9,6,2,20,3,Vegas Golden Knights,1
Colorado Avalanche,14,26,37.5,3.0,8.0,40.7,10,4,3,22,2,Minnesota Wild,5
Vegas Golden Knights,4,26,0.0,0.0,4.0,32.1,4,5,4,48,7,Colorado Avalanche,1
Dallas Stars,10,30,33.3,1.0,3.0,47.2,18,7,10,17,1,Colorado Avalanche,3
Colorado Avalanche,10,33,0.0,0.0,1.0,47.1,10,8,2,13,2,Dallas Stars,1
Colorado Avalanche,17,17,66.7,2.0,3.0,61.2,15,4,3,33,5,Chicago Blackhawks,2
Calgary Flames,14,25,25.0,1.0,4.0,41.5,15,9,12,17,5,Colorado Avalanche,3
Minnesota Wild,14,38,50.0,1.0,2.0,44.8,17,2,6,23,3,Colorado Avalanche,6
Colorado Avalanche,6,28,50.0,1.0,2.0,46.2,25,6,7,27,3,Winnipeg Jets,4
Colorado Avalanche,9,38,20.0,1.0,5.0,36.8,15,6,5,17,2,Seattle Kraken,3
Vegas Golden Knights,8,25,100.0,2.0,2.0,39.3,16,12,8,38,2,Colorado Avalanche,3
New York Rangers,8,44,33.3,1.0,3.0,43.5,12,5,3,24,2,Colorado Avalanche,2
New Jersey Devils,6,24,0.0,0.0,6.0,29.2,17,8,0,17,1,Colorado Avalanche,0
New York Islanders,6,37,50.0,1.0,2.0,57.1,10,8,3,21,5,Colorado Avalanche,4
Colorado Avalanche,10,39,14.3,1.0,7.0,64.2,13,4,2,18,6,Columbus Blue Jackets,3
Columbus Blue Jackets,7,45,0.0,0.0,1.0,56.9,13,3,2,10,1,Colorado Avalanche,5
Colorado Avalanche,6,35,50.0,1.0,2.0,55.1,12,4,3,32,5,Nashville Predators,3
Colorado Avalanche,8,25,0.0,0.0,5.0,62.0,6,6,4,11,4,Carolina Hurricanes,1
Colorado Avalanche,10,39,50.0,1.0,2.0,51.6,15,4,6,16,2,St. Louis Blues,3
