home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Pittsburgh Penguins,9,28,66.7,2.0,3.0,51.9,18,5,5,32,3,Columbus Blue Jackets,2
Columbus Blue Jackets,11,34,0.0,0.0,5.0,46.6,11,10,3,18,5,Pittsburgh Penguins,1
Columbus Blue Jackets,2,23,0.0,0.0,4.0,50.0,11,3,3,10,4,Buffalo Sabres,1
St. Louis Blues,18,35,0.0,0.0,3.0,54.9,10,8,4,28,4,Columbus Blue Jackets,2
Columbus Blue Jackets,4,35,0.0,0.0,3.0,47.4,6,6,9,15,2,Washington Capitals,1
Carolina Hurricanes,12,26,0.0,0.0,1.0,48.4,16,6,4,23,8,Columbus Blue Jackets,1
Columbus Blue Jackets,9,24,0.0,0.0,2.0,43.6,13,2,3,9,7,St. Louis Blues,0
Washington Capitals,8,39,25.0,1.0,4.0,53.6,19,6,9,22,4,Columbus Blue Jackets,3
Carolina Hurricanes,4,32,0.0,0.0,2.0,39.0,22,10,11,26,4,Columbus Blue Jackets,1
Columbus Blue Jackets,8,39,50.0,1.0,2.0,28.6,4,2,4,18,2,Tampa Bay Lightning,5
St. Louis Blues,6,25,0.0,0.0,2.0,57.4,13,11,10,14,5,Columbus Blue Jackets,2
Columbus Blue Jackets,9,35,0.0,0.0,3.0,38.3,14,11,3,13,4,Vancouver Canucks,3
Columbus Blue Jackets,6,26,0.0,0.0,5.0,54.4,19,6,6,15,5,Nashville Predators,3
Columbus Blue Jackets,2,39,0.0,0.0,3.0,53.3,17,7,4,12,3,Pittsburgh Penguins,6
New York Rangers,6,21,0.0,0.0,1.0,33.3,21,9,6,15,1,Columbus Blue Jackets,5
Columbus Blue Jackets,14,19,33.3,2.0,6.0,46.3,15,7,4,14,3,Arizona Coyotes,6
Columbus Blue Jackets,6,35,0.0,0.0,2.0,58.2,19,4,4,23,0,Boston Bruins,4
New Jersey Devils,8,21,0.0,0.0,2.0,44.6,21,5,4,27,7,Columbus Blue Jackets,1
Colorado Avalanche,10,39,14.3,1.0,7.0,64.2,13,4,2,18,6,Columbus Blue Jackets,3
Columbus Blue Jackets,7,45,0.0,0.0,1.0,56.9,13,3,2,10,1,Colorado Avalanche,5
Columbus Blue Jackets,11,34,0.0,0.0,0.0,47.6,12,6,6,15,5,Philadelphia Flyers,2
New York Islanders,4,29,50.0,1.0,2.0,44.3,20,5,7,19,4,Columbus Blue Jackets,3
Columbus Blue Jackets,4,37,50.0,1.0,2.0,47.5,18,4,0,27,5,Philadelphia Flyers,4
Columbus Blue Jackets,9,42,33.3,1.0,3.0,48.5,15,4,2,8,6,Montréal Canadiens,4
Columbus Blue Jackets,6,37,66.7,2.0,3.0,41.9,13,8,2,11,1,Detroit Red Wings,6
Columbus Blue Jackets,4,50,0.0,0.0,3.0,46.7,4,2,2,16,5,Florida Panthers,3
Columbus Blue Jackets,11,29,0.0,0.0,3.0,45.5,21,3,3,13,1,Montréal Canadiens,3
Columbus Blue Jackets,15,24,25.0,1.0,4.0,48.3,14,7,4,22,2,New York Islanders,3
Columbus Blue Jackets,4,36,0.0,0.0,4.0,55.6,15,6,2,16,2,Vegas Golden Knights,2
Winnipeg Jets,10,26,0.0,0.0,3.0,52.2,27,6,14,19,1,Columbus Blue Jackets,4
Columbus Blue Jackets,6,35,40.0,2.0,5.0,51.7,11,6,8,13,2,Detroit Red Wings,4
