home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Dallas Stars,6,28,0.0,0.0,1.0,43.8,21,4,4,28,0,St. Louis Blues,4
Dallas Stars,15,22,66.7,2.0,3.0,0.0,0,0,0,0,4,Arizona Coyotes,3
Dallas Stars,24,28,20.0,1.0,5.0,40.0,16,9,4,12,2,Minnesota Wild,5
St. Louis Blues,6,27,0.0,0.0,1.0,0.0,0,0,0,0,2,Dallas Stars,5
Dallas Stars,10,30,33.3,1.0,3.0,47.2,18,7,10,17,1,Colorado Avalanche,3
Colorado Avalanche,10,33,0.0,0.0,1.0,47.1,10,8,2,13,2,Dallas Stars,1
Minnesota Wild,17,23,0.0,0.0,3.0,58.2,14,5,1,15,5,Dallas Stars,1
Nashville Predators,15,29,50.0,2.0,4.0,50.0,17,8,9,30,1,Dallas Stars,4
Dallas Stars,16,30,25.0,1.0,4.0,46.6,18,10,11,17,5,Nashville Predators,1
Dallas Stars,8,25,0.0,0.0,5.0,45.1,11,8,13,13,4,Winnipeg Jets,1
Toronto Maple Leafs,16,28,25.0,1.0,4.0,47.9,15,14,14,41,3,Dallas Stars,2
Montréal Canadiens,8,30,66.7,2.0,3.0,53.4,13,13,20,16,2,Dallas Stars,5
Ottawa Senators,8,31,0.0,0.0,3.0,50.0,21,5,6,20,4,Dallas Stars,2
Boston Bruins,13,31,0.0,0.0,3.0,47.2,5,10,12,32,3,Dallas Stars,1
Dallas Stars,8,27,0.0,0.0,3.0,31.6,15,10,4,21,2,Washington Capitals,0
Dallas Stars,12,27,40.0,2.0,5.0,53.8,16,8,8,18,3,New York Rangers,6
Dallas Stars,8,32,33.3,1.0,3.0,47.7,22,1,7,23,5,Los Angeles Kings,2
Arizona Coyotes,2,36,25.0,1.0,4.0,49.2,12,1,7,13,2,Dallas Stars,7
Edmonton Oilers,12,36,66.7,2.0,3.0,50.0,13,9,4,25,2,Dallas Stars,6
Winnipeg Jets,9,22,0.0,0.0,1.0,51.0,10,7,10,24,5,Dallas Stars,1
Dallas Stars,9,18,50.0,1.0,2.0,47.5,24,4,2,23,4,San Jose Sharks,5
Philadelphia Flyers,12,31,66.7,2.0,3.0,74.1,19,5,11,27,1,Dallas Stars,5
Tampa Bay Lightning,12,32,100.0,2.0,2.0,48.7,16,7,7,43,5,Dallas Stars,4
Florida Panthers,15,29,0.0,0.0,3.0,54.5,16,5,16,14,4,Dallas Stars,6
Dallas Stars,14,29,20.0,1.0,5.0,36.2,14,5,5,17,5,New York Islanders,2
Dallas Stars,7,35,16.7,1.0,6.0,35.2,20,3,13,16,2,Colorado Avalanche,2
