home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Pittsburgh Penguins,18,21,100.0,2.0,2.0,55.3,15,20,3,39,2,Detroit Red Wings,6
Detroit Red Wings,6,22,25.0,1.0,4.0,43.2,10,14,7,25,2,Chicago Blackhawks,4
Detroit Red Wings,6,31,0.0,0.0,2.0,55.6,11,2,5,31,0,Washington Capitals,2
Chicago Blackhawks,8,35,0.0,0.0,4.0,43.5,10,16,8,15,0,Detroit Red Wings,3
Detroit Red Wings,4,24,100.0,2.0,2.0,54.0,16,4,11,22,2,Pittsburgh Penguins,3
Washington Capitals,9,33,25.0,1.0,4.0,46.7,13,5,4,22,4,Detroit Red Wings,2
Detroit Red Wings,4,23,0.0,0.0,2.0,39.6,11,3,4,27,4,Toronto Maple Leafs,2
Toronto Maple Leafs,10,19,0.0,0.0,5.0,41.9,17,5,10,36,5,Detroit Red Wings,1
Detroit Red Wings,6,29,0.0,0.0,3.0,58.5,16,3,10,24,3,Montréal Canadiens,0
New Jersey Devils,10,22,0.0,0.0,4.0,45.5,20,2,9,23,2,Detroit Red Wings,5
Detroit Red Wings,8,36,0.0,0.0,4.0,64.5,11,7,7,13,4,Los Angeles Kings,5
Chicago Blackhawks,10,28,20.0,1.0,5.0,38.2,14,8,3,13,4,Detroit Red Wings,3
Detroit Red Wings,14,33,0.0,0.0,4.0,50.8,8,6,10,19,5,Anaheim Ducks,1
Detroit Red Wings,6,41,100.0,1.0,1.0,58.6,13,2,13,16,2,New Jersey Devils,6
Boston Bruins,14,29,0.0,0.0,5.0,51.7,9,8,5,34,5,Detroit Red Wings,1
Detroit Red Wings,6,31,0.0,0.0,1.0,55.0,13,4,8,25,2,Minnesota Wild,1
Buffalo Sabres,12,18,0.0,0.0,1.0,50.8,12,9,3,20,8,Detroit Red Wings,3
Detroit Red Wings,8,34,0.0,0.0,4.0,63.6,7,4,8,19,3,Washington Capitals,1
Detroit Red Wings,10,24,0.0,0.0,3.0,60.4,10,1,6,34,3,New York Islanders,0
New York Rangers,4,36,25.0,1.0,4.0,52.5,22,3,4,23,2,Detroit Red Wings,3
Detroit Red Wings,35,33,0.0,0.0,1.0,52.7,17,2,10,13,2,Montréal Canadiens,2
Detroit Red Wings,4,33,33.3,1.0,3.0,48.9,11,3,7,25,2,New York Rangers,8
