abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
EDM,WPG,0,9,46.2,27,52,Jets,6,0/4,17,53.8,31,4,22,Oilers,8,0/3
SEA,EDM,0,12,44.4,19,22,Oilers,14,0/4,14,55.6,23,3,55,Kraken,13,0/6
CGY,EDM,0,16,52.5,13,22,Oilers,6,0/3,6,47.5,21,4,20,Flames,6,0/3
EDM,CGY,1,20,45.0,30,20,Flames,18,0/3,11,55.0,27,2,22,Oilers,18,0/3
WPG,EDM,3,15,50.0,24,22,Oilers,19,1/5,8,50.0,23,2,52,Jets,17,2/6
EDM,VAN,2,15,37.1,25,23,Canucks,8,1/5,5,62.9,22,7,22,Oilers,10,1/4
VAN,EDM,4,0,0.0,0,22,Oilers,20,0/3,0,0.0,0,5,23,Canucks,8,3/8
EDM,SEA,3,18,49.1,24,55,Kraken,4,1/2,7,50.9,36,5,22,Oilers,4,1/2
EDM,VAN,3,17,52.1,31,23,Canucks,8,1/8,16,47.9,39,5,22,Oilers,16,3/4
EDM,CGY,4,14,45.5,36,20,Flames,10,1/4,13,54.5,39,3,22,Oilers,10,1/4
EDM,BUF,4,13,44.4,16,7,Sabres,10,1/4,11,55.6,28,2,22,Oilers,12,0/3
EDM,CAR,4,11,48.7,18,12,Hurricanes,10,2/5,20,51.3,24,6,22,Oilers,10,2/5
EDM,STL,2,25,58.1,29,19,Blues,2,1/1,8,41.9,29,0,22,Oilers,2,0/1
EDM,PIT,3,8,46.0,32,5,Penguins,6,1/5,12,54.0,27,6,22,Oilers,10,1/3
STL,EDM,3,9,56.7,8,22,Oilers,6,0/2,21,43.3,21,1,19,Blues,4,1/3
CHI,EDM,6,7,45.3,14,22,Oilers,22,3/7,7,54.7,29,5,16,Blackhawks,18,2/10
CGY,EDM,3,16,51.5,29,22,Oilers,6,1/4,13,48.5,31,2,20,Flames,8,0/3
EDM,NSH,4,24,46.3,60,18,Predators,17,2/2,10,53.7,27,7,22,Oilers,9,2/6
EDM,NJD,4,10,43.8,24,1,Devils,4,0/3,19,56.3,27,3,22,Oilers,6,1/2
EDM,DAL,6,13,50.0,25,25,Stars,12,2/3,12,50.0,32,2,22,Oilers,6,1/6
WSH,EDM,4,19,47.8,21,22,Oilers,12,0/1,13,52.2,15,5,15,Capitals,4,4/5
TBL,EDM,3,19,46.7,33,22,Oilers,10,2/4,13,53.3,25,2,14,Lightning,8,0/5
CAR,EDM,2,17,44.4,21,22,Oilers,8,1/2,5,55.6,12,7,12,Hurricanes,4,1/4
FLA,EDM,4,14,53.4,15,22,Oilers,6,1/5,8,46.6,15,2,13,Panthers,10,1/3
EDM,LAK,3,29,55.6,27,26,Kings,6,0/3,8,44.4,39,1,22,Oilers,10,0/1
EDM,VGK,3,13,55.6,20,54,Golden Knights,6,0/3,16,44.4,31,4,22,Oilers,6,1/3
NJD,EDM,2,13,53.7,18,22,Oilers,6,1/4,11,46.3,20,5,1,Devils,8,1/3
NYI,EDM,0,9,47.9,17,22,Oilers,4,0/5,14,52.1,20,3,2,Islanders,10,1/2
NYR,EDM,4,9,50.9,17,22,Oilers,6,1/3,12,49.1,21,3,3,Rangers,6,0/3
EDM,FLA,3,16,42.2,26,13,Panthers,10,1/4,9,57.8,17,4,22,Oilers,8,1/5
CHI,EDM,5,16,39.1,14,22,Oilers,12,0/4,14,60.9,21,4,16,Blackhawks,8,2/6
MIN,EDM,3,14,52.6,19,22,Oilers,6,1/3,16,47.4,17,5,30,Wild,6,2/3
EDM,MTL,3,12,60.0,32,8,Canadiens,23,2/3,13,40.0,31,5,22,Oilers,6,3/5
EDM,WSH,3,15,51.8,27,15,Capitals,2,1/3,14,48.2,19,2,22,Oilers,6,0/1
EDM,ARI,2,16,49.0,29,53,Coyotes,27,0/2,8,51.0,14,8,22,Oilers,11,2/5
EDM,MIN,2,13,50.6,24,30,Wild,6,1/5,15,49.4,22,5,22,Oilers,10,2/3
MIN,EDM,1,7,60.8,11,22,Oilers,6,1/5,13,39.2,15,2,30,Wild,10,1/3
NSH,EDM,6,15,48.3,23,22,Oilers,10,2/2,11,51.7,31,3,18,Predators,4,0/5
EDM,STL,4,10,52.6,26,19,Blues,10,0/4,14,47.4,14,3,22,Oilers,8,2/5
EDM,ANA,4,13,56.7,18,24,Ducks,16,1/2,9,43.3,24,3,22,Oilers,8,2/6
NSH,EDM,3,9,46.2,22,22,Oilers,4,2/3,15,53.8,20,4,18,Predators,6,1/2
DAL,EDM,6,12,40.7,28,22,Oilers,10,1/2,15,59.3,22,3,25,Stars,6,1/4
EDM,VAN,5,20,41.5,24,23,Canucks,6,1/2,16,58.5,28,2,22,Oilers,4,0/3
CGY,EDM,2,25,46.6,13,22,Oilers,2,1/3,6,53.4,20,1,20,Flames,6,0/1
SEA,EDM,7,20,44.6,13,22,Oilers,13,2/2,18,55.4,29,2,55,Kraken,11,0/3
EDM,WPG,2,20,55.3,23,52,Jets,10,1/3,7,44.7,36,1,22,Oilers,6,0/5
EDM,SEA,5,18,38.7,38,55,Kraken,6,1/3,9,61.3,31,2,22,Oilers,6,1/3
EDM,NYI,2,20,52.9,44,2,Islanders,8,0/3,13,47.1,25,4,22,Oilers,6,1/4
EDM,COL,3,13,45.5,21,21,Avalanche,12,0/4,16,54.5,24,2,22,Oilers,10,2/5
LAK,EDM,3,9,42.6,22,22,Oilers,41,0/6,22,57.4,26,6,26,Kings,29,4/7
ANA,EDM,6,8,54.0,15,22,Oilers,6,1/3,16,46.0,23,2,24,Ducks,6,0/3
SJS,EDM,7,13,34.9,11,22,Oilers,8,2/4,11,65.1,29,1,28,Sharks,8,0/4
VGK,EDM,4,13,53.1,30,22,Oilers,4,0/1,12,46.9,36,3,54,Golden Knights,2,0/2
EDM,SEA,2,13,50.0,43,55,Kraken,6,1/4,14,50.0,36,5,22,Oilers,8,0/3
EDM,TBL,3,19,55.0,27,14,Lightning,24,0/2,10,45.0,23,5,22,Oilers,20,1/4
VAN,EDM,4,12,54.7,16,22,Oilers,6,1/1,7,45.3,22,2,23,Canucks,4,0/2
EDM,CBJ,3,24,43.4,32,29,Blue Jackets,2,0/2,20,56.6,19,2,22,Oilers,4,1/1
EDM,CHI,3,17,42.6,27,16,Blackhawks,11,1/3,17,57.4,21,7,22,Oilers,11,2/3
DET,EDM,5,12,49.1,20,22,Oilers,18,1/4,9,50.9,16,2,17,Red Wings,14,0/5
PHI,EDM,1,17,48.1,13,22,Oilers,6,0/0,11,51.9,23,2,4,Flyers,0,0/3
OTT,EDM,6,13,50.8,25,22,Oilers,13,1/5,18,49.2,34,3,9,Senators,15,1/4
MTL,EDM,2,14,72.5,9,22,Oilers,15,1/6,24,27.5,9,6,8,Canadiens,21,2/3
EDM,DET,5,19,46.2,28,17,Red Wings,6,2/2,4,53.8,24,4,22,Oilers,4,1/3
EDM,NYR,5,17,48.4,29,3,Rangers,8,2/4,12,51.6,20,4,22,Oilers,8,2/4
COL,EDM,5,15,46.8,27,22,Oilers,8,0/1,22,53.2,16,6,21,Avalanche,2,0/4
EDM,PHI,2,17,44.8,20,4,Flyers,8,0/3,13,55.2,28,4,22,Oilers,6,2/4
PIT,EDM,7,11,41.1,18,22,Oilers,8,2/3,11,58.9,36,2,5,Penguins,6,1/4
CBJ,EDM,5,8,63.9,17,22,Oilers,10,1/4,16,36.1,14,6,29,Blue Jackets,20,1/4
EDM,BOS,3,15,42.9,23,6,Bruins,4,0/5,20,57.1,22,2,22,Oilers,10,0/1
EDM,TOR,2,13,56.5,22,10,Maple Leafs,13,1/3,14,43.5,25,5,22,Oilers,11,1/4
EDM,WPG,3,12,49.2,25,52,Jets,20,1/3,9,50.8,11,6,22,Oilers,8,2/9
WPG,EDM,5,15,49.3,13,22,Oilers,11,2/3,19,50.7,29,7,52,Jets,11,1/3
BUF,EDM,3,7,64.7,24,22,Oilers,4,0/1,11,35.3,18,2,7,Sabres,2,1/2
BOS,EDM,3,13,53.1,31,22,Oilers,4,0/1,11,46.9,33,2,6,Bruins,2,0/2
TOR,EDM,4,12,46.4,23,22,Oilers,20,1/3,10,53.6,22,7,10,Maple Leafs,16,2/5
EDM,OTT,3,16,39.7,19,9,Senators,6,1/5,7,60.3,23,6,22,Oilers,10,1/3
EDM,DAL,1,11,57.4,27,25,Stars,8,0/3,14,42.6,27,4,22,Oilers,6,1/4
SEA,EDM,6,11,50.0,16,22,Oilers,11,1/3,8,50.0,24,4,55,Kraken,13,0/2
EDM,SJS,4,15,38.5,31,28,Sharks,6,0/2,11,61.5,23,5,22,Oilers,4,0/3
EDM,ARI,3,13,39.6,27,53,Coyotes,8,1/2,8,60.4,25,4,22,Oilers,4,2/4
EDM,VGK,4,24,52.3,25,54,Golden Knights,6,1/2,15,47.7,36,3,22,Oilers,6,1/2
