home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Nashville Predators,10,32,0.0,0.0,3.0,42.9,21,4,6,21,3,Florida Panthers,4
Nashville Predators,6,25,0.0,0.0,2.0,32.2,11,6,7,12,4,Florida Panthers,0
Florida Panthers,12,28,50.0,2.0,4.0,54.8,12,5,5,8,2,Carolina Hurricanes,5
Carolina Hurricanes,8,10,33.3,1.0,3.0,50.0,16,7,8,18,4,Florida Panthers,3
Florida Panthers,10,28,0.0,0.0,1.0,51.9,16,8,8,20,3,Tampa Bay Lightning,2
Tampa Bay Lightning,8,29,0.0,0.0,1.0,48.9,5,15,7,33,5,Florida Panthers,2
New York Islanders,8,29,0.0,0.0,5.0,41.4,13,5,13,15,1,Florida Panthers,3
Buffalo Sabres,12,37,33.3,2.0,6.0,47.6,10,4,5,11,3,Florida Panthers,4
Boston Bruins,10,41,0.0,0.0,4.0,35.6,19,1,3,22,5,Florida Panthers,3
Florida Panthers,6,33,16.7,1.0,6.0,37.3,14,8,8,18,4,Philadelphia Flyers,3
Florida Panthers,14,32,28.6,2.0,7.0,52.9,15,7,5,29,2,Tampa Bay Lightning,3
Florida Panthers,8,26,33.3,2.0,6.0,49.0,20,5,11,29,3,New York Islanders,2
Chicago Blackhawks,6,31,0.0,0.0,6.0,41.7,6,5,9,17,4,Florida Panthers,2
Philadelphia Flyers,8,51,25.0,1.0,4.0,50.0,8,8,4,27,4,Florida Panthers,3
Florida Panthers,16,26,50.0,1.0,2.0,44.4,15,12,11,39,5,Ottawa Senators,3
Arizona Coyotes,12,42,0.0,0.0,3.0,56.9,8,3,10,16,3,Florida Panthers,1
San Jose Sharks,6,44,33.3,1.0,3.0,57.6,16,10,16,23,3,Florida Panthers,3
Los Angeles Kings,22,38,0.0,0.0,2.0,47.8,15,4,9,22,5,Florida Panthers,4
Anaheim Ducks,6,48,40.0,2.0,5.0,60.0,12,7,9,14,3,Florida Panthers,5
Florida Panthers,8,40,0.0,0.0,3.0,54.7,8,8,5,24,3,Carolina Hurricanes,0
Florida Panthers,6,32,20.0,1.0,5.0,53.4,14,8,8,15,2,Edmonton Oilers,4
Florida Panthers,4,43,0.0,0.0,5.0,55.0,16,4,10,24,5,Washington Capitals,2
Florida Panthers,15,29,0.0,0.0,3.0,54.5,16,5,16,14,4,Dallas Stars,6
Florida Panthers,13,35,33.3,1.0,3.0,54.1,16,6,6,33,4,Calgary Flames,4
Columbus Blue Jackets,4,50,0.0,0.0,3.0,46.7,4,2,2,16,5,Florida Panthers,3
Florida Panthers,14,39,33.3,2.0,6.0,58.7,11,3,6,21,5,Boston Bruins,2
Florida Panthers,11,37,0.0,0.0,4.0,54.0,7,6,9,21,4,St. Louis Blues,5
Edmonton Oilers,10,28,25.0,1.0,4.0,42.2,16,11,11,26,4,Florida Panthers,3
Calgary Flames,12,33,0.0,0.0,4.0,37.3,13,4,8,13,6,Florida Panthers,2
Vancouver Canucks,11,32,0.0,0.0,2.0,45.6,12,7,4,10,1,Florida Panthers,5
Seattle Kraken,6,28,75.0,3.0,4.0,50.0,12,8,6,19,1,Florida Panthers,5
Winnipeg Jets,13,41,25.0,1.0,4.0,32.8,10,6,4,15,5,Florida Panthers,2
Florida Panthers,16,20,25.0,1.0,4.0,45.6,17,4,8,20,5,Detroit Red Wings,1
Tampa Bay Lightning,8,25,0.0,0.0,4.0,52.6,12,11,6,30,4,Florida Panthers,1
Florida Panthers,8,32,16.7,1.0,6.0,34.4,10,4,5,22,2,Seattle Kraken,5
Florida Panthers,6,22,0.0,0.0,3.0,48.9,13,6,11,23,4,Columbus Blue Jackets,0
Florida Panthers,6,39,66.7,2.0,3.0,52.1,9,9,12,12,2,Pittsburgh Penguins,4
New Jersey Devils,8,29,50.0,1.0,2.0,54.4,20,5,4,29,2,Florida Panthers,4
Boston Bruins,10,39,0.0,0.0,3.0,43.5,13,11,10,14,7,Florida Panthers,3
Florida Panthers,17,33,33.3,1.0,3.0,49.1,27,8,9,16,2,New Jersey Devils,4
New York Islanders,29,23,0.0,0.0,3.0,53.2,20,2,9,15,5,Florida Panthers,1
Florida Panthers,41,27,50.0,2.0,4.0,41.3,15,3,4,26,7,Montréal Canadiens,2
Carolina Hurricanes,12,19,0.0,0.0,6.0,44.3,10,7,13,26,4,Florida Panthers,0
Florida Panthers,8,28,50.0,2.0,4.0,42.9,14,6,5,16,3,New York Rangers,5
Florida Panthers,6,36,50.0,1.0,2.0,41.8,10,3,15,22,5,Arizona Coyotes,3
Detroit Red Wings,10,20,100.0,2.0,2.0,35.2,16,1,4,20,2,Florida Panthers,3
Dallas Stars,4,28,0.0,0.0,4.0,48.5,9,3,5,20,5,Florida Panthers,1
Colorado Avalanche,15,37,100.0,2.0,2.0,55.2,16,8,7,29,4,Florida Panthers,5
Vegas Golden Knights,11,39,33.3,1.0,3.0,42.4,12,6,8,33,4,Florida Panthers,2
Florida Panthers,8,38,20.0,1.0,5.0,50.0,11,4,8,18,4,Vancouver Canucks,3
Buffalo Sabres,8,34,0.0,0.0,3.0,54.0,16,3,3,27,1,Florida Panthers,4
Toronto Maple Leafs,18,19,33.3,1.0,3.0,41.7,14,6,9,28,5,Florida Panthers,4
Montréal Canadiens,37,40,50.0,4.0,8.0,44.0,20,9,9,14,2,Florida Panthers,6
Florida Panthers,9,32,100.0,2.0,2.0,50.9,16,4,12,24,5,Minnesota Wild,3
New York Rangers,2,35,50.0,1.0,2.0,49.3,13,6,16,16,6,Florida Panthers,2
Pittsburgh Penguins,10,39,33.3,1.0,3.0,41.3,28,11,4,27,7,Florida Panthers,6
Florida Panthers,15,33,0.0,0.0,2.0,48.3,19,8,11,17,3,Los Angeles Kings,4
Florida Panthers,4,40,0.0,0.0,4.0,50.0,20,6,12,13,4,Boston Bruins,3
Florida Panthers,16,33,0.0,0.0,2.0,53.2,17,2,4,13,7,Tampa Bay Lightning,1
Florida Panthers,7,34,0.0,0.0,3.0,51.6,16,12,9,17,4,San Jose Sharks,1
Florida Panthers,13,50,33.3,1.0,3.0,46.5,16,4,5,7,3,Colorado Avalanche,5
Minnesota Wild,12,34,0.0,0.0,7.0,43.1,14,4,5,14,1,Florida Panthers,1
St. Louis Blues,4,36,0.0,0.0,2.0,48.1,9,12,6,13,6,Florida Panthers,2
Washington Capitals,12,36,0.0,0.0,2.0,43.9,22,10,9,15,3,Florida Panthers,6
Nashville Predators,8,33,50.0,1.0,2.0,50.0,16,10,9,21,7,Florida Panthers,3
Florida Panthers,8,32,50.0,1.0,2.0,46.8,24,2,9,10,4,Anaheim Ducks,3
Florida Panthers,12,33,50.0,1.0,2.0,58.8,13,4,5,24,1,Buffalo Sabres,3
Tampa Bay Lightning,10,41,0.0,0.0,2.0,46.2,22,6,6,27,1,Florida Panthers,4
Florida Panthers,0,23,100.0,1.0,1.0,56.9,28,7,10,33,1,Nashville Predators,2
Florida Panthers,32,32,20.0,1.0,5.0,60.0,13,5,10,14,4,Pittsburgh Penguins,1
Florida Panthers,6,23,25.0,1.0,4.0,45.1,29,0,9,11,2,Vegas Golden Knights,1
Florida Panthers,8,24,0.0,0.0,6.0,56.6,19,10,6,18,4,Chicago Blackhawks,3
Florida Panthers,12,27,66.7,2.0,3.0,45.3,19,8,7,31,4,Winnipeg Jets,5
Florida Panthers,31,30,100.0,1.0,1.0,46.0,16,2,5,26,9,Montréal Canadiens,5
Florida Panthers,8,35,0.0,0.0,2.0,50.0,16,2,9,20,4,New Jersey Devils,2
Detroit Red Wings,4,25,50.0,1.0,2.0,54.8,8,2,3,19,2,Florida Panthers,5
Philadelphia Flyers,9,44,25.0,1.0,4.0,49.1,7,9,4,21,6,Florida Panthers,3
Florida Panthers,6,27,25.0,1.0,4.0,45.6,12,5,3,18,2,Toronto Maple Leafs,6
Florida Panthers,4,42,0.0,0.0,3.0,44.8,23,6,4,20,3,New York Rangers,4
Ottawa Senators,8,34,0.0,0.0,4.0,45.0,8,4,7,30,5,Florida Panthers,2
Toronto Maple Leafs,10,29,25.0,1.0,4.0,34.6,12,5,14,23,2,Florida Panthers,3
Montréal Canadiens,4,30,50.0,1.0,2.0,52.3,20,5,11,20,2,Florida Panthers,5
Columbus Blue Jackets,8,49,33.3,1.0,3.0,57.1,11,2,5,18,0,Florida Panthers,7
Florida Panthers,8,40,20.0,1.0,5.0,43.8,10,2,10,20,2,Buffalo Sabres,1
Florida Panthers,88,58,0.0,0.0,6.0,55.2,12,4,4,24,7,Ottawa Senators,2
Washington Capitals,8,37,25.0,1.0,4.0,52.9,14,6,8,10,2,Florida Panthers,4
Florida Panthers,4,25,0.0,0.0,1.0,52.1,23,10,7,25,1,Toronto Maple Leafs,2
Florida Panthers,6,36,0.0,0.0,4.0,39.3,16,6,6,14,4,Carolina Hurricanes,6
Boston Bruins,4,32,0.0,0.0,2.0,47.8,15,11,15,44,3,Florida Panthers,1
Boston Bruins,32,30,0.0,0.0,3.0,53.9,13,4,5,29,3,Florida Panthers,6
Florida Panthers,14,35,0.0,0.0,4.0,38.8,18,5,11,41,2,Boston Bruins,4
Florida Panthers,35,31,50.0,2.0,4.0,63.5,25,3,8,36,2,Boston Bruins,6
Boston Bruins,10,25,50.0,1.0,2.0,37.7,19,7,10,48,3,Florida Panthers,4
Florida Panthers,14,34,75.0,3.0,4.0,52.7,20,2,7,24,7,Boston Bruins,5
Boston Bruins,10,31,33.3,1.0,3.0,43.2,12,17,9,35,3,Florida Panthers,4
Toronto Maple Leafs,10,28,0.0,0.0,1.0,49.1,8,3,10,47,2,Florida Panthers,4
Toronto Maple Leafs,6,29,0.0,0.0,1.0,31.5,15,15,14,42,2,Florida Panthers,3
Florida Panthers,4,24,0.0,0.0,0.0,61.0,24,3,14,26,3,Toronto Maple Leafs,2
Florida Panthers,16,25,50.0,1.0,2.0,62.2,21,9,11,26,1,Toronto Maple Leafs,2
Toronto Maple Leafs,4,43,50.0,1.0,2.0,38.2,20,16,19,49,2,Florida Panthers,3
Carolina Hurricanes,12,60,0.0,0.0,3.0,45.5,38,11,12,46,2,Florida Panthers,3
Carolina Hurricanes,8,26,33.3,1.0,3.0,43.8,14,2,11,30,1,Florida Panthers,2
Florida Panthers,10,32,0.0,0.0,1.0,58.2,14,5,6,23,1,Carolina Hurricanes,0
Florida Panthers,10,39,0.0,0.0,4.0,49.3,12,3,9,33,4,Carolina Hurricanes,3
Vegas Golden Knights,46,35,0.0,0.0,3.0,47.3,11,7,13,36,5,Florida Panthers,2
Vegas Golden Knights,84,31,0.0,0.0,4.0,48.5,11,11,6,44,7,Florida Panthers,2
Florida Panthers,14,27,33.3,2.0,6.0,52.3,31,8,7,18,3,Vegas Golden Knights,2
Florida Panthers,4,31,0.0,0.0,1.0,46.3,30,2,8,32,2,Vegas Golden Knights,3
Vegas Golden Knights,2,35,0.0,0.0,1.0,44.8,12,7,14,27,9,Florida Panthers,3
