home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
San Jose Sharks,14,45,0.0,0.0,8.0,59.2,6,7,4,23,3,Los Angeles Kings,2
Vegas Golden Knights,8,18,33.3,1.0,3.0,46.2,11,6,6,38,1,Los Angeles Kings,2
Los Angeles Kings,10,17,50.0,2.0,4.0,0.0,0,0,0,0,1,San Jose Sharks,3
Los Angeles Kings,8,25,0.0,0.0,4.0,49.1,12,2,5,23,2,Anaheim Ducks,1
Anaheim Ducks,10,36,50.0,1.0,2.0,57.1,13,7,8,13,5,Los Angeles Kings,4
Los Angeles Kings,6,33,33.3,1.0,3.0,0.0,0,0,0,0,4,Vegas Golden Knights,6
Los Angeles Kings,8,28,25.0,1.0,4.0,37.9,8,3,1,25,6,Anaheim Ducks,3
Los Angeles Kings,6,51,20.0,1.0,5.0,50.8,13,2,3,25,3,Vegas Golden Knights,4
Los Angeles Kings,19,22,16.7,1.0,6.0,42.3,15,2,8,44,1,Seattle Kraken,4
Minnesota Wild,14,34,33.3,2.0,6.0,53.6,20,7,4,5,6,Los Angeles Kings,7
Detroit Red Wings,8,36,0.0,0.0,4.0,64.5,11,7,7,13,4,Los Angeles Kings,5
Nashville Predators,12,35,12.5,1.0,8.0,37.7,12,5,5,20,3,Los Angeles Kings,3
Pittsburgh Penguins,8,40,16.7,1.0,6.0,41.8,17,7,12,28,6,Los Angeles Kings,1
Washington Capitals,6,26,0.0,0.0,1.0,64.3,18,8,9,16,4,Los Angeles Kings,3
Los Angeles Kings,10,25,0.0,0.0,4.0,45.1,20,2,2,16,4,Tampa Bay Lightning,2
Los Angeles Kings,8,19,40.0,2.0,5.0,33.3,22,3,4,25,4,Winnipeg Jets,6
Los Angeles Kings,12,28,25.0,1.0,4.0,43.6,13,0,5,22,4,Toronto Maple Leafs,2
St. Louis Blues,8,30,33.3,1.0,3.0,49.1,12,15,4,17,1,Los Angeles Kings,5
Dallas Stars,8,32,33.3,1.0,3.0,47.7,22,1,7,23,5,Los Angeles Kings,2
Chicago Blackhawks,7,33,0.0,0.0,2.0,60.4,9,12,8,21,2,Los Angeles Kings,1
Los Angeles Kings,22,38,0.0,0.0,2.0,47.8,15,4,9,22,5,Florida Panthers,4
Los Angeles Kings,11,21,0.0,0.0,1.0,42.9,22,2,4,31,1,Minnesota Wild,0
Los Angeles Kings,8,32,25.0,1.0,4.0,68.4,22,4,10,35,2,Chicago Blackhawks,1
Los Angeles Kings,6,21,50.0,2.0,4.0,42.3,22,2,5,35,4,Detroit Red Wings,3
Calgary Flames,8,29,50.0,1.0,2.0,50.7,17,4,12,24,6,Los Angeles Kings,5
Edmonton Oilers,6,32,0.0,0.0,3.0,55.6,29,6,11,27,1,Los Angeles Kings,3
Vancouver Canucks,6,38,0.0,0.0,2.0,50.0,17,1,6,14,4,Los Angeles Kings,1
Seattle Kraken,6,29,0.0,0.0,1.0,41.7,8,10,3,28,3,Los Angeles Kings,2
Los Angeles Kings,4,25,0.0,0.0,0.0,47.5,14,2,9,41,3,New York Rangers,5
San Jose Sharks,6,29,50.0,1.0,2.0,52.2,23,15,8,23,2,Los Angeles Kings,5
Los Angeles Kings,4,39,50.0,1.0,2.0,48.5,17,5,5,37,2,Ottawa Senators,3
Los Angeles Kings,8,30,75.0,3.0,4.0,37.1,11,4,4,32,8,Seattle Kraken,9
Los Angeles Kings,10,21,0.0,0.0,3.0,52.6,15,2,7,32,5,Arizona Coyotes,3
Los Angeles Kings,8,31,33.3,1.0,3.0,43.1,17,5,4,19,2,Carolina Hurricanes,4
Ottawa Senators,8,28,66.7,2.0,3.0,42.9,21,4,14,16,2,Los Angeles Kings,5
