home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Minnesota Wild,8,25,0.0,0.0,4.0,35.2,16,1,2,39,3,Colorado Avalanche,2
Colorado Avalanche,14,26,37.5,3.0,8.0,40.7,10,4,3,22,2,Minnesota Wild,5
Dallas Stars,24,28,20.0,1.0,5.0,40.0,16,9,4,12,2,Minnesota Wild,5
Chicago Blackhawks,14,33,0.0,0.0,3.0,0.0,0,0,0,0,0,Minnesota Wild,3
St. Louis Blues,14,28,0.0,0.0,4.0,38.9,22,12,4,37,4,Minnesota Wild,2
Minnesota Wild,6,26,0.0,0.0,6.0,48.9,6,5,3,15,4,Chicago Blackhawks,1
Minnesota Wild,17,23,0.0,0.0,3.0,58.2,14,5,1,15,5,Dallas Stars,1
Minnesota Wild,17,35,20.0,1.0,5.0,50.0,13,4,1,27,3,New York Rangers,7
Minnesota Wild,14,34,33.3,2.0,6.0,53.6,20,7,4,5,6,Los Angeles Kings,7
Minnesota Wild,14,38,50.0,1.0,2.0,44.8,17,2,6,23,3,Colorado Avalanche,6
Minnesota Wild,13,26,0.0,0.0,2.0,49.0,14,10,1,12,4,Vancouver Canucks,3
Boston Bruins,10,27,20.0,1.0,5.0,39.0,20,4,4,21,4,Minnesota Wild,3
Montréal Canadiens,10,31,0.0,0.0,3.0,47.9,21,5,20,19,1,Minnesota Wild,3
Ottawa Senators,22,40,25.0,1.0,4.0,51.6,24,7,5,25,2,Minnesota Wild,4
Detroit Red Wings,6,31,0.0,0.0,1.0,55.0,13,4,8,25,2,Minnesota Wild,1
Chicago Blackhawks,11,35,0.0,0.0,2.0,37.5,11,10,4,15,3,Minnesota Wild,3
Minnesota Wild,45,35,50.0,1.0,2.0,62.0,15,2,6,16,4,Montréal Canadiens,1
Minnesota Wild,4,23,50.0,1.0,2.0,51.1,14,8,6,20,0,Seattle Kraken,4
Los Angeles Kings,11,21,0.0,0.0,1.0,42.9,22,2,4,31,1,Minnesota Wild,0
Anaheim Ducks,53,39,33.3,2.0,6.0,50.0,12,4,8,16,1,Minnesota Wild,4
Seattle Kraken,8,21,0.0,0.0,3.0,42.0,22,8,3,20,0,Minnesota Wild,1
Minnesota Wild,4,37,0.0,0.0,3.0,51.8,12,4,6,12,2,San Jose Sharks,2
Nashville Predators,22,33,0.0,0.0,5.0,45.3,10,8,6,22,2,Minnesota Wild,1
Minnesota Wild,6,32,40.0,2.0,5.0,57.6,12,4,5,25,4,Pittsburgh Penguins,6
Minnesota Wild,4,21,0.0,0.0,2.0,38.5,13,3,3,21,2,Carolina Hurricanes,1
Minnesota Wild,19,29,0.0,0.0,2.0,42.1,12,3,5,14,6,Winnipeg Jets,1
Minnesota Wild,4,28,0.0,0.0,3.0,55.6,22,4,4,12,3,Toronto Maple Leafs,4
Minnesota Wild,13,23,0.0,0.0,2.0,44.8,17,8,7,14,4,Arizona Coyotes,3
Minnesota Wild,6,21,33.3,1.0,3.0,52.6,14,6,8,19,5,Edmonton Oilers,3
