home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Montréal Canadiens,10,31,25.0,1.0,4.0,54.2,13,7,11,26,1,New Jersey Devils,2
New Jersey Devils,6,25,0.0,0.0,5.0,42.3,9,6,6,17,4,New York Islanders,1
New York Rangers,6,36,0.0,0.0,5.0,61.4,6,5,4,23,2,New Jersey Devils,5
New Jersey Devils,2,37,0.0,0.0,2.0,47.1,9,3,9,12,1,New York Rangers,2
New Jersey Devils,4,24,0.0,0.0,4.0,69.1,9,7,5,23,1,Boston Bruins,0
New York Islanders,6,28,25.0,1.0,4.0,45.2,19,8,15,21,5,New Jersey Devils,2
Boston Bruins,4,27,0.0,0.0,2.0,25.4,11,6,13,21,3,New Jersey Devils,5
Philadelphia Flyers,8,37,33.3,1.0,3.0,60.9,9,6,9,18,5,New Jersey Devils,2
New Jersey Devils,10,22,0.0,0.0,4.0,45.5,20,2,9,23,2,Detroit Red Wings,5
New Jersey Devils,23,20,0.0,0.0,4.0,46.3,13,7,10,22,4,Anaheim Ducks,2
New York Islanders,6,43,0.0,0.0,3.0,60.8,21,4,7,21,1,New Jersey Devils,4
New Jersey Devils,6,22,0.0,0.0,2.0,52.4,11,2,7,35,2,San Jose Sharks,1
New Jersey Devils,8,22,33.3,1.0,3.0,49.3,12,3,6,31,3,Washington Capitals,6
Detroit Red Wings,6,41,100.0,1.0,1.0,58.6,13,2,13,16,2,New Jersey Devils,6
New Jersey Devils,6,24,0.0,0.0,6.0,29.2,17,8,0,17,1,Colorado Avalanche,0
New Jersey Devils,8,21,0.0,0.0,2.0,44.6,21,5,4,27,7,Columbus Blue Jackets,1
Vancouver Canucks,25,37,100.0,1.0,1.0,57.7,17,7,3,14,2,New Jersey Devils,5
Edmonton Oilers,4,43,0.0,0.0,3.0,43.8,10,11,17,24,3,New Jersey Devils,4
Calgary Flames,8,35,20.0,1.0,5.0,52.2,15,10,14,14,3,New Jersey Devils,4
New Jersey Devils,15,35,50.0,2.0,4.0,49.2,18,5,5,27,3,Calgary Flames,2
New Jersey Devils,6,28,25.0,1.0,4.0,50.0,23,2,3,14,4,Ottawa Senators,3
