home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
New York Rangers,6,24,0.0,0.0,4.0,45.7,5,9,7,35,4,New York Islanders,1
Boston Bruins,2,26,0.0,0.0,4.0,51.9,10,3,6,32,3,New York Rangers,2
New York Rangers,6,36,0.0,0.0,5.0,61.4,6,5,4,23,2,New Jersey Devils,5
New Jersey Devils,2,37,0.0,0.0,2.0,47.1,9,3,9,12,1,New York Rangers,2
New York Rangers,8,26,0.0,0.0,2.0,44.7,8,5,1,27,4,Boston Bruins,5
New York Islanders,15,29,0.0,0.0,4.0,38.2,17,7,13,24,3,New York Rangers,1
New York Rangers,8,26,16.7,1.0,6.0,36.2,22,8,15,19,3,Tampa Bay Lightning,1
Minnesota Wild,17,35,20.0,1.0,5.0,50.0,13,4,1,27,3,New York Rangers,7
Winnipeg Jets,6,41,0.0,0.0,2.0,49.1,18,3,20,25,4,New York Rangers,1
New York Rangers,8,22,0.0,0.0,1.0,48.3,12,4,10,17,6,Anaheim Ducks,4
New York Rangers,10,27,33.3,1.0,3.0,57.9,11,5,6,19,2,San Jose Sharks,3
New York Rangers,6,21,0.0,0.0,1.0,33.3,21,9,6,15,1,Columbus Blue Jackets,5
New York Rangers,8,44,33.3,1.0,3.0,43.5,12,5,3,24,2,Colorado Avalanche,2
New York Islanders,6,41,0.0,0.0,3.0,49.0,14,4,15,43,3,New York Rangers,0
Dallas Stars,12,27,40.0,2.0,5.0,53.8,16,8,8,18,3,New York Rangers,6
Arizona Coyotes,2,39,33.3,1.0,3.0,54.4,11,5,9,34,2,New York Rangers,3
New York Rangers,10,19,0.0,0.0,3.0,58.0,15,5,12,14,1,Philadelphia Flyers,0
New York Rangers,24,37,0.0,0.0,3.0,61.0,11,9,18,21,2,Boston Bruins,5
New York Rangers,4,36,25.0,1.0,4.0,52.5,22,3,4,23,2,Detroit Red Wings,3
New York Rangers,8,26,66.7,2.0,3.0,42.9,17,7,8,18,3,New York Islanders,4
Detroit Red Wings,4,33,33.3,1.0,3.0,48.9,11,3,7,25,2,New York Rangers,8
Nashville Predators,20,35,0.0,0.0,5.0,51.0,16,4,4,32,2,New York Rangers,1
New York Rangers,10,32,16.7,1.0,6.0,61.5,13,7,13,19,4,Arizona Coyotes,1
Seattle Kraken,8,30,50.0,2.0,4.0,44.9,9,6,1,24,3,New York Rangers,2
San Jose Sharks,2,43,0.0,0.0,3.0,40.0,8,12,9,32,1,New York Rangers,2
Los Angeles Kings,4,25,0.0,0.0,0.0,47.5,14,2,9,41,3,New York Rangers,5
Anaheim Ducks,6,43,0.0,0.0,4.0,47.8,10,9,8,21,3,New York Rangers,2
New York Rangers,6,32,33.3,1.0,3.0,50.9,9,4,8,17,3,Edmonton Oilers,4
New York Rangers,10,38,0.0,0.0,3.0,59.6,15,11,8,12,3,New Jersey Devils,5
Ottawa Senators,8,36,0.0,0.0,2.0,29.4,19,3,10,30,1,New York Rangers,3
New York Rangers,14,37,25.0,1.0,4.0,51.4,19,7,9,26,2,Ottawa Senators,3
New York Rangers,35,21,75.0,3.0,4.0,46.3,20,6,6,30,2,Chicago Blackhawks,5
New York Rangers,4,29,25.0,1.0,4.0,45.2,12,4,4,21,6,St. Louis Blues,4
Vegas Golden Knights,13,37,40.0,2.0,5.0,45.9,26,6,9,32,1,New York Rangers,5
Colorado Avalanche,2,29,0.0,0.0,1.0,49.0,16,3,7,24,1,New York Rangers,1
New York Rangers,6,29,0.0,0.0,2.0,58.5,10,3,9,19,4,New Jersey Devils,3
New York Rangers,2,23,0.0,0.0,3.0,49.0,11,11,29,8,3,Toronto Maple Leafs,1
Philadelphia Flyers,8,34,0.0,0.0,1.0,51.9,18,9,5,20,3,New York Rangers,6
Chicago Blackhawks,2,26,100.0,1.0,1.0,40.0,15,7,5,15,1,New York Rangers,7
Pittsburgh Penguins,6,28,0.0,0.0,3.0,43.9,12,8,6,26,3,New York Rangers,2
New York Rangers,12,18,0.0,0.0,2.0,44.2,14,5,6,26,5,New York Islanders,3
New York Rangers,10,30,33.3,1.0,3.0,55.6,16,7,7,19,0,Washington Capitals,4
Tampa Bay Lightning,2,46,0.0,0.0,3.0,38.2,22,4,5,40,1,New York Rangers,1
Florida Panthers,8,28,50.0,2.0,4.0,42.9,14,6,5,16,3,New York Rangers,5
New York Rangers,12,23,0.0,0.0,3.0,47.2,12,3,11,14,5,Carolina Hurricanes,3
Montréal Canadiens,4,31,33.3,1.0,3.0,51.0,17,5,9,17,1,New York Rangers,4
New Jersey Devils,8,34,0.0,0.0,2.0,54.4,30,1,4,19,4,New York Rangers,3
New York Rangers,8,32,0.0,0.0,1.0,43.5,29,3,5,26,3,Minnesota Wild,3
New York Rangers,8,25,100.0,1.0,1.0,42.9,22,5,10,16,2,Dallas Stars,1
New York Rangers,4,31,50.0,1.0,2.0,45.2,24,9,6,14,1,Montréal Canadiens,2
Columbus Blue Jackets,8,33,20.0,1.0,5.0,49.1,14,6,3,13,1,New York Rangers,3
New York Rangers,6,27,0.0,0.0,4.0,50.9,25,3,4,21,1,Boston Bruins,3
New York Rangers,2,35,50.0,1.0,2.0,49.3,13,6,16,16,6,Florida Panthers,2
Toronto Maple Leafs,6,29,0.0,0.0,2.0,50.0,16,8,8,35,3,New York Rangers,2
New York Rangers,9,34,0.0,0.0,2.0,55.4,8,6,3,31,4,Vegas Golden Knights,1
New York Rangers,41,32,33.3,1.0,3.0,56.7,13,4,14,25,5,Calgary Flames,4
New York Rangers,6,25,0.0,0.0,1.0,50.0,14,11,11,21,4,Vancouver Canucks,3
New York Rangers,6,29,20.0,1.0,5.0,40.4,10,7,6,23,6,Seattle Kraken,3
