abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TOR,OTT,1,12,36.0,47,9,Senators,8,0/2,4,64.0,31,4,10,Maple Leafs,6,0/3
TOR,OTT,4,14,54.9,46,9,Senators,8,1/3,9,45.1,31,2,10,Maple Leafs,6,0/4
WPG,OTT,3,12,40.4,24,9,Senators,6,0/2,14,59.6,26,5,52,Jets,4,2/3
OTT,TOR,6,0,0.0,0,10,Maple Leafs,13,1/4,0,0.0,0,3,9,Senators,13,1/4
OTT,MTL,4,9,38.3,12,8,Canadiens,10,0/3,10,61.7,24,5,9,Senators,6,3/5
MTL,OTT,5,12,60.0,31,9,Senators,25,1/1,12,40.0,18,4,8,Canadiens,11,1/3
MTL,OTT,4,0,0.0,0,9,Senators,17,0/5,0,0.0,0,3,8,Canadiens,15,1/6
OTT,MTL,2,0,0.0,0,8,Canadiens,22,1/6,0,0.0,0,3,9,Senators,34,2/5
BUF,OTT,1,10,55.1,18,9,Senators,8,0/4,11,44.9,9,4,7,Sabres,8,0/4
TOR,OTT,2,19,50.8,53,9,Senators,4,1/2,14,49.2,37,3,10,Maple Leafs,4,1/2
OTT,BOS,5,13,50.0,23,6,Bruins,13,1/3,11,50.0,33,7,9,Senators,15,0/2
OTT,WSH,2,21,35.8,24,15,Capitals,15,2/4,12,64.2,28,5,9,Senators,15,2/4
OTT,ARI,2,14,37.5,24,53,Coyotes,17,1/5,11,62.5,28,6,9,Senators,19,1/4
OTT,DAL,2,21,50.0,20,25,Stars,8,0/3,16,50.0,33,4,9,Senators,6,1/4
OTT,MIN,4,24,51.6,25,30,Wild,22,1/4,10,48.4,37,2,9,Senators,20,1/5
FLA,OTT,3,15,44.4,39,9,Senators,16,1/2,13,55.6,30,5,13,Panthers,12,1/4
TBL,OTT,3,19,54.9,32,9,Senators,26,0/3,21,45.1,32,4,14,Lightning,13,1/8
OTT,VGK,5,21,50.0,26,54,Golden Knights,6,1/4,7,50.0,20,4,9,Senators,8,0/3
OTT,PHI,2,28,41.4,30,4,Flyers,10,1/3,19,58.6,33,1,9,Senators,6,0/5
OTT,VAN,6,16,43.5,24,23,Canucks,17,0/3,10,56.5,25,4,9,Senators,13,2/5
NJD,OTT,3,23,50.0,14,9,Senators,6,1/4,11,50.0,6,4,1,Devils,8,1/3
PHI,OTT,4,14,44.8,38,9,Senators,16,2/3,14,55.2,59,1,4,Flyers,16,0/3
OTT,NYI,4,20,50.8,26,2,Islanders,17,2/3,10,49.2,15,2,9,Senators,11,1/6
OTT,BUF,1,9,42.9,10,7,Sabres,14,1/8,19,57.1,27,4,9,Senators,18,1/5
OTT,NJD,5,11,40.8,23,1,Devils,4,1/4,12,59.2,37,1,9,Senators,8,0/2
SJS,OTT,1,17,56.7,31,9,Senators,11,0/2,16,43.3,18,5,28,Sharks,9,1/3
VGK,OTT,1,12,44.6,49,9,Senators,8,1/2,24,55.4,19,4,54,Golden Knights,4,1/4
ANA,OTT,5,17,56.3,11,9,Senators,17,3/8,17,43.7,15,1,24,Ducks,21,0/6
LAK,OTT,3,17,48.5,37,9,Senators,4,1/2,22,51.5,32,2,26,Kings,4,2/2
OTT,NYR,3,19,29.4,30,3,Rangers,8,0/2,16,70.6,31,1,9,Senators,6,0/3
NYR,OTT,3,19,51.4,26,9,Senators,14,1/4,10,48.6,23,2,3,Rangers,18,0/2
OTT,SJS,2,21,41.1,24,28,Sharks,17,1/4,11,58.9,25,5,9,Senators,15,3/5
OTT,LAK,5,21,42.9,16,26,Kings,8,2/3,17,57.1,31,2,9,Senators,6,2/4
DAL,OTT,3,19,46.7,24,9,Senators,4,0/3,24,53.3,21,4,25,Stars,6,0/2
NSH,OTT,3,16,53.6,26,9,Senators,13,2/6,17,46.4,33,2,18,Predators,17,0/4
OTT,ANA,0,16,41.3,28,24,Ducks,10,0/3,21,58.7,23,3,9,Senators,8,2/4
OTT,MTL,2,11,49.0,30,8,Canadiens,14,0/3,12,51.0,33,3,9,Senators,6,2/7
DET,OTT,6,17,62.7,18,9,Senators,14,3/5,15,37.3,14,3,17,Red Wings,10,1/7
MIN,OTT,2,16,51.0,27,9,Senators,6,0/3,19,49.0,16,4,30,Wild,6,0/3
WPG,OTT,1,9,55.1,31,9,Senators,2,1/2,16,44.9,23,5,52,Jets,4,0/1
OTT,WSH,3,25,44.1,14,15,Capitals,12,1/3,16,55.9,30,2,9,Senators,6,1/6
OTT,BOS,2,14,66.1,23,6,Bruins,4,0/3,24,33.9,42,3,9,Senators,6,1/2
WSH,OTT,4,14,53.7,36,9,Senators,4,0/1,12,46.3,36,3,15,Capitals,4,0/1
DET,OTT,2,17,46.8,31,9,Senators,8,0/4,21,53.2,31,4,17,Red Wings,8,0/4
OTT,BUF,1,7,51.7,18,7,Sabres,2,0/3,18,48.3,33,3,9,Senators,6,1/1
OTT,CBJ,0,15,47.5,32,29,Blue Jackets,12,0/3,17,52.5,21,4,9,Senators,6,2/6
OTT,SEA,8,19,41.0,32,55,Kraken,6,0/1,11,59.0,46,4,9,Senators,2,1/3
OTT,NSH,3,22,42.6,23,18,Predators,17,0/5,7,57.4,21,0,9,Senators,17,0/5
ARI,OTT,5,22,45.8,39,9,Senators,6,1/4,13,54.2,38,3,53,Coyotes,31,1/2
COL,OTT,0,13,58.1,16,9,Senators,11,0/3,16,41.9,20,7,21,Avalanche,13,1/2
STL,OTT,1,19,31.5,25,9,Senators,9,0/1,9,68.5,23,2,19,Blues,7,0/2
OTT,PIT,4,9,51.7,34,5,Penguins,18,2/5,8,48.3,23,5,9,Senators,10,4/9
PIT,OTT,1,14,34.4,28,9,Senators,26,0/3,18,65.6,29,4,5,Penguins,18,1/2
OTT,WPG,5,17,48.1,14,52,Jets,15,2/8,13,51.9,28,1,9,Senators,53,0/4
OTT,NYI,1,19,55.4,24,2,Islanders,11,0/3,11,44.6,17,2,9,Senators,11,1/3
TOR,OTT,6,15,60.0,22,9,Senators,8,1/5,7,40.0,22,2,10,Maple Leafs,12,1/3
OTT,MTL,0,13,51.1,42,8,Canadiens,6,0/3,20,48.9,25,5,9,Senators,6,1/3
MTL,OTT,5,15,41.1,23,9,Senators,10,2/3,15,58.9,14,4,8,Canadiens,6,2/5
OTT,EDM,6,13,50.8,25,22,Oilers,13,1/5,18,49.2,34,3,9,Senators,15,1/4
OTT,CGY,3,11,57.1,23,20,Flames,10,1/4,28,42.9,37,4,9,Senators,10,0/4
NYI,OTT,3,21,51.6,25,9,Senators,12,1/3,18,48.4,21,2,2,Islanders,6,1/6
OTT,CHI,4,15,50.8,30,16,Blackhawks,6,0/3,7,49.2,38,3,9,Senators,6,0/3
OTT,STL,2,5,43.5,23,19,Blues,25,0/6,16,56.5,18,7,9,Senators,19,1/4
BOS,OTT,1,18,41.3,34,9,Senators,10,0/3,14,58.7,30,3,6,Bruins,8,0/4
CAR,OTT,0,12,41.3,33,9,Senators,4,0/5,11,58.7,16,4,12,Hurricanes,10,0/2
MTL,OTT,5,14,47.7,18,9,Senators,11,0/1,16,52.3,12,2,8,Canadiens,7,0/3
OTT,DET,2,16,46.4,31,17,Red Wings,12,1/4,16,53.6,34,6,9,Senators,8,2/6
OTT,DET,1,13,50.8,34,17,Red Wings,33,0/8,14,49.2,22,6,9,Senators,27,2/6
NYR,OTT,5,17,51.0,18,9,Senators,21,0/3,9,49.0,20,3,3,Rangers,6,0/4
OTT,CBJ,2,14,40.7,24,29,Blue Jackets,6,1/2,16,59.3,27,5,9,Senators,6,0/2
CHI,OTT,0,3,56.9,32,9,Senators,47,0/4,18,43.1,20,5,16,Blackhawks,15,0/5
SEA,OTT,5,8,64.2,11,9,Senators,4,0/4,19,35.8,25,4,55,Kraken,10,0/1
VAN,OTT,2,12,52.2,31,9,Senators,21,0/3,14,47.8,22,5,23,Canucks,13,1/6
CGY,OTT,1,27,50.7,28,9,Senators,6,0/4,11,49.3,23,5,20,Flames,8,1/3
EDM,OTT,3,16,39.7,19,9,Senators,6,1/5,7,60.3,23,6,22,Oilers,10,1/3
OTT,COL,5,18,46.3,15,21,Avalanche,14,1/3,15,53.7,28,4,9,Senators,10,2/5
OTT,TOR,5,20,46.2,25,10,Maple Leafs,6,1/2,16,53.8,34,4,9,Senators,4,1/3
PIT,OTT,2,28,42.4,36,9,Senators,6,1/2,17,57.6,29,1,5,Penguins,4,0/3
BOS,OTT,1,20,54.4,27,9,Senators,8,0/3,14,45.6,25,2,6,Bruins,6,1/4
OTT,TBL,2,9,52.8,27,14,Lightning,18,1/4,22,47.2,19,7,9,Senators,10,2/3
NJD,OTT,3,19,42.6,32,9,Senators,9,0/3,18,57.4,13,5,1,Devils,21,1/2
OTT,FLA,2,8,45.0,30,13,Panthers,8,0/4,17,55.0,23,5,9,Senators,8,3/4
OTT,PHI,4,13,45.3,35,4,Flyers,33,2/2,9,54.7,24,5,9,Senators,41,1/3
OTT,TOR,3,22,45.3,30,10,Maple Leafs,4,0/1,12,54.7,38,0,9,Senators,2,0/2
CBJ,OTT,3,11,39.3,20,9,Senators,4,0/2,12,60.7,27,4,29,Blue Jackets,4,1/2
CAR,OTT,2,16,40.7,21,9,Senators,10,1/4,12,59.3,13,3,12,Hurricanes,8,1/5
FLA,OTT,2,12,55.2,24,9,Senators,88,0/6,23,44.8,24,7,13,Panthers,78,3/6
OTT,TBL,4,11,41.4,25,14,Lightning,18,3/5,14,58.6,18,7,9,Senators,10,1/4
OTT,CAR,2,8,46.0,15,12,Hurricanes,14,1/5,18,54.0,15,3,9,Senators,12,0/6
BUF,OTT,3,15,62.5,33,9,Senators,8,1/3,11,37.5,10,4,7,Sabres,6,1/4
