home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Philadelphia Flyers,32,32,0.0,0.0,6.0,56.6,12,6,4,35,2,Boston Bruins,1
Buffalo Sabres,11,21,0.0,0.0,3.0,57.5,7,5,4,10,2,Philadelphia Flyers,1
Philadelphia Flyers,2,27,33.3,1.0,3.0,44.7,11,4,9,22,1,Washington Capitals,3
Boston Bruins,15,21,0.0,0.0,4.0,51.3,6,5,6,15,4,Philadelphia Flyers,0
New York Islanders,12,25,20.0,1.0,5.0,57.4,19,5,7,20,2,Philadelphia Flyers,1
Philadelphia Flyers,11,33,40.0,2.0,5.0,60.0,12,3,1,30,3,New York Islanders,4
Philadelphia Flyers,8,37,33.3,1.0,3.0,60.9,9,6,9,18,5,New Jersey Devils,2
Philadelphia Flyers,17,30,0.0,0.0,5.0,51.9,8,5,4,20,3,Vancouver Canucks,2
Tampa Bay Lightning,16,24,50.0,1.0,2.0,37.7,16,6,4,27,2,Philadelphia Flyers,3
Florida Panthers,6,33,16.7,1.0,6.0,37.3,14,8,8,18,4,Philadelphia Flyers,3
Nashville Predators,16,25,0.0,0.0,2.0,28.6,22,4,5,19,1,Philadelphia Flyers,3
Philadelphia Flyers,4,25,0.0,0.0,1.0,43.3,16,4,4,27,0,San Jose Sharks,3
Philadelphia Flyers,8,51,25.0,1.0,4.0,50.0,8,8,4,27,4,Florida Panthers,3
Philadelphia Flyers,14,38,0.0,0.0,4.0,48.5,10,8,8,28,3,Carolina Hurricanes,4
New York Rangers,10,19,0.0,0.0,3.0,58.0,15,5,12,14,1,Philadelphia Flyers,0
Toronto Maple Leafs,39,25,16.7,1.0,6.0,53.2,19,8,8,45,5,Philadelphia Flyers,2
Ottawa Senators,10,28,33.3,1.0,3.0,41.4,28,5,7,30,1,Philadelphia Flyers,2
Philadelphia Flyers,12,28,0.0,0.0,2.0,60.0,9,4,14,34,5,St. Louis Blues,1
Columbus Blue Jackets,11,34,0.0,0.0,0.0,47.6,12,6,6,15,5,Philadelphia Flyers,2
Philadelphia Flyers,16,27,66.7,2.0,3.0,44.8,14,2,10,38,1,Ottawa Senators,4
Philadelphia Flyers,12,31,66.7,2.0,3.0,74.1,19,5,11,27,1,Dallas Stars,5
Columbus Blue Jackets,4,37,50.0,1.0,2.0,47.5,18,4,0,27,5,Philadelphia Flyers,4
Boston Bruins,8,23,25.0,1.0,4.0,50.0,20,2,7,26,4,Philadelphia Flyers,1
Montréal Canadiens,11,29,0.0,0.0,4.0,34.6,18,6,5,31,4,Philadelphia Flyers,4
Philadelphia Flyers,13,30,0.0,0.0,2.0,50.0,20,6,5,24,2,Calgary Flames,5
Washington Capitals,6,23,0.0,0.0,4.0,42.3,20,4,8,35,3,Philadelphia Flyers,2
Philadelphia Flyers,11,29,0.0,0.0,3.0,63.0,10,3,7,28,1,Pittsburgh Penguins,4
New York Islanders,27,28,0.0,0.0,2.0,47.6,11,4,7,25,5,Philadelphia Flyers,2
Philadelphia Flyers,16,24,25.0,1.0,4.0,50.9,16,10,10,30,3,New York Islanders,1
Philadelphia Flyers,6,27,33.3,1.0,3.0,65.2,11,7,3,18,1,Tampa Bay Lightning,4
Philadelphia Flyers,6,18,0.0,0.0,3.0,59.6,16,6,6,32,2,New Jersey Devils,3
Philadelphia Flyers,6,32,20.0,1.0,5.0,51.1,10,5,5,29,5,Colorado Avalanche,3
Philadelphia Flyers,6,27,25.0,1.0,4.0,53.6,9,9,8,20,1,Washington Capitals,4
Vegas Golden Knights,4,28,0.0,0.0,0.0,39.4,22,7,3,40,2,Philadelphia Flyers,1
Arizona Coyotes,9,41,0.0,0.0,2.0,46.7,13,3,6,25,5,Philadelphia Flyers,4
Colorado Avalanche,6,28,0.0,0.0,2.0,50.0,20,5,0,29,3,Philadelphia Flyers,2
New Jersey Devils,16,24,20.0,1.0,5.0,52.6,22,0,4,19,1,Philadelphia Flyers,2
Philadelphia Flyers,8,34,0.0,0.0,1.0,51.9,18,9,5,20,3,New York Rangers,6
Philadelphia Flyers,2,33,0.0,0.0,1.0,44.2,16,8,7,22,5,Columbus Blue Jackets,3
Toronto Maple Leafs,12,19,20.0,1.0,5.0,44.0,13,4,12,33,4,Philadelphia Flyers,3
Carolina Hurricanes,8,31,0.0,0.0,2.0,50.0,16,14,1,17,6,Philadelphia Flyers,5
San Jose Sharks,6,26,0.0,0.0,1.0,53.8,8,14,6,28,3,Philadelphia Flyers,4
Los Angeles Kings,10,23,33.3,1.0,3.0,38.6,22,2,3,38,2,Philadelphia Flyers,4
Anaheim Ducks,10,33,0.0,0.0,2.0,53.2,12,5,7,21,1,Philadelphia Flyers,4
Philadelphia Flyers,6,23,0.0,0.0,1.0,44.7,17,2,5,26,6,Arizona Coyotes,2
Philadelphia Flyers,10,35,50.0,1.0,2.0,55.6,17,4,6,17,2,Toronto Maple Leafs,6
Buffalo Sabres,4,38,0.0,0.0,3.0,52.8,8,4,3,16,0,Philadelphia Flyers,4
Philadelphia Flyers,12,29,0.0,0.0,1.0,44.4,7,4,9,28,5,Washington Capitals,3
Washington Capitals,10,25,33.3,1.0,3.0,45.1,25,4,5,31,1,Philadelphia Flyers,3
Boston Bruins,20,29,0.0,0.0,6.0,36.7,15,5,12,21,6,Philadelphia Flyers,0
Philadelphia Flyers,15,27,33.3,1.0,3.0,53.8,12,3,8,17,5,Anaheim Ducks,2
Philadelphia Flyers,4,29,0.0,0.0,0.0,50.0,23,8,9,24,1,Chicago Blackhawks,4
Detroit Red Wings,8,25,0.0,0.0,1.0,40.7,31,3,7,27,1,Philadelphia Flyers,2
Philadelphia Flyers,8,30,0.0,0.0,5.0,50.0,15,2,8,28,3,Winnipeg Jets,5
Philadelphia Flyers,8,38,20.0,1.0,5.0,66.1,9,4,3,13,3,Los Angeles Kings,4
Minnesota Wild,28,30,0.0,0.0,3.0,44.2,21,4,5,19,3,Philadelphia Flyers,2
Winnipeg Jets,8,33,0.0,0.0,2.0,46.6,17,7,7,11,0,Philadelphia Flyers,4
Philadelphia Flyers,4,30,33.3,1.0,3.0,54.8,19,4,6,27,1,New York Islanders,2
Philadelphia Flyers,6,35,0.0,0.0,0.0,48.1,17,5,8,13,1,Edmonton Oilers,1
Philadelphia Flyers,10,25,0.0,0.0,1.0,61.5,13,10,8,43,1,Nashville Predators,2
Philadelphia Flyers,4,21,0.0,0.0,1.0,55.8,15,14,5,29,3,Seattle Kraken,4
Seattle Kraken,11,19,0.0,0.0,1.0,61.0,19,11,5,18,6,Philadelphia Flyers,2
Vancouver Canucks,4,37,50.0,1.0,2.0,39.7,10,3,8,24,6,Philadelphia Flyers,2
Calgary Flames,13,22,0.0,0.0,2.0,41.9,30,0,6,15,3,Philadelphia Flyers,4
Edmonton Oilers,8,26,0.0,0.0,3.0,44.8,17,9,12,20,4,Philadelphia Flyers,2
Philadelphia Flyers,5,31,50.0,1.0,2.0,55.4,15,7,10,17,2,Montréal Canadiens,5
New Jersey Devils,7,23,0.0,0.0,2.0,44.1,11,4,10,17,7,Philadelphia Flyers,0
Philadelphia Flyers,6,25,100.0,1.0,1.0,58.7,7,2,10,30,2,New York Rangers,3
Philadelphia Flyers,8,26,0.0,0.0,2.0,61.1,20,6,8,22,3,Detroit Red Wings,1
Tampa Bay Lightning,23,35,0.0,0.0,3.0,37.5,23,10,6,27,5,Philadelphia Flyers,2
Carolina Hurricanes,10,19,0.0,0.0,1.0,37.0,22,6,8,21,1,Philadelphia Flyers,0
Pittsburgh Penguins,8,32,0.0,0.0,3.0,50.9,18,9,1,30,5,Philadelphia Flyers,1
Philadelphia Flyers,4,33,50.0,2.0,4.0,50.0,18,5,9,9,3,Vegas Golden Knights,5
Philadelphia Flyers,6,38,50.0,2.0,4.0,48.8,12,6,3,23,5,Buffalo Sabres,2
Philadelphia Flyers,8,34,100.0,1.0,1.0,53.7,5,4,6,18,4,Carolina Hurricanes,5
Philadelphia Flyers,9,44,25.0,1.0,4.0,49.1,7,9,4,21,6,Florida Panthers,3
Philadelphia Flyers,2,24,0.0,0.0,3.0,54.2,18,2,9,30,4,Minnesota Wild,4
Philadelphia Flyers,6,29,0.0,0.0,7.0,51.8,8,10,4,27,3,Detroit Red Wings,0
Philadelphia Flyers,4,29,0.0,0.0,0.0,56.9,16,9,9,16,3,Montréal Canadiens,2
Ottawa Senators,33,11,100.0,2.0,2.0,45.3,13,4,8,35,5,Philadelphia Flyers,4
Philadelphia Flyers,14,29,0.0,0.0,3.0,39.7,13,5,7,15,3,Buffalo Sabres,6
Pittsburgh Penguins,12,33,0.0,0.0,5.0,51.8,7,12,5,30,4,Philadelphia Flyers,2
St. Louis Blues,6,34,0.0,0.0,3.0,46.2,14,12,5,21,4,Philadelphia Flyers,2
Dallas Stars,8,25,0.0,0.0,2.0,50.9,20,9,4,21,4,Philadelphia Flyers,1
New York Islanders,4,27,0.0,0.0,2.0,34.0,20,1,11,19,4,Philadelphia Flyers,0
Philadelphia Flyers,13,34,0.0,0.0,1.0,58.2,8,5,7,25,3,Boston Bruins,5
Philadelphia Flyers,10,31,33.3,1.0,3.0,52.7,15,6,9,18,4,Columbus Blue Jackets,3
Chicago Blackhawks,2,36,100.0,1.0,1.0,41.7,24,8,6,21,4,Philadelphia Flyers,5
