abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
SEA,EDM,0,12,44.4,19,22,Oilers,14,0/4,14,55.6,23,3,55,Kraken,13,0/6
SEA,CGY,0,15,50.9,9,20,Flames,6,0/6,19,49.1,15,3,55,Kraken,12,0/3
VAN,SEA,4,16,57.1,30,55,Kraken,24,1/3,12,42.9,32,3,23,Canucks,20,2/5
SEA,VAN,0,16,54.2,21,23,Canucks,10,0/2,11,45.8,11,4,55,Kraken,8,0/3
CGY,SEA,1,11,31.4,19,55,Kraken,4,1/5,3,68.6,19,4,20,Flames,10,1/2
EDM,SEA,3,18,49.1,24,55,Kraken,4,1/2,7,50.9,36,5,22,Oilers,4,1/2
ANA,SEA,4,12,42.9,22,55,Kraken,11,3/5,16,57.1,15,5,24,Ducks,15,2/3
LAK,SEA,4,15,42.3,44,55,Kraken,19,1/6,9,57.7,28,1,26,Kings,21,1/5
SEA,VGK,5,20,65.2,12,54,Golden Knights,4,2/4,9,34.8,26,2,55,Kraken,8,1/2
SEA,CAR,5,10,51.7,18,12,Hurricanes,10,2/5,15,48.3,18,1,55,Kraken,10,1/5
SEA,STL,4,15,54.5,15,19,Blues,6,0/3,6,45.5,17,3,55,Kraken,10,0/1
COL,SEA,3,15,36.8,17,55,Kraken,9,1/5,8,63.2,37,2,21,Avalanche,15,0/2
CHI,SEA,4,10,30.5,8,55,Kraken,6,0/4,15,69.5,40,5,16,Blackhawks,8,2/3
SEA,BUF,1,7,67.3,12,7,Sabres,6,0/4,17,32.7,15,5,55,Kraken,8,2/3
SEA,VAN,5,16,58.2,21,23,Canucks,23,2/2,8,41.8,13,4,55,Kraken,19,1/4
SEA,PIT,1,16,47.8,25,5,Penguins,4,0/2,14,52.2,25,3,55,Kraken,4,0/2
CGY,SEA,5,19,38.5,18,55,Kraken,13,1/4,15,61.5,24,4,20,Flames,13,0/4
MIN,SEA,4,14,51.1,20,55,Kraken,4,1/2,8,48.9,26,0,30,Wild,4,0/2
PIT,SEA,3,18,42.9,35,55,Kraken,6,0/3,8,57.1,34,2,5,Penguins,6,0/3
SEA,NSH,1,15,58.7,21,18,Predators,2,0/2,22,41.3,16,5,55,Kraken,4,0/1
SEA,MIN,1,22,42.0,20,30,Wild,8,0/3,5,58.0,29,0,55,Kraken,6,0/4
SEA,WPG,3,11,43.5,19,52,Jets,10,2/7,22,56.5,20,2,55,Kraken,16,1/4
SEA,NYR,2,9,44.9,24,3,Rangers,8,2/4,14,55.1,22,3,55,Kraken,8,0/4
SEA,LAK,2,8,41.7,28,26,Kings,6,0/1,23,58.3,24,3,55,Kraken,2,1/3
SEA,SJS,5,18,54.4,19,28,Sharks,8,1/2,15,45.6,17,8,55,Kraken,6,1/3
VGK,SEA,4,15,42.6,29,55,Kraken,2,0/2,24,57.4,28,2,54,Golden Knights,4,1/1
ANA,SEA,5,14,41.4,21,55,Kraken,8,1/2,9,58.6,18,4,24,Ducks,4,3/4
LAK,SEA,9,11,37.1,32,55,Kraken,8,3/4,9,62.9,43,8,26,Kings,8,2/4
SEA,WSH,2,25,57.4,21,15,Capitals,9,1/4,9,42.6,26,3,55,Kraken,13,1/2
SEA,FLA,5,12,50.0,19,13,Panthers,6,3/4,13,50.0,25,1,55,Kraken,10,0/2
SEA,MTL,4,19,50.0,25,8,Canadiens,6,0/4,17,50.0,17,2,55,Kraken,8,0/3
WSH,SEA,1,10,43.2,29,55,Kraken,9,0/2,20,56.8,19,4,15,Capitals,4,1/4
FLA,SEA,5,10,34.4,22,55,Kraken,8,1/6,13,65.6,26,2,13,Panthers,25,0/3
TBL,SEA,2,10,53.1,39,55,Kraken,29,0/3,16,46.9,27,6,14,Lightning,19,1/3
CAR,SEA,2,16,47.1,28,55,Kraken,4,0/2,12,52.9,17,3,12,Hurricanes,4,0/2
SEA,WPG,2,16,42.0,14,52,Jets,6,2/3,12,58.0,22,3,55,Kraken,8,0/2
SEA,STL,2,10,39.6,18,19,Blues,6,1/3,20,60.4,17,5,55,Kraken,6,0/3
VAN,SEA,5,19,50.0,12,55,Kraken,11,0/1,21,50.0,26,6,23,Canucks,7,1/3
SEA,CGY,3,14,55.6,21,20,Flames,2,1/4,9,44.4,25,2,55,Kraken,8,0/1
SEA,EDM,7,20,44.6,13,22,Oilers,13,2/2,18,55.4,29,2,55,Kraken,11,0/3
SEA,NYI,1,15,65.5,27,2,Islanders,4,0/2,12,34.5,24,4,55,Kraken,4,1/2
EDM,SEA,5,18,38.7,38,55,Kraken,6,1/3,9,61.3,31,2,22,Oilers,6,1/3
TOR,SEA,5,12,42.9,32,55,Kraken,10,1/2,13,57.1,27,1,10,Maple Leafs,4,1/5
OTT,SEA,8,19,41.0,32,55,Kraken,6,0/1,11,59.0,46,4,9,Senators,2,1/3
MTL,SEA,4,20,54.3,15,55,Kraken,9,1/6,17,45.7,25,0,8,Canadiens,27,0/2
BUF,SEA,4,13,55.4,21,55,Kraken,10,1/1,4,44.6,16,3,7,Sabres,4,1/4
BOS,SEA,3,19,26.8,26,55,Kraken,2,0/3,11,73.2,30,0,6,Bruins,6,0/1
CHI,SEA,8,5,51.6,17,55,Kraken,4,0/2,10,48.4,26,5,16,Blackhawks,4,2/2
SEA,TBL,4,13,60.5,18,14,Lightning,6,0/2,14,39.5,16,1,55,Kraken,4,0/3
EDM,SEA,2,13,50.0,43,55,Kraken,6,1/4,14,50.0,36,5,22,Oilers,8,0/3
SEA,NJD,3,19,50.8,18,1,Devils,6,0/1,15,49.2,21,4,55,Kraken,6,0/1
SEA,COL,2,13,46.8,24,21,Avalanche,4,0/2,20,53.2,26,1,55,Kraken,4,0/2
SEA,VAN,1,18,44.4,20,23,Canucks,13,0/5,15,55.6,8,6,55,Kraken,17,2/3
SEA,CGY,5,15,61.3,19,20,Flames,12,0/2,15,38.7,18,2,55,Kraken,6,0/5
SEA,CBJ,1,15,54.8,12,29,Blue Jackets,4,0/2,14,45.2,15,3,55,Kraken,4,0/2
NYI,SEA,0,13,41.2,31,55,Kraken,2,0/1,17,58.8,25,4,2,Islanders,2,0/1
NJD,SEA,1,11,39.7,15,55,Kraken,8,0/3,27,60.3,22,3,1,Devils,6,2/4
NYR,SEA,3,10,40.4,23,55,Kraken,6,1/5,22,59.6,30,6,3,Rangers,10,2/3
PHI,SEA,4,15,55.8,29,55,Kraken,4,0/1,24,44.2,36,3,4,Flyers,2,1/2
WPG,SEA,2,12,45.9,18,55,Kraken,6,1/4,16,54.1,13,3,52,Jets,8,0/3
SEA,PHI,2,19,61.0,18,4,Flyers,11,0/1,19,39.0,11,6,55,Kraken,11,2/3
SEA,DET,2,15,45.9,10,17,Red Wings,16,0/3,13,54.1,11,4,55,Kraken,16,0/2
SJS,SEA,0,7,56.6,24,55,Kraken,4,0/2,15,43.4,22,4,28,Sharks,4,0/2
SEA,BOS,6,11,60.3,18,6,Bruins,12,0/1,11,39.7,17,5,55,Kraken,6,1/4
SEA,TOR,5,18,71.4,10,10,Maple Leafs,4,0/1,10,28.6,22,1,55,Kraken,2,0/2
STL,SEA,5,16,57.7,16,55,Kraken,8,0/2,18,42.3,21,3,19,Blues,4,0/4
DET,SEA,5,7,39.7,20,55,Kraken,11,1/5,18,60.3,38,4,17,Red Wings,15,0/3
CBJ,SEA,4,10,48.4,11,55,Kraken,8,2/4,19,51.6,20,2,29,Blue Jackets,8,1/4
COL,SEA,3,9,42.1,24,55,Kraken,4,0/5,17,57.9,17,2,21,Avalanche,10,0/2
SEA,ANA,2,10,49.1,9,24,Ducks,6,0/3,13,50.9,11,5,55,Kraken,8,1/2
SEA,OTT,5,8,64.2,11,9,Senators,4,0/4,19,35.8,25,4,55,Kraken,10,0/1
SEA,DAL,4,13,56.4,13,25,Stars,8,0/1,19,43.6,27,3,55,Kraken,2,1/4
SEA,DAL,5,12,59.3,5,25,Stars,4,3/4,13,40.7,18,2,55,Kraken,8,0/2
SJS,SEA,2,18,42.6,17,55,Kraken,6,0/3,15,57.4,21,1,28,Sharks,8,0/2
SEA,EDM,6,11,50.0,16,22,Oilers,11,1/3,8,50.0,24,4,55,Kraken,13,0/2
DAL,SEA,5,17,40.0,12,55,Kraken,8,0/2,10,60.0,20,4,25,Stars,4,1/4
NSH,SEA,1,17,44.4,29,55,Kraken,4,0/2,13,55.6,31,2,18,Predators,4,0/2
NSH,SEA,7,12,46.2,22,55,Kraken,8,1/4,10,53.8,31,2,18,Predators,10,0/3
MIN,SEA,1,7,52.8,16,55,Kraken,18,0/3,16,47.2,26,5,30,Wild,18,1/3
SEA,ANA,1,17,56.1,8,24,Ducks,6,0/2,12,43.9,15,4,55,Kraken,6,1/2
SEA,LAK,3,15,64.1,13,26,Kings,4,0/1,9,35.9,24,1,55,Kraken,2,1/2
SEA,ARI,1,12,44.8,15,53,Coyotes,49,0/3,16,55.2,22,8,55,Kraken,31,2/7
VAN,SEA,5,11,48.1,27,55,Kraken,15,1/4,10,51.9,43,2,23,Canucks,13,0/5
SEA,ARI,2,8,56.1,9,53,Coyotes,40,0/2,13,43.9,15,4,55,Kraken,16,0/4
SEA,CHI,3,12,58.1,13,16,Blackhawks,8,1/3,17,41.9,18,7,55,Kraken,8,1/3
ARI,SEA,4,9,45.8,18,55,Kraken,15,2/4,13,54.2,27,1,53,Coyotes,15,0/4
VGK,SEA,1,19,45.8,39,55,Kraken,6,0/2,17,54.2,30,4,54,Golden Knights,4,1/3
SEA,VGK,3,27,54.0,13,54,Golden Knights,12,0/2,15,46.0,20,1,55,Kraken,8,0/4
COL,SEA,3,23,43.6,40,55,Kraken,4,0/3,19,56.4,29,1,21,Avalanche,6,0/2
COL,SEA,2,10,44.8,40,55,Kraken,8,0/2,20,55.2,50,3,21,Avalanche,8,0/2
SEA,COL,6,10,57.6,31,21,Avalanche,12,0/3,19,42.4,38,4,55,Kraken,6,1/6
SEA,COL,2,18,43.9,37,21,Avalanche,12,1/3,26,56.1,52,3,55,Kraken,8,2/5
COL,SEA,3,14,40.4,39,55,Kraken,4,0/2,20,59.6,41,2,21,Avalanche,4,0/2
SEA,COL,4,12,55.8,31,21,Avalanche,8,0/5,13,44.2,35,1,55,Kraken,12,0/3
COL,SEA,2,29,41.8,46,55,Kraken,2,0/0,11,58.2,23,1,21,Avalanche,0,1/1
DAL,SEA,5,20,41.8,47,55,Kraken,4,0/3,21,58.2,19,4,25,Stars,6,0/2
DAL,SEA,2,13,31.3,45,55,Kraken,10,0/1,10,68.8,32,4,25,Stars,6,1/3
SEA,DAL,2,14,56.7,20,25,Stars,54,0/3,21,43.3,29,7,55,Kraken,36,1/2
SEA,DAL,6,17,53.8,24,25,Stars,12,2/3,16,46.2,41,3,55,Kraken,14,0/2
DAL,SEA,2,13,40.4,39,55,Kraken,4,0/2,15,59.6,34,5,25,Stars,4,0/2
SEA,DAL,3,15,52.2,46,25,Stars,18,1/3,23,47.8,46,6,55,Kraken,18,1/3
DAL,SEA,1,21,46.0,39,55,Kraken,2,0/1,12,54.0,32,2,25,Stars,2,0/1
