home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Arizona Coyotes,4,25,16.7,1.0,6.0,0.0,0,0,0,0,4,St. Louis Blues,5
Dallas Stars,6,28,0.0,0.0,1.0,43.8,21,4,4,28,0,St. Louis Blues,4
Chicago Blackhawks,10,22,100.0,3.0,3.0,44.0,13,14,9,16,1,St. Louis Blues,4
St. Louis Blues,18,35,0.0,0.0,3.0,54.9,10,8,4,28,4,Columbus Blue Jackets,2
St. Louis Blues,6,27,0.0,0.0,1.0,0.0,0,0,0,0,2,Dallas Stars,5
St. Louis Blues,14,28,0.0,0.0,4.0,38.9,22,12,4,37,4,Minnesota Wild,2
Columbus Blue Jackets,9,24,0.0,0.0,2.0,43.6,13,2,3,9,7,St. Louis Blues,0
St. Louis Blues,8,24,0.0,0.0,5.0,39.1,8,17,2,20,6,Chicago Blackhawks,0
St. Louis Blues,6,25,0.0,0.0,2.0,57.4,13,11,10,14,5,Columbus Blue Jackets,2
Seattle Kraken,6,28,0.0,0.0,3.0,54.5,15,9,3,15,3,St. Louis Blues,4
Edmonton Oilers,2,22,100.0,1.0,1.0,58.1,25,6,11,29,0,St. Louis Blues,2
Winnipeg Jets,12,25,0.0,0.0,2.0,60.4,16,6,9,19,4,St. Louis Blues,0
St. Louis Blues,6,28,0.0,0.0,2.0,56.7,9,9,4,8,1,Edmonton Oilers,3
Nashville Predators,4,35,33.3,1.0,3.0,47.9,19,7,11,25,6,St. Louis Blues,2
St. Louis Blues,6,25,66.7,2.0,3.0,50.9,11,16,10,16,4,Montréal Canadiens,7
St. Louis Blues,8,30,33.3,1.0,3.0,49.1,12,15,4,17,1,Los Angeles Kings,5
St. Louis Blues,11,30,50.0,1.0,2.0,43.1,9,17,6,20,2,New York Islanders,5
Boston Bruins,6,27,0.0,0.0,3.0,43.4,19,6,11,33,3,St. Louis Blues,1
Philadelphia Flyers,12,28,0.0,0.0,2.0,60.0,9,4,14,34,5,St. Louis Blues,1
St. Louis Blues,4,30,0.0,0.0,0.0,51.5,10,8,10,19,5,San Jose Sharks,3
Vegas Golden Knights,0,28,0.0,0.0,4.0,39.7,23,5,7,29,2,St. Louis Blues,3
Colorado Avalanche,10,39,50.0,1.0,2.0,51.6,15,4,6,16,2,St. Louis Blues,3
Chicago Blackhawks,6,35,0.0,0.0,2.0,42.0,18,8,1,10,2,St. Louis Blues,5
St. Louis Blues,8,51,33.3,1.0,3.0,35.3,10,5,1,17,4,Washington Capitals,4
St. Louis Blues,11,32,50.0,2.0,4.0,51.7,10,14,2,14,6,Anaheim Ducks,2
St. Louis Blues,6,28,0.0,0.0,2.0,38.0,15,9,6,13,3,Anaheim Ducks,1
Buffalo Sabres,8,36,33.3,1.0,3.0,46.2,12,4,4,26,6,St. Louis Blues,2
Tampa Bay Lightning,11,27,33.3,1.0,3.0,54.2,10,16,8,29,5,St. Louis Blues,2
Florida Panthers,11,37,0.0,0.0,4.0,54.0,7,6,9,21,4,St. Louis Blues,5
St. Louis Blues,7,24,0.0,0.0,1.0,63.8,8,14,9,15,1,Dallas Stars,4
St. Louis Blues,6,36,100.0,1.0,1.0,59.6,4,8,3,12,4,Carolina Hurricanes,6
Pittsburgh Penguins,18,28,0.0,0.0,2.0,49.1,16,4,3,36,6,St. Louis Blues,2
New York Rangers,4,29,25.0,1.0,4.0,45.2,12,4,4,21,6,St. Louis Blues,4
New York Islanders,4,28,0.0,0.0,2.0,41.0,17,3,20,18,4,St. Louis Blues,7
St. Louis Blues,4,20,100.0,1.0,1.0,46.8,18,10,9,22,2,Winnipeg Jets,5
St. Louis Blues,8,31,0.0,0.0,3.0,40.0,11,11,7,21,2,Colorado Avalanche,3
St. Louis Blues,6,25,0.0,0.0,4.0,51.1,17,11,6,30,1,Nashville Predators,0
Edmonton Oilers,10,32,0.0,0.0,4.0,52.6,10,16,13,26,3,St. Louis Blues,3
Calgary Flames,6,24,50.0,1.0,2.0,53.0,15,9,15,11,2,St. Louis Blues,5
Vancouver Canucks,10,27,66.7,2.0,3.0,54.5,6,1,1,21,1,St. Louis Blues,5
Seattle Kraken,6,24,33.3,1.0,3.0,39.6,10,6,5,18,5,St. Louis Blues,2
Vegas Golden Knights,4,29,33.3,1.0,3.0,45.7,13,13,3,23,4,St. Louis Blues,4
St. Louis Blues,8,37,0.0,0.0,2.0,52.8,15,9,4,11,4,Toronto Maple Leafs,5
St. Louis Blues,6,22,50.0,1.0,2.0,51.2,10,12,10,17,3,Chicago Blackhawks,1
St. Louis Blues,20,32,0.0,0.0,2.0,28.6,18,15,5,19,2,Minnesota Wild,5
Toronto Maple Leafs,6,32,100.0,2.0,2.0,37.7,17,5,10,52,5,St. Louis Blues,5
New Jersey Devils,8,19,50.0,1.0,2.0,36.4,21,10,5,21,3,St. Louis Blues,5
Montréal Canadiens,8,22,33.3,1.0,3.0,55.6,10,5,16,12,5,St. Louis Blues,4
Minnesota Wild,6,24,25.0,1.0,4.0,48.9,25,5,4,19,0,St. Louis Blues,3
St. Louis Blues,4,31,0.0,0.0,2.0,54.7,4,5,4,25,4,Calgary Flames,3
St. Louis Blues,6,40,0.0,0.0,1.0,50.0,8,9,3,27,1,Calgary Flames,4
St. Louis Blues,6,30,50.0,1.0,2.0,58.2,12,19,8,15,2,Tampa Bay Lightning,4
St. Louis Blues,9,33,0.0,0.0,1.0,31.5,19,9,3,25,2,Ottawa Senators,1
St. Louis Blues,15,26,0.0,0.0,4.0,28.6,10,9,6,30,5,Nashville Predators,2
St. Louis Blues,15,18,0.0,0.0,2.0,48.0,15,15,3,33,3,Chicago Blackhawks,5
