home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Carolina Hurricanes,15,21,0.0,0.0,2.0,44.9,12,7,2,25,5,Tampa Bay Lightning,1
Tampa Bay Lightning,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,Carolina Hurricanes,0
Tampa Bay Lightning,15,31,0.0,0.0,2.0,54.0,12,10,7,26,0,Nashville Predators,2
Nashville Predators,34,28,0.0,0.0,6.0,38.3,11,3,5,22,7,Tampa Bay Lightning,1
Florida Panthers,10,28,0.0,0.0,1.0,51.9,16,8,8,20,3,Tampa Bay Lightning,2
Tampa Bay Lightning,8,29,0.0,0.0,1.0,48.9,5,15,7,33,5,Florida Panthers,2
New York Rangers,8,26,16.7,1.0,6.0,36.2,22,8,15,19,3,Tampa Bay Lightning,1
Columbus Blue Jackets,8,39,50.0,1.0,2.0,28.6,4,2,4,18,2,Tampa Bay Lightning,5
Pittsburgh Penguins,8,36,25.0,1.0,4.0,38.3,14,4,11,21,6,Tampa Bay Lightning,2
Tampa Bay Lightning,16,24,50.0,1.0,2.0,37.7,16,6,4,27,2,Philadelphia Flyers,3
Florida Panthers,14,32,28.6,2.0,7.0,52.9,15,7,5,29,2,Tampa Bay Lightning,3
Tampa Bay Lightning,6,35,0.0,0.0,3.0,42.6,9,4,4,48,5,New York Islanders,3
Los Angeles Kings,10,25,0.0,0.0,4.0,45.1,20,2,2,16,4,Tampa Bay Lightning,2
Anaheim Ducks,4,30,33.3,1.0,3.0,45.3,19,5,5,15,2,Tampa Bay Lightning,4
San Jose Sharks,6,26,0.0,0.0,2.0,54.5,13,9,9,21,3,Tampa Bay Lightning,4
Tampa Bay Lightning,26,15,0.0,0.0,3.0,54.9,19,15,4,32,4,Ottawa Senators,3
Tampa Bay Lightning,12,55,16.7,1.0,6.0,61.8,11,17,8,38,3,Carolina Hurricanes,3
Tampa Bay Lightning,4,24,33.3,1.0,3.0,50.8,10,10,9,44,5,Buffalo Sabres,3
Tampa Bay Lightning,10,29,50.0,2.0,4.0,46.7,19,9,4,33,2,Edmonton Oilers,3
Washington Capitals,41,29,0.0,0.0,3.0,62.2,25,7,5,15,5,Tampa Bay Lightning,1
Tampa Bay Lightning,20,22,0.0,0.0,6.0,54.7,15,17,11,45,6,Washington Capitals,3
Tampa Bay Lightning,12,32,100.0,2.0,2.0,48.7,16,7,7,43,5,Dallas Stars,4
Tampa Bay Lightning,6,40,33.3,1.0,3.0,48.6,13,18,11,46,4,Calgary Flames,1
Nashville Predators,12,39,40.0,2.0,5.0,50.0,10,3,12,20,2,Tampa Bay Lightning,3
Tampa Bay Lightning,6,29,50.0,2.0,4.0,52.0,6,12,6,27,3,Boston Bruins,5
Tampa Bay Lightning,11,27,33.3,1.0,3.0,54.2,10,16,8,29,5,St. Louis Blues,2
Buffalo Sabres,4,25,75.0,3.0,4.0,60.0,10,9,8,25,5,Tampa Bay Lightning,6
Boston Bruins,2,28,50.0,1.0,2.0,54.0,13,6,12,15,3,Tampa Bay Lightning,1
Philadelphia Flyers,6,27,33.3,1.0,3.0,65.2,11,7,3,18,1,Tampa Bay Lightning,4
Tampa Bay Lightning,16,39,20.0,1.0,5.0,60.7,10,8,5,31,4,Toronto Maple Leafs,3
Tampa Bay Lightning,6,26,0.0,0.0,1.0,44.0,11,13,1,31,2,Detroit Red Wings,4
Tampa Bay Lightning,9,36,0.0,0.0,2.0,55.2,16,12,3,45,5,Nashville Predators,2
Tampa Bay Lightning,8,25,0.0,0.0,4.0,52.6,12,11,6,30,4,Florida Panthers,1
Tampa Bay Lightning,29,38,0.0,0.0,3.0,53.1,10,20,3,39,6,Seattle Kraken,2
Tampa Bay Lightning,6,25,0.0,0.0,1.0,51.8,18,13,8,37,4,Columbus Blue Jackets,1
Montréal Canadiens,13,27,33.3,2.0,6.0,42.3,13,7,12,17,1,Tampa Bay Lightning,5
Toronto Maple Leafs,6,19,0.0,0.0,1.0,48.9,5,4,11,33,4,Tampa Bay Lightning,1
Detroit Red Wings,10,38,0.0,0.0,4.0,62.3,14,3,3,17,7,Tampa Bay Lightning,4
Tampa Bay Lightning,9,26,0.0,0.0,5.0,39.3,13,9,6,25,4,Montréal Canadiens,1
Tampa Bay Lightning,2,46,0.0,0.0,3.0,38.2,22,4,5,40,1,New York Rangers,1
Tampa Bay Lightning,11,31,0.0,0.0,1.0,34.6,10,7,4,24,5,Arizona Coyotes,3
Chicago Blackhawks,12,29,25.0,1.0,4.0,44.3,20,8,5,11,1,Tampa Bay Lightning,4
Minnesota Wild,10,35,25.0,1.0,4.0,63.2,12,2,3,18,5,Tampa Bay Lightning,1
Winnipeg Jets,21,28,0.0,0.0,4.0,57.1,14,7,7,11,4,Tampa Bay Lightning,2
Tampa Bay Lightning,10,24,0.0,0.0,1.0,33.3,13,5,3,41,6,Columbus Blue Jackets,3
Tampa Bay Lightning,13,40,33.3,1.0,3.0,51.4,16,11,2,36,5,Vancouver Canucks,4
St. Louis Blues,6,30,50.0,1.0,2.0,58.2,12,19,8,15,2,Tampa Bay Lightning,4
Seattle Kraken,6,31,0.0,0.0,2.0,60.5,13,5,5,18,1,Tampa Bay Lightning,4
Vancouver Canucks,8,25,0.0,0.0,1.0,49.1,21,5,2,11,2,Tampa Bay Lightning,5
Edmonton Oilers,24,31,0.0,0.0,2.0,55.0,19,6,15,27,5,Tampa Bay Lightning,3
Calgary Flames,27,24,0.0,0.0,6.0,64.5,18,6,15,20,6,Tampa Bay Lightning,3
Tampa Bay Lightning,15,35,25.0,1.0,4.0,45.6,16,17,6,26,4,Minnesota Wild,2
Tampa Bay Lightning,15,39,0.0,0.0,2.0,46.0,11,8,2,26,3,Boston Bruins,2
Tampa Bay Lightning,14,28,0.0,0.0,2.0,41.4,17,7,4,30,5,Los Angeles Kings,2
Florida Panthers,16,33,0.0,0.0,2.0,53.2,17,2,4,13,7,Tampa Bay Lightning,1
Tampa Bay Lightning,17,22,66.7,2.0,3.0,48.5,27,24,3,35,3,San Jose Sharks,4
Tampa Bay Lightning,26,30,0.0,0.0,2.0,30.6,17,5,1,34,5,Colorado Avalanche,0
Dallas Stars,10,31,0.0,0.0,1.0,49.1,15,2,14,15,1,Tampa Bay Lightning,3
Colorado Avalanche,9,35,0.0,0.0,4.0,53.7,11,7,8,31,3,Tampa Bay Lightning,3
Arizona Coyotes,4,47,0.0,0.0,5.0,47.9,14,4,9,20,0,Tampa Bay Lightning,0
Vegas Golden Knights,6,24,33.3,1.0,3.0,54.5,15,7,8,25,5,Tampa Bay Lightning,4
Tampa Bay Lightning,30,25,0.0,0.0,4.0,38.2,13,6,3,31,6,Anaheim Ducks,1
