abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
TOR,OTT,1,12,36.0,47,9,Senators,8,0/2,4,64.0,31,4,10,Maple Leafs,6,0/3
TOR,OTT,4,14,54.9,46,9,Senators,8,1/3,9,45.1,31,2,10,Maple Leafs,6,0/4
TOR,MTL,0,14,40.0,39,8,Canadiens,8,0/3,15,60.0,41,3,10,Maple Leafs,6,2/4
OTT,TOR,6,0,0.0,0,10,Maple Leafs,13,1/4,0,0.0,0,3,9,Senators,13,1/4
MTL,TOR,5,18,35.0,24,10,Maple Leafs,10,2/3,4,65.0,13,1,8,Canadiens,8,1/4
DET,TOR,2,11,39.6,27,10,Maple Leafs,4,0/2,8,60.4,33,4,17,Red Wings,4,0/2
TOR,DET,1,17,41.9,36,17,Red Wings,10,0/5,6,58.1,31,5,10,Maple Leafs,12,3/4
MTL,TOR,3,15,49.0,19,10,Maple Leafs,8,0/4,23,51.0,19,4,8,Canadiens,8,0/4
TOR,WSH,2,9,46.4,33,15,Capitals,6,0/5,17,53.6,37,3,10,Maple Leafs,10,1/3
TOR,OTT,2,19,50.8,53,9,Senators,4,1/2,14,49.2,37,3,10,Maple Leafs,4,1/2
TOR,ARI,4,18,40.8,23,53,Coyotes,12,2/5,7,59.2,25,2,10,Maple Leafs,12,1/5
TOR,DAL,2,15,47.9,41,25,Stars,16,1/4,21,52.1,31,3,10,Maple Leafs,8,1/8
WPG,TOR,4,12,52.2,17,10,Maple Leafs,15,2/3,18,47.8,29,1,52,Jets,15,0/3
VGK,TOR,1,18,50.9,29,10,Maple Leafs,6,0/2,29,49.1,34,3,54,Golden Knights,4,1/3
SJS,TOR,3,10,50.0,11,10,Maple Leafs,8,1/4,10,50.0,25,4,28,Sharks,10,2/3
LAK,TOR,2,13,43.6,22,10,Maple Leafs,12,1/4,10,56.4,18,4,26,Kings,8,2/6
ANA,TOR,3,12,49.1,9,10,Maple Leafs,6,1/2,9,50.9,18,4,24,Ducks,6,0/2
TOR,PHI,2,19,53.2,45,4,Flyers,39,1/6,8,46.8,31,5,10,Maple Leafs,31,2/5
TOR,BOS,1,9,45.5,47,6,Bruins,6,1/3,15,54.5,21,2,10,Maple Leafs,6,1/3
CAR,TOR,3,14,50.0,17,10,Maple Leafs,4,0/1,9,50.0,25,1,12,Hurricanes,2,1/2
TOR,VGK,4,12,38.8,42,54,Golden Knights,4,0/2,10,61.2,34,3,10,Maple Leafs,4,0/2
TOR,PIT,4,19,50.0,41,5,Penguins,6,0/1,13,50.0,14,2,10,Maple Leafs,2,1/3
TOR,VAN,2,13,43.8,38,23,Canucks,4,1/4,19,56.3,30,3,10,Maple Leafs,8,1/2
PIT,TOR,5,27,45.1,25,10,Maple Leafs,8,0/1,15,54.9,50,2,5,Penguins,4,0/3
TOR,NJD,3,17,40.0,30,1,Devils,10,0/2,12,60.0,23,2,10,Maple Leafs,4,1/5
TOR,BUF,2,11,38.0,28,7,Sabres,6,2/6,19,62.0,32,5,10,Maple Leafs,12,2/3
TOR,NYI,3,12,47.5,51,2,Islanders,13,0/1,9,52.5,21,2,10,Maple Leafs,11,1/2
NJD,TOR,2,21,41.0,9,10,Maple Leafs,6,0/4,11,59.0,15,1,1,Devils,8,0/3
MIN,TOR,4,22,55.6,12,10,Maple Leafs,4,0/3,10,44.4,22,3,30,Wild,6,1/2
PIT,TOR,4,12,50.9,23,10,Maple Leafs,4,0/3,13,49.1,57,1,5,Penguins,6,0/2
DET,TOR,4,23,56.0,18,10,Maple Leafs,6,1/2,5,44.0,25,2,17,Red Wings,4,0/3
TOR,SJS,1,24,39.2,49,28,Sharks,6,0/0,17,60.8,18,3,10,Maple Leafs,0,0/3
TBL,TOR,3,10,60.7,31,10,Maple Leafs,16,1/5,11,39.3,20,4,14,Lightning,14,2/6
DAL,TOR,4,27,59.6,22,10,Maple Leafs,14,0/2,10,40.4,21,0,25,Stars,4,0/7
TOR,LAK,0,11,50.0,39,26,Kings,11,0/2,15,50.0,23,5,10,Maple Leafs,12,1/3
TOR,CGY,4,13,49.2,34,20,Flames,16,1/2,11,50.8,29,5,10,Maple Leafs,8,3/6
TOR,ANA,0,14,42.2,35,24,Ducks,8,0/1,2,57.8,15,7,10,Maple Leafs,4,0/3
NYR,TOR,1,11,49.0,8,10,Maple Leafs,2,0/3,14,51.0,19,3,3,Rangers,6,1/1
WSH,TOR,2,10,60.5,17,10,Maple Leafs,4,0/2,18,39.5,37,5,15,Capitals,4,0/2
TOR,TBL,1,5,48.9,33,14,Lightning,6,0/1,14,51.1,20,4,10,Maple Leafs,6,1/2
TOR,PHI,3,13,44.0,33,4,Flyers,12,1/5,16,56.0,23,4,10,Maple Leafs,12,1/4
STL,TOR,5,15,52.8,11,10,Maple Leafs,8,0/2,9,47.2,36,4,19,Blues,4,1/4
ARI,TOR,3,10,45.3,27,10,Maple Leafs,13,2/2,18,54.7,38,6,53,Coyotes,11,2/3
COL,TOR,6,25,58.8,12,10,Maple Leafs,6,1/4,10,41.2,24,2,21,Avalanche,8,0/3
TOR,STL,6,17,37.7,52,19,Blues,6,2/2,16,62.3,19,5,10,Maple Leafs,4,1/3
TOR,SEA,5,12,42.9,32,55,Kraken,10,1/2,13,57.1,27,1,10,Maple Leafs,4,1/5
TOR,DET,1,13,48.1,38,17,Red Wings,10,0/4,9,51.9,21,4,10,Maple Leafs,8,1/5
PHI,TOR,6,17,55.6,17,10,Maple Leafs,10,1/2,13,44.4,41,2,4,Flyers,6,0/4
TOR,NSH,1,13,46.3,36,18,Predators,10,0/2,14,53.7,25,2,10,Maple Leafs,4,1/5
DET,TOR,1,10,45.8,18,10,Maple Leafs,10,0/3,11,54.2,15,4,17,Red Wings,6,2/5
BOS,TOR,3,16,49.1,35,10,Maple Leafs,21,1/2,24,50.9,26,4,6,Bruins,21,0/2
TOR,FLA,4,14,41.7,28,13,Panthers,18,1/3,15,58.3,16,5,10,Maple Leafs,12,2/7
TOR,WPG,1,5,58.9,26,52,Jets,2,1/4,16,41.1,24,4,10,Maple Leafs,8,0/1
MTL,TOR,2,14,63.3,14,10,Maple Leafs,10,0/2,23,36.7,31,3,8,Canadiens,6,0/4
TOR,NYI,2,13,54.7,49,2,Islanders,6,0/2,25,45.3,30,5,10,Maple Leafs,6,1/2
TOR,NYR,2,16,50.0,35,3,Rangers,6,0/2,10,50.0,14,3,10,Maple Leafs,4,0/3
TOR,OTT,6,15,60.0,22,9,Senators,8,1/5,7,40.0,22,2,10,Maple Leafs,12,1/3
TOR,WSH,1,8,50.0,40,15,Capitals,6,1/4,14,50.0,28,5,10,Maple Leafs,10,1/2
TOR,BOS,5,22,49.0,31,6,Bruins,11,0/1,10,51.0,26,2,10,Maple Leafs,9,1/2
CBJ,TOR,3,14,41.1,6,10,Maple Leafs,6,1/4,18,58.9,16,0,29,Blue Jackets,18,0/3
TOR,CBJ,4,18,50.9,40,29,Blue Jackets,4,0/4,19,49.1,21,3,10,Maple Leafs,10,1/1
TOR,CHI,2,11,44.2,42,16,Blackhawks,6,0/3,13,55.8,25,5,10,Maple Leafs,6,0/3
TOR,MTL,1,14,39.7,27,8,Canadiens,6,0/1,14,60.3,28,5,10,Maple Leafs,2,1/3
CHI,TOR,3,7,55.8,20,10,Maple Leafs,6,1/2,21,44.2,27,5,16,Blackhawks,4,0/3
BUF,TOR,6,18,58.9,16,10,Maple Leafs,4,1/2,7,41.1,17,3,7,Sabres,6,0/1
TOR,MIN,1,18,28.8,42,30,Wild,4,0/1,26,71.2,27,2,10,Maple Leafs,2,0/2
SEA,TOR,5,18,71.4,10,10,Maple Leafs,4,0/1,10,28.6,22,1,55,Kraken,2,0/2
EDM,TOR,2,13,56.5,22,10,Maple Leafs,13,1/3,14,43.5,25,5,22,Oilers,11,1/4
CGY,TOR,2,18,55.6,18,10,Maple Leafs,4,0/2,8,44.4,20,1,20,Flames,4,0/2
VAN,TOR,1,16,54.0,16,10,Maple Leafs,21,1/4,16,46.0,23,4,23,Canucks,13,1/3
NJD,TOR,4,15,56.0,14,10,Maple Leafs,8,1/2,8,44.0,20,3,1,Devils,4,1/4
TOR,EDM,4,12,46.4,23,22,Oilers,20,1/3,10,53.6,22,7,10,Maple Leafs,16,2/5
TOR,BUF,4,10,34.4,24,7,Sabres,2,1/3,15,65.6,30,3,10,Maple Leafs,6,0/1
TOR,COL,2,12,45.6,22,21,Avalanche,6,1/5,22,54.4,21,1,10,Maple Leafs,10,0/3
TOR,CAR,2,9,44.2,20,12,Hurricanes,2,0/3,22,55.8,26,5,10,Maple Leafs,6,1/1
OTT,TOR,5,20,46.2,25,10,Maple Leafs,6,1/2,16,53.8,34,4,9,Senators,4,1/3
NYI,TOR,2,9,40.4,15,10,Maple Leafs,9,0/1,19,59.6,36,7,2,Islanders,7,0/2
FLA,TOR,6,12,45.6,18,10,Maple Leafs,6,1/4,18,54.4,26,2,13,Panthers,8,1/3
CAR,TOR,3,10,40.7,16,10,Maple Leafs,4,0/3,16,59.3,14,5,12,Hurricanes,6,1/2
NSH,TOR,3,11,61.1,21,10,Maple Leafs,8,2/5,15,38.9,22,2,18,Predators,10,1/4
TOR,FLA,3,12,34.6,23,13,Panthers,10,1/4,12,65.4,13,2,10,Maple Leafs,10,0/4
OTT,TOR,3,22,45.3,30,10,Maple Leafs,4,0/1,12,54.7,38,0,9,Senators,2,0/2
TOR,DET,5,17,35.6,23,17,Red Wings,8,0/1,10,64.4,30,2,10,Maple Leafs,14,2/3
TOR,CBJ,2,16,43.9,40,29,Blue Jackets,6,0/2,18,56.1,27,4,10,Maple Leafs,4,0/3
BOS,TOR,1,13,45.1,28,10,Maple Leafs,13,0/3,13,54.9,39,2,6,Bruins,21,0/4
TOR,MTL,1,10,54.9,28,8,Canadiens,21,0/4,14,45.1,29,7,10,Maple Leafs,17,4/6
FLA,TOR,2,23,52.1,25,10,Maple Leafs,4,0/1,11,47.9,36,1,13,Panthers,2,0/2
TBL,TOR,4,17,46.8,23,10,Maple Leafs,28,2/6,6,53.2,29,3,14,Lightning,24,0/8
NYR,TOR,3,11,58.7,14,10,Maple Leafs,4,0/1,17,41.3,10,2,3,Rangers,2,1/2
