abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
VAN,CGY,3,20,50.0,23,20,Flames,19,1/8,15,50.0,19,2,23,Canucks,21,0/7
CGY,VAN,0,4,61.5,17,23,Canucks,14,0/5,5,38.5,15,4,20,Flames,10,3/7
VAN,SEA,4,16,57.1,30,55,Kraken,24,1/3,12,42.9,32,3,23,Canucks,20,2/5
SEA,VAN,0,16,54.2,21,23,Canucks,10,0/2,11,45.8,11,4,55,Kraken,8,0/3
EDM,VAN,2,15,37.1,25,23,Canucks,8,1/5,5,62.9,22,7,22,Oilers,10,1/4
VAN,EDM,4,0,0.0,0,22,Oilers,20,0/3,0,0.0,0,5,23,Canucks,8,3/8
VAN,ARI,0,17,37.0,21,53,Coyotes,62,0/4,6,63.0,15,4,23,Canucks,20,1/10
EDM,VAN,3,17,52.1,31,23,Canucks,8,1/8,16,47.9,39,5,22,Oilers,16,3/4
PHI,VAN,2,8,51.9,20,23,Canucks,17,0/5,14,48.1,23,3,4,Flyers,17,1/5
WSH,VAN,4,15,48.3,34,23,Canucks,8,1/1,14,51.7,37,6,15,Capitals,4,2/3
CBJ,VAN,3,14,38.3,13,23,Canucks,9,0/3,16,61.7,17,4,29,Blue Jackets,11,0/2
MIN,VAN,3,14,49.0,12,23,Canucks,13,0/2,15,51.0,21,4,30,Wild,11,1/3
VAN,BUF,5,18,44.6,17,7,Sabres,8,1/1,14,55.4,40,1,23,Canucks,2,1/4
VAN,CAR,3,14,60.0,11,12,Hurricanes,4,1/3,14,40.0,27,2,23,Canucks,6,1/2
SEA,VAN,5,16,58.2,21,23,Canucks,23,2/2,8,41.8,13,4,55,Kraken,19,1/4
VAN,PIT,1,9,49.1,22,5,Penguins,10,1/4,19,50.9,23,5,23,Canucks,10,2/4
VAN,NJD,5,17,57.7,14,1,Devils,25,1/1,11,42.3,22,2,23,Canucks,27,2/5
VAN,ANA,5,6,39.7,13,24,Ducks,11,2/3,13,60.3,20,8,23,Canucks,11,2/3
VAN,NSH,4,14,49.3,34,18,Predators,18,1/5,16,50.7,22,3,23,Canucks,30,1/4
OTT,VAN,6,16,43.5,24,23,Canucks,17,0/3,10,56.5,25,4,9,Senators,13,2/5
MTL,VAN,2,8,52.8,16,23,Canucks,10,0/2,15,47.2,9,5,8,Canadiens,6,1/4
TOR,VAN,2,13,43.8,38,23,Canucks,4,1/4,19,56.3,30,3,10,Maple Leafs,8,1/2
BOS,VAN,2,15,36.2,16,23,Canucks,22,2/6,13,63.8,15,5,6,Bruins,32,2/6
BUF,VAN,5,19,56.3,11,23,Canucks,6,2/3,14,43.8,5,4,7,Sabres,6,0/3
VAN,LAK,1,17,50.0,14,26,Kings,6,0/2,11,50.0,30,4,23,Canucks,4,1/3
VAN,VGK,5,15,46.2,14,54,Golden Knights,2,0/1,12,53.8,25,4,23,Canucks,2,0/1
COL,VAN,4,17,52.8,12,23,Canucks,12,0/5,9,47.2,12,3,21,Avalanche,10,2/6
VGK,VAN,5,16,39.7,32,23,Canucks,26,3/5,17,60.3,41,1,54,Golden Knights,20,0/3
SJS,VAN,4,15,43.6,28,23,Canucks,2,0/2,27,56.4,26,3,28,Sharks,4,1/1
VAN,WSH,5,12,46.9,13,15,Capitals,6,0/1,11,53.1,18,1,23,Canucks,2,0/3
VAN,FLA,5,12,45.6,10,13,Panthers,11,0/2,11,54.4,23,1,23,Canucks,9,0/3
VAN,ARI,2,20,40.7,13,53,Coyotes,16,1/3,7,59.3,25,3,23,Canucks,6,2/8
VAN,MTL,6,13,47.5,20,8,Canadiens,9,0/3,11,52.5,17,7,23,Canucks,11,1/2
SJS,VAN,6,28,45.6,15,23,Canucks,11,2/3,17,54.4,20,5,28,Sharks,11,1/3
VAN,MIN,3,22,50.9,13,30,Wild,11,1/2,13,49.1,24,0,23,Canucks,9,0/3
CGY,VAN,4,13,50.0,26,23,Canucks,12,0/2,16,50.0,11,3,20,Flames,8,1/4
VAN,WPG,5,16,42.0,11,52,Jets,6,1/2,5,58.0,38,1,23,Canucks,4,1/3
VAN,STL,5,6,54.5,21,19,Blues,10,2/3,9,45.5,26,1,23,Canucks,8,0/4
VAN,SEA,5,19,50.0,12,55,Kraken,11,0/1,21,50.0,26,6,23,Canucks,7,1/3
EDM,VAN,5,20,41.5,24,23,Canucks,6,1/2,16,58.5,28,2,22,Oilers,4,0/3
VAN,SJS,2,15,52.8,18,28,Sharks,2,1/2,20,47.2,29,6,23,Canucks,4,0/1
