abbrev,away_abbrev,away_away_goals,away_blocks,away_faceoffWinningPctg,away_hits,away_id,away_name,away_pim,away_powerPlayConversion,blocks,faceoffWinningPctg,hits,home_goals,id,name,pim,powerPlayConversion
WSH,BUF,4,11,40.0,13,7,Sabres,4,2/4,13,60.0,25,3,15,Capitals,8,1/2
PHI,WSH,3,11,44.7,22,15,Capitals,2,1/3,12,55.3,46,1,4,Flyers,6,0/1
DET,WSH,2,11,55.6,31,15,Capitals,6,0/2,13,44.4,25,0,17,Red Wings,6,0/2
CBJ,WSH,1,6,47.4,15,15,Capitals,4,0/3,13,52.6,13,2,29,Blue Jackets,6,0/2
WSH,DET,2,13,46.7,22,17,Red Wings,9,1/4,6,53.3,31,4,15,Capitals,13,1/2
WSH,CBJ,3,19,53.6,22,29,Blue Jackets,8,1/4,20,46.4,13,4,15,Capitals,8,1/4
WSH,BOS,5,20,62.7,32,6,Bruins,8,1/3,13,37.3,48,2,15,Capitals,6,0/4
TOR,WSH,2,9,46.4,33,15,Capitals,6,0/5,17,53.6,37,3,10,Maple Leafs,10,1/3
WSH,MTL,1,20,59.6,21,8,Canadiens,13,0/3,15,40.4,26,3,15,Capitals,13,1/2
WSH,VAN,4,15,48.3,34,23,Canucks,8,1/1,14,51.7,37,6,15,Capitals,4,2/3
OTT,WSH,2,21,35.8,24,15,Capitals,15,2/4,12,64.2,28,5,9,Senators,15,2/4
WSH,LAK,3,18,64.3,16,26,Kings,6,0/1,17,35.7,32,4,15,Capitals,2,0/3
NJD,WSH,6,12,49.3,31,15,Capitals,8,1/3,11,50.7,13,3,1,Devils,6,0/4
DAL,WSH,0,15,31.6,21,15,Capitals,8,0/3,16,68.4,10,2,25,Stars,8,0/3
NSH,WSH,3,14,38.7,28,15,Capitals,10,0/3,14,61.3,36,0,18,Predators,6,0/5
CAR,WSH,2,20,45.0,32,15,Capitals,16,1/4,7,55.0,21,3,12,Hurricanes,12,1/6
WSH,VGK,3,23,41.4,27,54,Golden Knights,6,1/2,26,58.6,27,2,15,Capitals,6,1/2
DET,WSH,1,7,63.6,19,15,Capitals,8,0/4,20,36.4,25,3,17,Red Wings,10,1/3
WSH,ARI,3,18,43.9,20,53,Coyotes,6,0/3,12,56.1,24,2,15,Capitals,6,1/3
WSH,EDM,4,19,47.8,21,22,Oilers,12,0/1,13,52.2,15,5,15,Capitals,4,4/5
WSH,PIT,4,19,50.9,32,5,Penguins,13,0/3,17,49.1,36,1,15,Capitals,11,0/4
WSH,TBL,1,25,62.2,15,14,Lightning,41,0/3,22,37.8,13,5,15,Capitals,38,0/6
TBL,WSH,3,15,54.7,45,15,Capitals,20,0/6,10,45.3,39,6,14,Lightning,22,2/4
FLA,WSH,2,16,55.0,24,15,Capitals,4,0/5,17,45.0,23,5,13,Panthers,12,1/1
STL,WSH,4,10,35.3,17,15,Capitals,8,1/3,16,64.7,14,5,19,Blues,8,1/4
WSH,COL,4,18,40.7,22,21,Avalanche,4,1/3,17,59.3,23,0,15,Capitals,6,0/2
WSH,PHI,2,20,42.3,35,4,Flyers,6,0/4,16,57.7,30,3,15,Capitals,8,1/3
