home_team,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,home_goals,away_team,away_goals
Edmonton Oilers,6,29,0.0,0.0,4.0,46.2,9,5,8,27,4,Winnipeg Jets,0
Winnipeg Jets,6,27,0.0,0.0,2.0,40.4,12,6,7,24,5,Ottawa Senators,3
Montréal Canadiens,18,25,0.0,0.0,4.0,47.5,17,6,10,25,3,Winnipeg Jets,4
Winnipeg Jets,19,27,20.0,1.0,5.0,50.0,15,4,7,24,2,Edmonton Oilers,2
Winnipeg Jets,12,37,0.0,0.0,6.0,55.4,11,4,13,14,5,Calgary Flames,0
Calgary Flames,16,16,25.0,1.0,4.0,44.4,8,4,6,14,3,Winnipeg Jets,5
Winnipeg Jets,6,41,0.0,0.0,2.0,49.1,18,3,20,25,4,New York Rangers,1
Dallas Stars,8,25,0.0,0.0,5.0,45.1,11,8,13,13,4,Winnipeg Jets,1
Colorado Avalanche,6,28,50.0,1.0,2.0,46.2,25,6,7,27,3,Winnipeg Jets,4
Vegas Golden Knights,6,28,0.0,0.0,1.0,50.0,9,4,5,38,5,Winnipeg Jets,2
Winnipeg Jets,15,28,66.7,2.0,3.0,52.2,12,6,12,17,1,Toronto Maple Leafs,4
Winnipeg Jets,12,25,0.0,0.0,2.0,60.4,16,6,9,19,4,St. Louis Blues,0
Los Angeles Kings,8,19,40.0,2.0,5.0,33.3,22,3,4,25,4,Winnipeg Jets,6
Arizona Coyotes,6,35,0.0,0.0,5.0,40.7,11,4,7,18,2,Winnipeg Jets,3
Vegas Golden Knights,6,24,0.0,0.0,1.0,41.1,16,12,8,42,2,Winnipeg Jets,1
Winnipeg Jets,10,22,0.0,0.0,2.0,46.5,15,5,7,23,3,Montréal Canadiens,2
Winnipeg Jets,8,30,0.0,0.0,3.0,51.9,13,8,19,27,4,Chicago Blackhawks,0
Winnipeg Jets,9,22,0.0,0.0,1.0,51.0,10,7,10,24,5,Dallas Stars,1
Calgary Flames,10,23,0.0,0.0,3.0,53.4,15,4,7,16,3,Winnipeg Jets,2
Seattle Kraken,10,30,28.6,2.0,7.0,43.5,11,5,9,19,2,Winnipeg Jets,3
Winnipeg Jets,11,31,0.0,0.0,1.0,41.5,16,6,7,9,3,Anaheim Ducks,2
Winnipeg Jets,4,32,0.0,0.0,2.0,47.6,7,7,11,22,0,Pittsburgh Penguins,3
Winnipeg Jets,6,27,0.0,0.0,2.0,51.2,9,4,8,18,4,Carolina Hurricanes,3
Minnesota Wild,19,29,0.0,0.0,2.0,42.1,12,3,5,14,6,Winnipeg Jets,1
Dallas Stars,20,28,0.0,0.0,2.0,30.8,15,7,4,23,4,Winnipeg Jets,5
Chicago Blackhawks,8,44,50.0,2.0,4.0,55.1,9,3,6,17,2,Winnipeg Jets,7
Winnipeg Jets,6,40,0.0,0.0,3.0,37.0,9,7,3,19,5,Colorado Avalanche,0
Winnipeg Jets,10,26,0.0,0.0,3.0,52.2,27,6,14,19,1,Columbus Blue Jackets,4
Winnipeg Jets,8,30,0.0,0.0,3.0,47.4,12,3,9,12,5,Anaheim Ducks,2
Winnipeg Jets,13,41,25.0,1.0,4.0,32.8,10,6,4,15,5,Florida Panthers,2
St. Louis Blues,4,20,100.0,1.0,1.0,46.8,18,10,9,22,2,Winnipeg Jets,5
Chicago Blackhawks,10,32,25.0,1.0,4.0,35.8,15,7,6,13,1,Winnipeg Jets,3
Winnipeg Jets,6,36,50.0,1.0,2.0,51.9,19,2,9,12,2,Washington Capitals,5
